UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best_Role,Best Duty,Best_Pos,Acceleration,Aerial_Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command_of_Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Determination,Dribbling,Eccentricity,Finishing,First_Touch,Flair,Free_Kick_Taking,Handling,Heading,Jumping_Reach,Kicking,Leadership,Long_Shots,Long_Throws,Marking,Natural_Fitness,Off_the_Ball,One_on_Ones,Pace,Passing,Penalty_Taking,Positioning,Punching,Reflexes,Rushing_Out,Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work_Rate,Club_id,League_id,Min_Value,Max_Value,Market_Value,Player_Role,Pos_Rank,gk,tpr_general,tpr,tpr_DM,tpr_AML,tpr_AMC,tpr_GK,tpr_MC,tpr_DC,tpr_AMR,tpr_DL,tpr_DR,tpr_ST,tpr_ML,tpr_MR,tpr_WBR,tpr_WBL,tpr_Best,fbref_player_name,Predicted_Market_Value,Predicted_Wage,Pos_Rank_Average,pass_Volume,shot_Volume,dribble_Volume,pass_Accuracy,shot_Accuracy,dribble_Accuracy,tpr_club,UID
85120944,Wnt,Benjamin Pavard,1996-03-28,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DR,DC,WBR",186,76 kg,26,22000000 - 32000000,831000,186,6,Main,45,15,Technical,-,Full-Back,Support,DR,59,4,39,59,79,79,64,14,9,84,69,19,59,74,64,54,9,39,69,54,29,14,69,74,9,39,49,59,74,74,59,9,69,74,34,74,4,14,9,74,59,74,79,69,14,64,74,3704,185,22000000.0,32000000.0,74694239.0,DR_Full-Back,2,19,62,79,48,43,41,20,44,90,44,46,93,41,47,70,93,44,63,Benjamin Pavard,56414428,232639,2,75.29,1.42,0.58,91.32,31.49,56.88,92,85120944
16182894,,Dayot Upamecano,1998-10-27,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,DC,186,90 kg,23,45000000 - 68000000,291000,173,5,,6,16,Physical,-,Ball Playing Defender,Defend,DC,79,4,79,59,69,79,79,9,14,69,64,19,34,64,79,59,4,34,59,54,19,9,69,74,4,39,29,24,74,74,49,9,84,69,29,69,9,4,14,69,84,79,59,59,14,64,69,3704,185,45000000.0,68000000.0,9324434.0,DC_Ball Playing Defender,3,17,60,79,61,41,41,20,45,92,42,62,63,41,43,44,46,47,63,Dayot Upamecano,93550499,384131,3,70.09,1.55,1.4,93.84,29.8,56.83,92,16182894
16045721,Lst,Marcel Sabitzer,1994-03-17,AUT,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMR,AML,AMC",178,76 kg,28,25000000,275,367,95,Main,64,7,Leader,-,Box To Box Midfielder,Support,MC,69,9,79,59,69,59,69,9,4,64,64,54,59,64,84,59,4,59,64,64,74,9,49,44,4,64,79,14,64,79,79,4,69,69,79,69,9,4,14,79,59,64,79,64,4,69,84,3704,185,25000000.0,,24023059.0,MC_Box To Box Midfielder,7,15,67,83,86,92,94,21,94,46,92,47,49,43,61,55,51,59,67,Marcel Sabitzer,74694239,325903,10,62.48,2.28,1.72,89.37,39.26,49.66,92,16045721
35015916,Inj,Eric Maxim Choupo-Moting,1989-03-23,CMR,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"AMR,AML,AMC,ST",191,91 kg,33,900000,327000,340,64,Main,68,-,Intelligent,-,Inverted Winger,Support,AML,59,9,59,54,64,64,59,9,9,59,59,24,49,64,59,59,4,59,69,74,29,14,69,74,14,59,44,24,29,64,69,9,64,64,64,34,4,14,14,54,74,34,59,74,9,64,54,3704,185,900000.0,,44078104.0,AML_Inverted Winger,13,18,57,73,43,86,85,20,49,41,86,54,44,84,74,55,53,65,58,Eric Maxim Choupo-Moting,9324434,98822,11,47.57,2.58,2.27,95.1,41.07,52.26,92,35015916
37052470,,Noussair Mazraoui,1997-11-14,MAR,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DR,WBR,DM,MR,MC,AMR",183,65 kg,24,12.5000000 - 18.5000000,3900,150,18,Main,12,3,Technical,-,Wing-Back,Defend,DR,69,14,49,64,59,64,64,14,9,64,64,39,54,59,49,59,4,54,74,69,34,14,54,54,9,54,59,59,64,54,79,14,64,69,44,64,14,4,14,74,54,64,79,64,9,69,79,3704,185,12.5,18.5,5000.0,DR_Wing-Back,2,20,61,77,88,43,41,20,87,53,87,46,91,41,46,89,92,44,61,Noussair Mazraoui,64064287,260375,5,66.45,1.74,1.31,88.12,33.1,53.49,92,37052470
91190673,Wnt,Josip Stanišić,2000-04-02,CRO,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,DL,DC,WBR",187,77 kg,22,5.4000000 - 9.8000000,30000,56,1,,5,2,Physical,-,Full-Back,Support,DR,59,4,69,49,59,64,74,4,14,59,59,19,59,59,79,59,14,34,54,54,19,4,64,59,4,29,29,59,64,64,59,4,74,59,29,64,9,9,19,69,64,64,79,54,14,59,74,3704,185,5.4,9.8,6396257.0,DR_Full-Back,2,16,56,73,47,42,41,20,44,86,44,87,88,41,46,68,89,43,58,Josip Stanišić,22273800,51081,2,69.66,0.96,1.17,88.27,30.44,56.17,92,91190673
37071197,,Ryan Gravenberch,2002-05-16,NED,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"DM,MC,AMC",190,77 kg,20,37000000 - 45000000,1329000,116,15,U23,10,6,Technical,-,Advanced Playmaker,Support,MC,64,4,29,74,59,74,69,9,9,69,54,69,64,69,74,69,4,54,74,74,59,9,59,69,14,39,64,19,39,59,64,9,64,69,59,49,14,4,14,69,64,44,69,74,14,59,59,3704,185,37000000.0,45000000.0,100097947.0,MC_Advanced Playmaker,7,19,62,78,90,55,89,21,89,45,54,46,48,43,59,54,50,57,62,Ryan Gravenberch,82566994,306944,7,60.58,2.02,2.3,88.36,32.05,56.6,92,37071197
2000104850,,Mathys Tel,2005-04-27,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"AMR,AML,ST",183,77 kg,17,31000000 - 46000000,291000,7,-,U20,0,-,Physical,-,Inverted Winger,Support,AML,74,9,39,59,54,59,49,14,4,54,49,54,39,44,79,69,4,59,59,79,59,9,59,59,4,54,54,14,24,74,64,4,74,59,64,29,14,14,14,54,59,29,54,69,9,59,54,3704,185,31000000.0,46000000.0,23930234.0,AML_Inverted Winger,13,16,57,73,43,86,62,20,49,41,86,54,44,84,74,55,53,65,58,Mathys Tel,53433654,149579,12,46.19,2.65,3.45,89.27,40.33,53.51,92,2000104850
35008097,,Sven Ulreich,1988-08-03,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,GK,192,87 kg,33,1.3000000 - 2.7000000,2500,332,-,,0,3,Shot Stopper,-,Goalkeeper,Defend,GK,54,54,49,69,64,69,64,59,69,59,64,19,14,59,49,14,39,4,34,34,29,74,24,74,49,54,4,4,4,64,4,74,49,39,19,59,64,74,54,64,74,4,69,34,59,29,49,3704,185,1.3,2.7,5000.0,GK_Goalkeeper,0,57,41,72,40,40,41,84,40,40,41,41,41,41,40,40,40,40,57,Sven Ulreich,5000,62780,0,50.1,0.39,0.0,73.37,19.95,83.78,92,35008097
2000180847,Inj,Noël Aséko Nkili,2005-11-22,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DM,MC",183,77 kg,16,17.5000000 - 22000000,3200,-,-,,0,-,Technical,-,Deep Lying Playmaker,Defend,DM,59,9,69,59,39,59,59,4,14,59,39,14,34,39,84,64,9,34,64,69,19,14,34,49,9,49,39,14,59,69,44,4,59,64,29,59,14,9,14,59,59,59,59,69,14,64,59,3704,185,17.5,22000000.0,5000.0,DM_Deep Lying Playmaker,6,18,53,68,83,42,50,20,82,52,43,46,48,41,45,44,46,46,53,Fali,24023059,21837,6,68.44,1.36,2.42,94.72,31.36,64.69,92,2000180847
91205042,Inj,Lukas Schneller,2001-10-26,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Left Only,Weak,Very Strong,GK,188,76 kg,20,40000 - 375000,226000,14,-,,0,-,Assertive,-,Sweeper Keeper,Attack,GK,49,59,84,59,49,59,79,54,54,54,54,9,9,44,79,14,89,9,54,59,4,59,29,64,59,19,4,4,14,54,4,59,54,54,9,59,49,69,89,44,49,14,54,54,54,54,59,3704,185,40000.0,375000.0,22361171.0,GK_Sweeper Keeper,0,61,42,77,41,41,41,87,41,41,41,41,41,41,41,41,41,41,61,Lucas Chevalier,29160169,43812,0,53.66,0.58,0.0,75.43,19.85,87.36,92,91205042
2000065722,Inj,Gabriel Marušić,2003-03-03,CRO,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Weak,Very Strong,"DL,DC",186,78 kg,19,18000 - 180000,10000,12,-,U20,0,-,Technical,-,No-Nonsense Full-Back,Defend,DL,59,9,54,54,54,59,59,9,4,54,49,14,34,44,29,39,4,29,54,39,14,4,54,59,4,34,29,14,59,49,34,14,59,54,29,59,14,4,4,54,59,59,54,54,9,49,54,3704,185,18000.0,180000.0,5000.0,DL_No-Nonsense Full-Back,4,14,46,62,43,42,41,20,42,77,42,79,56,40,56,49,57,75,47,Gabriel Martinelli,7519030,2246,3,71.39,1.22,0.7,96.58,32.61,63.92,92,2000065722
2000175468,,Emirhan Demircan,2005-01-20,TUR,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"ML,AMR,AML",183,75 kg,17,50000 - 475000,10000,-,-,,0,-,Technical,-,Inverted Winger,Support,AML,64,4,34,59,39,44,34,14,14,39,34,29,44,34,59,64,4,54,59,74,29,4,34,54,9,14,39,14,19,64,54,14,64,54,34,19,4,4,4,44,39,24,44,64,14,59,44,3704,185,50000.0,475000.0,5000.0,AML_Inverted Winger,13,15,45,62,42,77,58,20,48,40,77,51,42,53,78,52,50,59,47,Emirhan İlkhan,12864224,5093,11,47.3,2.21,3.42,91.07,39.08,55.24,92,2000175468
2000171033,,Matteo Schablas,2005-03-14,AUT,Bundesliga,FC Bayern,Germany (Bundesliga),Left Only,Weak,Very Strong,"DL,WBL",180,70 kg,17,190000 - 550000,725,-,-,,0,-,Technical,-,Wing-Back,Attack,DL,64,9,39,59,39,44,49,9,9,44,39,24,54,39,59,59,9,34,54,59,24,19,29,49,4,14,34,29,44,64,59,14,59,54,34,49,14,4,4,59,34,54,59,59,4,54,54,3704,185,190000.0,550000.0,5000.0,DL_Wing-Back,4,15,47,62,43,42,41,20,42,48,42,79,56,40,56,49,57,79,47,Matteo Gabbia,12381792,5329,4,70.9,1.01,2.27,89.36,32.98,57.6,92,2000171033
2000180831,,Max Scholze,2005-04-30,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"DR,WBR,MR,AMR",184,78 kg,17,12000 - 120000,41500,-,-,,0,-,Physical,-,Complete Wing-Back,Support,DR,54,9,54,54,24,44,39,9,4,24,34,24,34,64,59,44,4,34,64,44,29,9,29,49,14,4,34,24,39,49,29,9,54,39,4,19,14,4,9,64,44,54,54,44,9,34,54,3704,185,12000.0,120000.0,840789.0,DR_Complete Wing-Back,2,15,40,55,44,41,40,20,42,48,71,44,74,40,44,73,74,42,41,Manu Sánchez,543914,100,5,63.6,0.99,1.36,85.76,30.76,60.08,92,2000180831
2000197180,,Kaan Bengi,2005-03-31,TUR,Bundesliga,FC Bayern,Germany (Bundesliga),Left Only,Weak,Very Strong,"DL,DC,WBL",185,77 kg,17,35000 - 350000,23500,-,-,U19,0,-,Physical,-,Central Defender,Defend,DC,59,4,49,44,34,44,59,14,9,39,34,54,54,49,64,29,4,29,34,24,54,14,64,59,9,54,34,39,59,64,24,4,59,44,19,34,4,19,9,54,59,44,44,44,9,29,44,3704,185,35000.0,350000.0,2016457.0,DC_Central Defender,3,13,44,61,54,40,40,20,44,77,41,78,57,40,42,43,44,78,46,Kaan Ayhan,11063555,3184,4,65.75,1.11,0.47,88.16,30.31,62.5,92,2000197180
2000197188,,Luka Klanac,2005-06-16,CRO,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"AMR,AML,ST",186,76 kg,17,28000 - 275000,15750,-,-,,0,-,Technical,-,Inverted Winger,Support,AML,59,14,59,59,54,29,9,19,14,44,34,39,49,49,59,59,9,59,69,34,29,4,54,59,4,9,24,29,24,59,39,14,59,54,24,39,14,4,14,44,24,24,34,44,4,54,59,3704,185,28000.0,275000.0,5000.0,AML_Inverted Winger,13,18,44,59,41,75,57,20,47,40,75,51,42,73,66,51,49,59,44,Luca Kilian,8062583,100,12,47.69,1.93,2.64,93.68,40.79,46.53,92,2000197188
2000147145,,Benjamin Ballis,2005-01-25,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right Only,Very Strong,Weak,GK,185,75 kg,17,130000 - 400000,18250,-,-,,0,-,Shot Stopper,-,Sweeper Keeper,Defend,GK,49,54,34,54,54,44,54,44,49,34,69,14,14,24,54,9,24,4,39,14,24,59,4,59,69,19,14,4,9,74,14,59,39,49,14,69,34,74,64,14,24,14,44,19,39,39,39,3704,185,130000.0,400000.0,5000.0,GK_Sweeper Keeper,0,50,32,65,40,40,40,79,40,40,40,40,40,40,40,40,40,40,50,Benjamin André,16701001,13592,0,61.97,0.0,0.0,80.91,20.04,82.85,92,2000147145
2000197186,,Yousef Qashi,2005-04-15,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMC",178,69 kg,17,30000 - 300000,9250,-,-,,0,-,Technical,-,Inverted Winger,Support,AML,59,14,24,59,39,39,29,14,9,39,29,59,34,34,54,54,4,39,69,64,59,9,24,39,14,54,44,19,39,64,54,9,54,69,9,29,14,14,9,49,34,34,39,69,14,54,44,3704,185,30000.0,300000.0,13402656.0,AML_Inverted Winger,13,20,46,60,42,73,76,20,76,40,66,51,42,52,66,52,49,59,45,Youssef Maleh,9819344,524,8,62.9,1.6,2.41,89.01,36.61,62.65,92,2000197186
2000148193,Inj,Tom Ritzy Hülsmann,2004-04-11,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,GK,198,80 kg,18,65000 - 200000,416000,3,-,,0,-,Shot Stopper,-,Goalkeeper,Defend,GK,44,74,79,64,49,39,44,39,39,39,44,9,14,69,49,4,79,4,19,4,24,69,4,79,44,19,9,14,14,54,9,34,44,29,9,49,44,69,54,34,29,9,39,29,44,34,34,3704,185,65000.0,200000.0,35792945.0,GK_Goalkeeper,0,49,32,63,40,40,40,77,40,40,40,40,40,40,40,40,40,40,48,Tom Bischof,10851562,5613,0,62.37,0.05,0.0,81.74,19.88,72.54,92,2000148193
2000197181,,Ben Emci,2005-02-22,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DR,DC,WBR",182,72 kg,17,65000 - 190000,83000,-,-,,0,-,Technical,-,No-Nonsense Full-Back,Defend,DR,49,14,59,39,39,44,44,9,14,44,34,24,24,74,59,39,14,14,49,24,24,4,44,49,9,19,24,39,39,74,34,9,34,59,19,44,19,14,9,29,54,59,44,49,4,44,44,3704,185,65000.0,190000.0,9459320.0,DR_No-Nonsense Full-Back,2,17,41,56,44,41,40,20,42,73,42,44,75,40,44,59,75,42,42,Eliesse Ben Seghir,2300675,100,2,75.05,0.17,0.53,92.17,29.14,61.25,92,2000197181
2000197175,,Benedikt Wimmer,2005-02-12,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right Only,Very Strong,Weak,DC,195,82 kg,17,8000 - 80000,6750,-,-,,0,-,Physical,-,Central Defender,Defend,DC,54,9,29,39,39,59,49,14,14,44,44,34,34,34,59,9,14,9,49,24,9,14,64,84,14,59,14,39,39,44,44,14,59,39,19,49,4,19,4,49,54,69,44,24,4,14,49,3704,185,8000.0,80000.0,3425298.0,DC_Central Defender,3,16,39,58,54,40,40,20,43,75,40,54,55,40,41,43,44,45,43,Kenedy,6018915,100,3,72.3,0.59,0.0,94.29,26.4,63.85,92,2000197175
2000149996,Inj,Benjamin Dibrani,2004-02-09,KOS,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMR,AML,AMC",177,68 kg,18,35000 - 350000,6750,-,-,U21,0,-,Creative,Damaged cruciate ligaments,Inverted Winger,Support,AML,59,14,34,49,34,39,34,9,9,34,34,34,44,69,64,49,4,34,39,59,34,9,34,44,4,24,39,4,24,54,39,4,59,69,19,39,4,9,4,39,49,34,64,64,14,34,39,3704,185,35000.0,350000.0,1203462.0,AML_Inverted Winger,13,14,43,59,41,75,74,20,74,40,75,51,42,52,66,51,49,59,44,Benjamin Tahirovic,5483667,100,10,48.25,1.84,2.73,93.95,38.38,59.06,92,2000149996
91205070,Inj,Moritz Mosandl,2002-06-17,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"DR,DM,MC",183,71 kg,20,20000 - 190000,6750,3,-,,0,-,Leader,Damaged cruciate ligaments,Central Midfielder,Support,MC,59,9,54,34,44,69,39,4,9,39,34,19,39,54,89,39,14,39,59,29,34,14,34,54,4,39,39,4,54,44,44,4,59,64,19,39,4,14,19,49,24,64,69,44,9,39,64,3704,185,20000.0,190000.0,5000.0,MC_Central Midfielder,7,17,46,61,77,50,67,20,76,44,50,45,77,42,54,49,47,52,46,Josan,2123540,100,5,74.73,1.32,0.58,91.02,32.2,60.55,92,91205070
