UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best_Role,Best Duty,Best_Pos,Acceleration,Aerial_Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command_of_Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Determination,Dribbling,Eccentricity,Finishing,First_Touch,Flair,Free_Kick_Taking,Handling,Heading,Jumping_Reach,Kicking,Leadership,Long_Shots,Long_Throws,Marking,Natural_Fitness,Off_the_Ball,One_on_Ones,Pace,Passing,Penalty_Taking,Positioning,Punching,Reflexes,Rushing_Out,Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work_Rate,Club_id,League_id,Min_Value,Max_Value,Market_Value,Player_Role,Pos_Rank,gk,tpr_general,tpr,tpr_DM,tpr_AML,tpr_AMC,tpr_GK,tpr_MC,tpr_DC,tpr_AMR,tpr_DL,tpr_DR,tpr_ST,tpr_ML,tpr_MR,tpr_WBR,tpr_WBL,tpr_Best,fbref_player_name,Predicted_Market_Value,Predicted_Wage
91013383,Inj,Marco Reus,1989-05-31,GER,Bundesliga,Borussia Dortmund,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"AMR,AML,AMC,ST",180,71 kg,33,29000000 - 36000000,1247000,389,152,,48,2,Technical,-,Inverted Winger,Support,AML,69,9,74,59,74,69,59,4,14,79,74,74,64,74,89,64,4,79,79,64,79,19,29,39,4,64,74,34,29,59,89,9,64,74,74,49,4,14,9,64,44,44,69,79,9,69,74,1779,185,29000000.0,36000000.0,101926616.0,AML_Inverted Winger,13,19,67,83,43,94,93,21,52,41,94,57,44,91,79,58,54,69,67,Marco Reus,57519315,302899
85104424,,Kingsley Coman,1996-06-13,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,ML,AMR,AML",179,75 kg,26,55000000 - 83000000,1080000,176,30,,40,9,Creative,-,Inverted Winger,Support,AML,94,9,54,79,64,69,59,4,9,59,59,54,64,59,69,84,9,59,74,84,34,4,44,49,4,24,69,19,34,64,69,9,84,64,49,39,9,9,14,59,49,39,59,79,14,64,59,3704,185,55000000.0,83000000.0,96286558.0,AML_Inverted Winger,13,17,61,78,43,89,64,21,50,41,89,55,44,58,91,89,53,66,62,Kingsley Coman,101926616,461596
35007944,Inj,Mats Hummels,1988-12-16,GER,Bundesliga,Borussia Dortmund,Germany (Bundesliga),Right,Very Strong,Fairly Strong,DC,191,94 kg,33,15.5000000 - 23000000,582000,429,34,,76,21,Intelligent,-,Ball Playing Defender,Defend,DC,39,4,54,34,84,79,69,4,14,84,74,24,54,84,79,54,14,49,69,64,39,14,84,79,4,74,44,39,74,64,64,4,39,79,54,79,9,14,4,49,79,79,79,74,14,79,44,1779,185,15.5,23000000.0,56414428.0,DC_Ball Playing Defender,3,19,63,82,62,41,41,21,45,94,42,63,64,42,44,44,47,48,66,Mats Hummels,55493004,299860
67197145,Wnt,Lucas Hernández,1996-02-14,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Weak,Very Strong,"DL,DC",184,79 kg,26,52000000 - 63000000,997000,153,2,Main,32,9,Leader,-,Full-Back,Support,DL,69,4,84,64,64,74,94,14,19,69,74,19,59,69,94,64,4,34,59,49,44,9,69,69,14,59,34,59,74,69,59,9,79,69,39,79,4,9,4,74,64,84,74,64,9,59,79,3704,185,52000000.0,63000000.0,93550499.0,DL_Full-Back,4,17,64,82,44,43,42,20,44,93,44,96,63,41,64,53,64,90,66,Lucas Hernández,96286558,414614
85120944,Wnt,Benjamin Pavard,1996-03-28,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DR,DC,WBR",186,76 kg,26,22000000 - 32000000,831000,186,6,Main,45,15,Technical,-,Full-Back,Support,DR,59,4,39,59,79,79,64,14,9,84,69,19,59,74,64,54,9,39,69,54,29,14,69,74,9,39,49,59,74,74,59,9,69,74,34,74,4,14,9,74,59,74,79,69,14,64,74,3704,185,22000000.0,32000000.0,74694239.0,DR_Full-Back,2,19,62,79,48,43,41,20,44,90,44,46,93,41,47,70,93,44,63,Benjamin Pavard,56414428,232639
16182894,,Dayot Upamecano,1998-10-27,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,DC,186,90 kg,23,45000000 - 68000000,291000,173,5,,6,16,Physical,-,Ball Playing Defender,Defend,DC,79,4,79,59,69,79,79,9,14,69,64,19,34,64,79,59,4,34,59,54,19,9,69,74,4,39,29,24,74,74,49,9,84,69,29,69,9,4,14,69,84,79,59,59,14,64,69,3704,185,45000000.0,68000000.0,9324434.0,DC_Ball Playing Defender,3,17,60,79,61,41,41,20,45,92,42,62,63,41,43,44,46,47,63,Dayot Upamecano,93550499,384131
29232937,,Jude Bellingham,2003-06-29,ENG,Bundesliga,Borussia Dortmund,Germany (Bundesliga),Right,Very Strong,Reasonable,"DM,MC",186,75 kg,18,110000000 - 132000000,665000,102,8,Main,15,4,Leader,-,Ball Winning Midfielder,Support,MC,74,9,84,74,69,69,89,4,14,74,54,49,54,54,99,79,9,64,79,79,39,9,59,59,14,69,59,29,59,79,69,9,74,74,54,49,9,9,4,79,54,64,74,79,14,64,84,1779,185,110000000.0,132000000.0,64064287.0,MC_Ball Winning Midfielder,7,19,68,84,95,57,81,21,94,46,56,47,49,43,61,55,52,59,68,Jude Bellingham,55923512,136143
92051583,,Timo Werner,1996-03-06,GER,Bundesliga,RB Leipzig,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"ML,AML,ST",180,75 kg,26,44000000 - 54000000,83000,279,102,,53,7,Physical,-,Pressing Forward,Attack,ST,89,14,79,69,64,84,54,4,14,64,59,29,44,54,59,59,9,59,54,54,34,14,64,54,14,29,49,19,29,74,79,4,84,54,84,24,14,19,4,79,59,39,74,59,4,59,89,8733,185,44000000.0,54000000.0,22273800.0,ST_Pressing Forward,12,17,60,78,41,89,59,20,44,41,65,41,41,88,89,48,45,42,62,Timo Werner,63267474,298952
91107360,,Niklas Süle,1995-09-03,GER,Bundesliga,Borussia Dortmund,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,DC",195,99 kg,26,28000000 - 42000000,765000,228,13,,40,11,Physical,-,Ball Playing Defender,Defend,DC,59,4,54,49,69,84,74,4,14,69,69,19,59,64,74,59,4,39,59,54,24,19,74,84,9,54,59,54,74,59,54,4,79,64,49,74,19,9,14,64,89,79,59,59,9,59,59,1779,185,28000000.0,42000000.0,82566994.0,DC_Ball Playing Defender,3,17,61,80,61,41,41,21,45,93,42,62,93,42,43,44,46,48,64,Niklas Süle,70413751,310823
85023676,,Thorgan Hazard,1993-03-29,BEL,Bundesliga,Borussia Dortmund,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,ML,AMR,AML,AMC,ST",175,71 kg,29,32000000 - 48000000,332000,306,61,Main,45,10,Creative,-,Inverted Winger,Support,ML,69,9,69,64,54,49,49,9,4,49,64,74,64,59,64,69,14,59,69,64,64,14,34,39,14,49,64,34,39,54,64,4,69,64,64,39,9,4,4,64,44,39,74,74,4,64,74,1779,185,32000000.0,48000000.0,53433654.0,ML_Inverted Winger,10,17,60,76,44,87,87,20,51,41,87,65,46,85,89,88,54,75,60,Thorgan Hazard,25941776,146605
24004434,,Andrej Kramarić,1991-06-19,CRO,Bundesliga,TSG Hoffenheim,Germany (Bundesliga),Either,Very Strong,Strong,"AMC,ST",177,73 kg,31,,166000,336,158,Main,71,8,Creative,-,Advanced Forward,Attack,ST,69,14,64,79,74,59,44,14,4,64,59,59,64,59,69,64,19,69,74,79,74,4,69,49,4,54,64,29,24,69,69,9,64,64,79,34,14,9,14,79,54,34,54,74,9,74,74,4935,185,,,5000.0,ST_Advanced Forward,12,19,64,80,41,71,90,21,44,41,66,42,41,90,52,48,45,42,64,Andrej Kramarić,16825991,114943
16045721,Lst,Marcel Sabitzer,1994-03-17,AUT,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMR,AML,AMC",178,76 kg,28,25000000,275,367,95,Main,64,7,Leader,-,Box To Box Midfielder,Support,MC,69,9,79,59,69,59,69,9,4,64,64,54,59,64,84,59,4,59,64,64,74,9,49,44,4,64,79,14,64,79,79,4,69,69,79,69,9,4,14,79,59,64,79,64,4,69,84,3704,185,25000000.0,,24023059.0,MC_Box To Box Midfielder,7,15,67,83,86,92,94,21,94,46,92,47,49,43,61,55,51,59,67,Marcel Sabitzer,74694239,325903
91119265,,Julian Brandt,1996-05-02,GER,Bundesliga,Borussia Dortmund,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,ML,MC,AMR,AML,AMC",185,83 kg,26,39000000 - 47000000,16500,261,50,,38,8,Technical,-,Inverted Winger,Support,AML,64,4,44,74,69,59,34,14,4,54,49,54,59,49,49,79,4,59,89,79,64,4,29,59,4,29,69,34,24,74,64,14,74,79,54,39,9,4,9,59,49,39,54,84,9,79,54,1779,185,39000000.0,47000000.0,29160169.0,AML_Inverted Winger,13,19,59,76,43,88,87,20,86,41,88,55,44,57,89,88,53,66,60,Julian Brandt,46767823,211953
55041694,Wnt,André Silva,1995-11-06,POR,Bundesliga,RB Leipzig,Germany (Bundesliga),Right,Very Strong,Fairly Strong,ST,185,84 kg,26,22000000 - 33000000,12500,266,103,,51,3,Intelligent,-,Poacher,Attack,ST,59,9,64,69,84,64,69,9,4,69,74,34,54,69,59,59,4,79,69,69,34,19,69,64,9,34,44,24,29,79,84,14,64,64,69,39,14,4,14,74,64,39,74,64,9,59,74,8733,185,22000000.0,33000000.0,7519030.0,ST_Poacher,12,18,62,80,41,71,60,21,44,41,66,42,41,90,52,48,45,42,64,André Silva,32934695,136283
5788648,,Dušan Tadić,1988-11-20,SRB,Eredivisie,Ajax,Holland (Eredivisie),Left,Reasonable,Very Strong,"AMR,AML,AMC,ST",181,76 kg,33,,6750,501,157,Main,88,21,Leader,-,Inverted Winger,Support,AMR,64,14,89,59,74,69,74,14,4,69,69,74,74,69,89,69,9,54,74,79,69,4,44,44,14,94,59,44,29,89,69,4,64,84,84,29,4,19,4,69,64,19,69,74,9,84,89,435,363,,,12864224.0,AMR_Inverted Winger,11,19,69,85,44,95,94,21,53,42,95,44,51,92,68,77,70,48,69,,26276307,142723
37062185,Wnt,Cody Gakpo,1999-05-07,NED,Eredivisie,PSV,Holland (Eredivisie),Right,Very Strong,Reasonable,"ML,AMR,AML,ST",189,76 kg,23,55000000 - 65000000,8250,117,44,Main,7,13,Creative,-,Inverted Winger,Attack,AML,74,9,39,79,64,64,59,14,14,64,64,84,69,59,69,79,9,59,74,74,59,19,59,69,4,69,74,24,24,49,64,19,69,59,54,29,9,14,9,64,59,19,64,69,4,64,59,8007,363,55000000.0,65000000.0,12381792.0,AML_Inverted Winger,13,19,62,79,43,90,65,21,51,41,90,56,44,88,92,57,53,67,63,,20489660,44672
85140301,,Christopher Nkunku,1997-11-14,FRA,Bundesliga,RB Leipzig,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,ML,MC,AMR,AML,AMC",175,73 kg,24,65000000 - 78000000,8250,149,39,,6,6,Intelligent,-,Advanced Playmaker,Support,AMC,74,19,69,74,74,64,59,9,9,79,74,69,64,79,54,69,4,69,69,74,69,4,29,44,4,29,64,34,34,69,74,4,74,79,54,34,4,14,4,79,54,34,79,74,14,74,74,8733,185,65000000.0,78000000.0,543914.0,AMC_Advanced Playmaker,9,18,65,81,51,91,92,21,91,41,91,43,43,58,93,91,47,46,65,Christopher Nkunku,61040776,240750
24048100,Wnt,Dani Olmo,1998-05-07,ESP,Bundesliga,RB Leipzig,Germany (Bundesliga),Right,Very Strong,Reasonable,"MC,AMR,AML,AMC",179,72 kg,24,36000000 - 54000000,10000,168,34,,24,14,Creative,-,Advanced Playmaker,Support,AMC,64,9,59,69,74,74,64,4,14,69,69,69,64,69,69,84,4,64,79,84,69,14,39,39,9,39,64,19,39,64,79,9,59,74,64,49,9,4,14,74,49,49,79,79,14,84,69,8733,185,36000000.0,54000000.0,11063555.0,AMC_Advanced Playmaker,9,19,66,82,52,92,93,21,92,41,92,43,43,58,67,55,47,47,66,Dani Olmo,42541828,142718
69000199,,Yann Sommer,1988-12-17,SUI,Bundesliga,Gladbach,Germany (Bundesliga),Right,Very Strong,Weak,GK,183,79 kg,33,18.5000000 - 23000000,8250,494,-,Main,74,31,Shot Stopper,-,Sweeper Keeper,Support,GK,54,59,64,69,69,69,69,64,69,79,74,24,14,74,79,14,69,4,54,49,29,69,29,64,64,79,14,9,9,89,9,79,54,59,14,79,39,89,89,59,54,14,59,59,59,54,59,1781,185,18.5,23000000.0,8062583.0,GK_Sweeper Keeper,0,66,50,82,41,41,41,91,41,41,41,41,41,41,41,41,41,41,66,Yann Sommer,17024400,119290
16147660,,Xaver Schlager,1997-09-28,AUT,Bundesliga,RB Leipzig,Germany (Bundesliga),Left,Fairly Strong,Very Strong,"DM,MC",174,76 kg,24,18000000 - 27000000,8250,182,17,Main,29,9,Leader,-,Ball Winning Midfielder,Defend,MC,59,14,79,59,74,69,79,19,14,69,74,19,39,64,84,59,4,44,69,54,59,9,39,44,4,69,59,19,64,79,64,14,59,69,39,69,4,14,4,79,59,79,79,69,4,69,84,8733,185,18000000.0,27000000.0,16701001.0,MC_Ball Winning Midfielder,7,18,63,79,91,55,78,21,90,45,55,46,48,43,60,54,51,57,63,Xaver Schlager,38987834,148020
92021718,Wnt,Emre Can,1994-01-12,GER,Bundesliga,Borussia Dortmund,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,DC,DM,MC",186,86 kg,28,23000000 - 35000000,10000,279,28,,37,13,Physical,-,Box To Box Midfielder,Support,MC,64,9,84,49,59,89,84,14,14,69,44,44,49,44,84,69,9,54,69,74,44,4,64,64,14,64,64,49,64,79,64,4,64,79,49,64,9,4,4,79,79,79,69,79,9,64,84,1779,185,23000000.0,35000000.0,9819344.0,MC_Box To Box Midfielder,7,18,66,82,94,56,80,21,93,93,56,47,93,43,61,55,51,58,66,Emre Can,58731422,267306
92079338,Wnt,Ridle Baku,1998-04-08,GER,Bundesliga,VfL Wolfsburg,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,WBR,MR,MC,AMR",176,72 kg,24,12.5000000 - 18.5000000,8250,143,13,,4,14,Physical,-,Wing-Back,Support,DR,74,14,64,59,59,59,74,4,14,59,49,34,59,59,79,64,9,54,59,64,34,19,34,39,4,29,59,39,54,89,79,9,74,59,29,59,4,4,9,74,59,64,79,59,9,59,84,11700,185,12.5,18.5,10851562.0,DR_Wing-Back,2,16,60,76,47,43,41,20,86,53,86,46,90,41,46,88,91,44,60,Ridle Baku,17789885,62241
75001932,,Charles Aránguiz,1989-04-17,CHI,Bundesliga,Bayer Leverkusen,Germany (Bundesliga),Right,Very Strong,Reasonable,"DM,MC",171,69 kg,33,6.6000000 - 9.8000000,10000,432,51,Main,96,-,Leader,-,Ball Winning Midfielder,Support,MC,54,9,69,74,79,69,69,9,9,79,69,59,64,74,79,54,4,39,69,49,64,9,49,34,14,59,54,39,59,84,59,9,54,74,84,64,4,9,4,79,49,64,89,74,9,64,84,1487,185,6.6,9.8,2300675.0,MC_Ball Winning Midfielder,7,17,66,82,94,56,80,21,93,46,56,47,49,43,61,55,51,58,66,Charles Aránguiz,22660853,148416
25019787,Wnt,Pavel Kadeřábek,1992-04-25,CZE,Bundesliga,TSG Hoffenheim,Germany (Bundesliga),Right,Very Strong,Reasonable,"DR,WBR,MR,AMR",182,81 kg,30,1.1000000 - 5.6000000,8000,302,22,,48,3,Physical,-,Full-Back,Attack,DR,69,14,64,54,49,79,74,14,19,39,64,34,69,44,79,54,9,44,49,49,34,9,54,54,9,59,54,74,54,69,69,14,79,49,54,54,4,14,9,84,69,64,69,49,9,49,79,4935,185,1.1,5.6,6018915.0,DR_Full-Back,2,17,59,76,47,43,41,20,44,53,86,46,90,41,46,88,91,44,60,Pavel Kadeřábek,2385816,48904
35017438,,Mario Götze,1992-06-03,GER,Bundesliga,Eintracht Frankfurt,Germany (Bundesliga),Right,Very Strong,Reasonable,"MC,AMC,ST",176,75 kg,30,25000000 - 37000000,8250,278,66,,63,2,Technical,-,Advanced Playmaker,Support,AMC,59,4,39,69,79,84,39,9,9,79,74,59,64,79,59,79,4,59,79,69,54,4,39,34,14,59,49,24,34,34,74,9,54,79,49,34,4,9,14,54,39,44,89,84,14,79,89,3441,185,25000000.0,37000000.0,5483667.0,AMC_Advanced Playmaker,9,19,62,78,51,72,89,21,89,41,70,42,43,87,66,54,46,46,62,Mario Götze,13180952,89464
37005632,,Daley Blind,1990-03-09,NED,Eredivisie,Ajax,Holland (Eredivisie),Left,Weak,Very Strong,"DL,DC,WBL,DM",180,72 kg,32,13.5000000 - 20000000,6750,320,14,Main,91,23,Intelligent,-,Deep Lying Playmaker,Support,DM,44,14,59,54,79,69,69,19,9,84,69,59,59,79,84,39,14,39,74,49,49,14,64,59,14,79,39,49,69,84,69,4,44,79,54,74,14,9,9,69,59,64,84,69,14,79,79,435,363,13.5,20000000.0,2123540.0,DM_Deep Lying Playmaker,6,22,65,81,93,43,53,20,77,92,44,93,50,41,46,46,48,93,65,,11243929,80794
37018393,,Davy Klaassen,1993-02-21,NED,Eredivisie,Ajax,Holland (Eredivisie),Right,Very Strong,Reasonable,"MC,AMC",181,75 kg,29,17.5000000 - 21000000,8250,268,79,,35,4,Leader,-,Ball Winning Midfielder,Defend,MC,54,9,84,64,84,69,64,14,9,64,79,39,54,74,89,54,4,69,69,64,39,14,64,49,4,69,59,24,34,84,79,9,59,59,69,59,14,9,9,79,59,54,89,64,9,69,89,435,363,17.5,21000000.0,8329170.0,MC_Ball Winning Midfielder,7,17,66,82,85,56,93,21,93,46,56,47,49,43,61,55,51,58,66,,15516524,67590
91107789,,Matthias Ginter,1994-01-19,GER,Bundesliga,SC Freiburg,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,DC",191,86 kg,28,13000000 - 15.5000000,5500,293,16,,46,18,Intelligent,-,Ball Playing Defender,Defend,DC,54,4,34,44,74,64,59,9,14,74,74,29,44,74,69,34,19,34,64,39,34,4,74,69,14,64,49,54,69,79,49,19,54,64,54,74,14,4,14,69,69,69,74,64,9,59,69,9350,185,13000000.0,15.5,13239551.0,DC_Ball Playing Defender,3,19,58,77,60,41,41,20,45,90,42,61,90,41,43,44,46,47,61,Matthias Ginter,11709477,66340
37005776,,Bas Dost,1989-05-31,NED,Eredivisie,FC Utrecht,Holland (Eredivisie),Right,Very Strong,Fairly Strong,ST,196,83 kg,33,70000 - 6.6000000,10000,400,213,,18,10,Intelligent,-,Poacher,Attack,ST,34,9,39,49,89,64,59,4,4,89,79,29,44,69,59,39,19,79,69,49,39,4,79,79,4,39,44,24,29,64,79,9,44,54,89,29,14,9,14,59,74,29,59,59,14,49,39,3938,363,70000.0,6.6,11650130.0,ST_Poacher,12,17,56,73,41,67,58,20,44,41,63,41,41,85,50,47,44,42,58,,5000,95521
91119700,Wnt,Jonathan Tah,1996-02-11,GER,Bundesliga,Bayer Leverkusen,Germany (Bundesliga),Right,Very Strong,Fairly Strong,DC,195,94 kg,26,12.5000000 - 19000000,8250,241,7,,16,14,Physical,-,Ball Playing Defender,Defend,DC,64,9,59,54,64,79,59,9,4,69,59,24,49,64,59,44,9,29,64,34,24,14,54,84,19,54,24,59,74,69,29,14,64,59,39,64,14,14,9,64,89,74,74,59,9,49,64,1487,185,12.5,19000000.0,6693909.0,DC_Ball Playing Defender,3,19,56,75,59,41,40,20,44,88,42,60,61,41,43,44,46,47,59,Jonathan Tah,21565524,101429
91109615,,Niklas Stark,1995-04-14,GER,Bundesliga,Werder Bremen,Germany (Bundesliga),Right,Very Strong,Fairly Strong,DC,190,88 kg,27,8.2000000 - 10000000,5750,207,9,,2,18,Physical,-,Ball Playing Defender,Defend,DC,64,4,64,59,64,64,69,14,14,64,54,29,39,64,64,49,14,44,59,34,34,14,64,74,14,54,49,49,64,74,49,9,69,59,39,64,4,14,4,69,69,64,89,54,9,49,79,9601,185,8.2,10000000.0,4919047.0,DC_Ball Playing Defender,3,17,58,76,59,41,41,20,44,89,42,60,62,41,43,44,46,47,60,Niklas Stark,5203882,34617
