,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,GK
Positioning,0.028188865398167725,0.052390586731977426,0.0292807988125759,0.0,0.0,0.029610389610389608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teamwork,0.031148696264975333,0.03332978383558727,0.030630144379975712,0.02696629213483146,0.0,0.05859740259740259,0.0,0.040890269151138726,0.028669043374925728,0.027219991075412762,0.030821917808219176,0.027503451205267072,0.03145051015041549,0.0
Vision,0.027343199436222692,0.026727718027899052,0.026042369450816356,0.033707865168539325,0.047058823529411764,0.031168831168831165,0.029970760233918127,0.05414078674948241,0.03104575163398693,0.029004908522980814,0.05136986301369863,0.03196347031963471,0.027453455348690443,0.0
Work_Rate,0.05384073291050036,0.03194547971462038,0.05154500067467278,0.030337078651685393,0.03058823529411765,0.054545454545454536,0.025584795321637425,0.03167701863354038,0.03163992869875223,0.029451137884872823,0.02945205479452055,0.02814059679303388,0.03071421058167666,0.0
Acceleration,0.05581395348837209,0.02587583856884251,0.05559303737687222,0.046067415730337076,0.03529411764705882,0.026701298701298698,0.04751461988304093,0.028157349896480336,0.05793226381461675,0.057563587684069606,0.028767123287671233,0.043644472762026126,0.029872725360260862,0.0
Agility,0.030021141649048625,0.02534341390693217,0.028741060585615975,0.04269662921348315,0.054117647058823534,0.026597402597402595,0.03216374269005848,0.0303312629399586,0.05510992275698158,0.04774654172244534,0.026712328767123285,0.03196347031963471,0.027979383612075318,0.0
Balance,0.030303030303030304,0.028963901607922476,0.048846309539873164,0.028089887640449437,0.023529411764705882,0.028883116883116882,0.031432748538011694,0.028778467908902698,0.028371954842543075,0.028558679161088802,0.031506849315068496,0.0316448975257513,0.04491427369306827,0.0
Jumping_Reach,0.0,0.03141305505271004,0.025097827553636487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024657534246575342,0.0,0.02808456926475229,0.0
Natural_Fitness,0.05158562367864694,0.030667660526035565,0.05586290649035218,0.029213483146067417,0.04941176470588235,0.031584415584415576,0.027046783625730996,0.031780538302277436,0.03357100415923945,0.04506916555109327,0.03013698630136986,0.0313263247318679,0.04175870411275902,0.0
Pace,0.056095842142353775,0.028644446810776273,0.05815679395493186,0.04719101123595505,0.03529411764705882,0.02732467532467532,0.0445906432748538,0.027536231884057977,0.05629827688651218,0.03480589022757698,0.02945205479452055,0.031751088457045766,0.03166088145576944,0.0
Stamina,0.054686398872445384,0.030135235864125226,0.05114019700445284,0.029213483146067417,0.03058823529411765,0.05464935064935064,0.029970760233918127,0.03115942028985508,0.03163992869875223,0.03168228469433289,0.030821917808219176,0.029414887968567487,0.030188282318291786,0.0
Strength,0.02635658914728682,0.04525609626237887,0.029415733369315883,0.02247191011235955,0.0,0.027116883116883116,0.027777777777777776,0.0,0.023469994058229353,0.024542614904060688,0.026712328767123285,0.024530105129021984,0.031134953192384563,0.0
Corners,0.0,0.0,0.0,0.033707865168539325,0.03058823529411765,0.0,0.027046783625730996,0.02691511387163562,0.02510398098633393,0.02320392681838465,0.0,0.02378676860996071,0.0,0.0
Crossing,0.029316420014094433,0.0,0.028741060585615975,0.03146067415730337,0.03058823529411765,0.026285714285714284,0.029970760233918127,0.028881987577639757,0.03074866310160428,0.027666220437304778,0.02602739726027397,0.028034405861739407,0.0,0.0
Dribbling,0.02945736434108527,0.023320200191672875,0.027256780461476185,0.055056179775280906,0.06117647058823529,0.02722077922077922,0.041666666666666664,0.03146997929606626,0.053030303030303025,0.04685408299866132,0.031506849315068496,0.05012211957098864,0.028294940570106238,0.0
Finishing,0.0,0.0,0.0,0.028089887640449437,0.023529411764705882,0.0,0.03216374269005848,0.027225672877846798,0.03104575163398693,0.03257474341811691,0.05821917808219178,0.03270680683869598,0.05753655201430524,0.0
First_Touch,0.030303030303030304,0.027899052284101798,0.02914586425583592,0.03258426966292135,0.051764705882352935,0.0535064935064935,0.031432748538011694,0.056107660455486555,0.03193701723113488,0.04373047746541723,0.04794520547945205,0.04821068280768823,0.03239718102450826,0.07692307692307693
Free_Kick_Taking,0.0,0.0,0.0,0.05056179775280899,0.023529411764705882,0.0,0.03070175438596491,0.027225672877846798,0.024212715389185978,0.027219991075412762,0.0,0.026016778167144528,0.0,0.0
Heading,0.0,0.05004791821957193,0.025232762110376467,0.0,0.0,0.0,0.027046783625730996,0.0,0.0,0.0,0.025342465753424658,0.0,0.031029767539707587,0.0
Long_Shots,0.0,0.0,0.0,0.029213483146067417,0.0,0.026181818181818178,0.03070175438596491,0.028881987577639757,0.02941176470588235,0.029451137884872823,0.028082191780821917,0.028034405861739407,0.027137898390659516,0.0
Long_Throws,0.023537702607470047,0.0,0.0,0.0,0.021176470588235293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marking,0.027202255109231854,0.03364923863273347,0.027526649574956145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passing,0.028893587033121917,0.03024172079650729,0.0292807988125759,0.033707865168539325,0.03529411764705882,0.05651948051948051,0.03070175438596491,0.05279503105590063,0.030154486036838977,0.031236055332440876,0.043835616438356165,0.0316448975257513,0.028189754917429265,0.07692307692307693
Penalty_Taking,0.0,0.0,0.0,0.03258426966292135,0.023529411764705882,0.025662337662337657,0.05847953216374269,0.027225672877846798,0.024064171122994655,0.03034359660865685,0.030821917808219176,0.03122013380057343,0.04575575891448407,0.0
Tackling,0.029034531360112754,0.0528165264615057,0.030900013493455673,0.0,0.02588235294117647,0.028779220779220776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Technique,0.030162085976039466,0.028005537216483866,0.02901092969909594,0.058426966292134834,0.058823529411764705,0.03137662337662337,0.05116959064327485,0.05766045548654246,0.04723707664884135,0.05622489959839358,0.05890410958904109,0.058617394074546046,0.03197643841380036,0.0
Aerial_Reach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Command_of_Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Eccentricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Handling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Kicking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
One_on_Ones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Punching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Reflexes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Rushing_Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Throwing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
