x_interval,y_interval,count,percentage,Pitch_Number
"(50.0, 60.0)","(10.0, 20.0)",284,0.751,62
"(50.0, 60.0)","(20.0, 30.0)",467,1.235,63
"(50.0, 60.0)","(30.0, 40.0)",453,1.198,64
"(50.0, 60.0)","(40.0, 50.0)",624,1.651,65
"(50.0, 60.0)","(50.0, 60.0)",634,1.677,66
"(50.0, 60.0)","(60.0, 70.0)",607,1.606,67
"(50.0, 60.0)","(70.0, 80.0)",537,1.42,68
"(50.0, 60.0)","(80.0, 90.0)",454,1.201,69
"(50.0, 60.0)","(90.0, 100.0)",289,0.764,70
"(50.0, 60.0)","(100.0, 110.0)",120,0.317,71
"(50.0, 60.0)","(110.0, 120.0)",91,0.241,72
"(60.0, 70.0)","(0.0, 10.0)",81,0.214,73
"(60.0, 70.0)","(10.0, 20.0)",156,0.413,74
"(60.0, 70.0)","(20.0, 30.0)",311,0.823,75
"(60.0, 70.0)","(30.0, 40.0)",424,1.122,76
"(60.0, 70.0)","(40.0, 50.0)",529,1.399,77
"(60.0, 70.0)","(50.0, 60.0)",560,1.481,78
"(60.0, 70.0)","(60.0, 70.0)",628,1.661,79
"(60.0, 70.0)","(70.0, 80.0)",602,1.592,80
"(60.0, 70.0)","(80.0, 90.0)",515,1.362,81
"(60.0, 70.0)","(90.0, 100.0)",352,0.931,82
"(60.0, 70.0)","(100.0, 110.0)",163,0.431,83
"(60.0, 70.0)","(110.0, 120.0)",91,0.241,84
"(70.0, 80.0)","(0.0, 10.0)",66,0.175,85
"(70.0, 80.0)","(10.0, 20.0)",155,0.41,86
"(70.0, 80.0)","(20.0, 30.0)",271,0.717,87
"(70.0, 80.0)","(30.0, 40.0)",340,0.899,88
"(70.0, 80.0)","(40.0, 50.0)",485,1.283,89
"(70.0, 80.0)","(50.0, 60.0)",509,1.346,90
"(70.0, 80.0)","(60.0, 70.0)",575,1.521,91
"(70.0, 80.0)","(70.0, 80.0)",549,1.452,92
"(70.0, 80.0)","(80.0, 90.0)",496,1.312,93
"(70.0, 80.0)","(90.0, 100.0)",409,1.082,94
"(70.0, 80.0)","(100.0, 110.0)",217,0.574,95
"(70.0, 80.0)","(110.0, 120.0)",231,0.611,96
