x_interval,y_interval,count,percentage,Pitch_Number
"(30.0, 40.0)","(30.0, 40.0)",6,0.513,40
"(30.0, 40.0)","(40.0, 50.0)",9,0.77,41
"(30.0, 40.0)","(50.0, 60.0)",7,0.599,42
"(30.0, 40.0)","(60.0, 70.0)",13,1.112,43
"(30.0, 40.0)","(70.0, 80.0)",13,1.112,44
"(30.0, 40.0)","(80.0, 90.0)",13,1.112,45
"(30.0, 40.0)","(90.0, 100.0)",21,1.796,46
"(30.0, 40.0)","(100.0, 110.0)",19,1.625,47
"(30.0, 40.0)","(110.0, 120.0)",8,0.684,48
"(40.0, 50.0)","(0.0, 10.0)",2,0.171,49
"(40.0, 50.0)","(10.0, 20.0)",0,0.0,50
"(40.0, 50.0)","(20.0, 30.0)",4,0.342,51
"(40.0, 50.0)","(30.0, 40.0)",12,1.027,52
"(40.0, 50.0)","(40.0, 50.0)",6,0.513,53
"(40.0, 50.0)","(50.0, 60.0)",11,0.941,54
"(40.0, 50.0)","(60.0, 70.0)",12,1.027,55
"(40.0, 50.0)","(70.0, 80.0)",12,1.027,56
"(40.0, 50.0)","(80.0, 90.0)",15,1.283,57
"(40.0, 50.0)","(90.0, 100.0)",21,1.796,58
"(40.0, 50.0)","(100.0, 110.0)",22,1.882,59
"(40.0, 50.0)","(110.0, 120.0)",2,0.171,60
"(50.0, 60.0)","(0.0, 10.0)",0,0.0,61
"(50.0, 60.0)","(10.0, 20.0)",7,0.599,62
"(50.0, 60.0)","(20.0, 30.0)",7,0.599,63
"(50.0, 60.0)","(30.0, 40.0)",9,0.77,64
"(50.0, 60.0)","(40.0, 50.0)",11,0.941,65
"(50.0, 60.0)","(50.0, 60.0)",10,0.855,66
"(50.0, 60.0)","(60.0, 70.0)",9,0.77,67
"(50.0, 60.0)","(70.0, 80.0)",18,1.54,68
"(50.0, 60.0)","(80.0, 90.0)",14,1.198,69
"(50.0, 60.0)","(90.0, 100.0)",33,2.823,70
"(50.0, 60.0)","(100.0, 110.0)",26,2.224,71
"(50.0, 60.0)","(110.0, 120.0)",10,0.855,72
"(60.0, 70.0)","(0.0, 10.0)",1,0.086,73
"(60.0, 70.0)","(10.0, 20.0)",6,0.513,74
"(60.0, 70.0)","(20.0, 30.0)",6,0.513,75
"(60.0, 70.0)","(30.0, 40.0)",14,1.198,76
"(60.0, 70.0)","(40.0, 50.0)",11,0.941,77
"(60.0, 70.0)","(50.0, 60.0)",14,1.198,78
"(60.0, 70.0)","(60.0, 70.0)",12,1.027,79
"(60.0, 70.0)","(70.0, 80.0)",7,0.599,80
"(60.0, 70.0)","(80.0, 90.0)",17,1.454,81
"(60.0, 70.0)","(90.0, 100.0)",18,1.54,82
"(60.0, 70.0)","(100.0, 110.0)",17,1.454,83
"(60.0, 70.0)","(110.0, 120.0)",6,0.513,84
"(70.0, 80.0)","(0.0, 10.0)",1,0.086,85
"(70.0, 80.0)","(10.0, 20.0)",3,0.257,86
"(70.0, 80.0)","(20.0, 30.0)",11,0.941,87
"(70.0, 80.0)","(30.0, 40.0)",17,1.454,88
"(70.0, 80.0)","(40.0, 50.0)",12,1.027,89
"(70.0, 80.0)","(50.0, 60.0)",7,0.599,90
"(70.0, 80.0)","(60.0, 70.0)",15,1.283,91
"(70.0, 80.0)","(70.0, 80.0)",23,1.967,92
"(70.0, 80.0)","(80.0, 90.0)",13,1.112,93
"(70.0, 80.0)","(90.0, 100.0)",18,1.54,94
"(70.0, 80.0)","(100.0, 110.0)",15,1.283,95
"(70.0, 80.0)","(110.0, 120.0)",5,0.428,96
