x_interval,y_interval,count,percentage,Pitch_Number
"(40.0, 50.0)","(90.0, 100.0)",93,9.947,58
"(40.0, 50.0)","(100.0, 110.0)",130,13.904,59
"(40.0, 50.0)","(110.0, 120.0)",102,10.909,60
"(50.0, 60.0)","(0.0, 10.0)",0,0.0,61
"(50.0, 60.0)","(10.0, 20.0)",0,0.0,62
"(50.0, 60.0)","(20.0, 30.0)",0,0.0,63
"(50.0, 60.0)","(30.0, 40.0)",0,0.0,64
"(50.0, 60.0)","(40.0, 50.0)",0,0.0,65
"(50.0, 60.0)","(50.0, 60.0)",1,0.107,66
"(50.0, 60.0)","(60.0, 70.0)",1,0.107,67
"(50.0, 60.0)","(70.0, 80.0)",1,0.107,68
"(50.0, 60.0)","(80.0, 90.0)",3,0.321,69
"(50.0, 60.0)","(90.0, 100.0)",33,3.529,70
"(50.0, 60.0)","(100.0, 110.0)",64,6.845,71
"(50.0, 60.0)","(110.0, 120.0)",30,3.209,72
"(60.0, 70.0)","(0.0, 10.0)",0,0.0,73
"(60.0, 70.0)","(10.0, 20.0)",0,0.0,74
"(60.0, 70.0)","(20.0, 30.0)",0,0.0,75
"(60.0, 70.0)","(30.0, 40.0)",0,0.0,76
"(60.0, 70.0)","(40.0, 50.0)",0,0.0,77
"(60.0, 70.0)","(50.0, 60.0)",0,0.0,78
"(60.0, 70.0)","(60.0, 70.0)",0,0.0,79
"(60.0, 70.0)","(70.0, 80.0)",0,0.0,80
"(60.0, 70.0)","(80.0, 90.0)",0,0.0,81
"(60.0, 70.0)","(90.0, 100.0)",0,0.0,82
"(60.0, 70.0)","(100.0, 110.0)",2,0.214,83
"(60.0, 70.0)","(110.0, 120.0)",2,0.214,84
"(70.0, 80.0)","(0.0, 10.0)",0,0.0,85
"(70.0, 80.0)","(10.0, 20.0)",0,0.0,86
"(70.0, 80.0)","(20.0, 30.0)",0,0.0,87
"(70.0, 80.0)","(30.0, 40.0)",0,0.0,88
"(70.0, 80.0)","(40.0, 50.0)",0,0.0,89
"(70.0, 80.0)","(50.0, 60.0)",0,0.0,90
"(70.0, 80.0)","(60.0, 70.0)",0,0.0,91
"(70.0, 80.0)","(70.0, 80.0)",1,0.107,92
"(70.0, 80.0)","(80.0, 90.0)",1,0.107,93
"(70.0, 80.0)","(90.0, 100.0)",0,0.0,94
"(70.0, 80.0)","(100.0, 110.0)",0,0.0,95
"(70.0, 80.0)","(110.0, 120.0)",0,0.0,96
