x_interval,y_interval,count,percentage,Pitch_Number
"(40.0, 50.0)","(90.0, 100.0)",90,10.297,58
"(40.0, 50.0)","(100.0, 110.0)",91,10.412,59
"(40.0, 50.0)","(110.0, 120.0)",96,10.984,60
"(50.0, 60.0)","(0.0, 10.0)",0,0.0,61
"(50.0, 60.0)","(10.0, 20.0)",0,0.0,62
"(50.0, 60.0)","(20.0, 30.0)",0,0.0,63
"(50.0, 60.0)","(30.0, 40.0)",0,0.0,64
"(50.0, 60.0)","(40.0, 50.0)",0,0.0,65
"(50.0, 60.0)","(50.0, 60.0)",0,0.0,66
"(50.0, 60.0)","(60.0, 70.0)",0,0.0,67
"(50.0, 60.0)","(70.0, 80.0)",0,0.0,68
"(50.0, 60.0)","(80.0, 90.0)",1,0.114,69
"(50.0, 60.0)","(90.0, 100.0)",28,3.204,70
"(50.0, 60.0)","(100.0, 110.0)",39,4.462,71
"(50.0, 60.0)","(110.0, 120.0)",35,4.005,72
"(60.0, 70.0)","(0.0, 10.0)",0,0.0,73
"(60.0, 70.0)","(10.0, 20.0)",0,0.0,74
"(60.0, 70.0)","(20.0, 30.0)",0,0.0,75
"(60.0, 70.0)","(30.0, 40.0)",0,0.0,76
"(60.0, 70.0)","(40.0, 50.0)",0,0.0,77
"(60.0, 70.0)","(50.0, 60.0)",0,0.0,78
"(60.0, 70.0)","(60.0, 70.0)",0,0.0,79
"(60.0, 70.0)","(70.0, 80.0)",0,0.0,80
"(60.0, 70.0)","(80.0, 90.0)",0,0.0,81
"(60.0, 70.0)","(90.0, 100.0)",1,0.114,82
"(60.0, 70.0)","(100.0, 110.0)",2,0.229,83
"(60.0, 70.0)","(110.0, 120.0)",1,0.114,84
"(70.0, 80.0)","(0.0, 10.0)",0,0.0,85
"(70.0, 80.0)","(10.0, 20.0)",0,0.0,86
"(70.0, 80.0)","(20.0, 30.0)",0,0.0,87
"(70.0, 80.0)","(30.0, 40.0)",0,0.0,88
"(70.0, 80.0)","(40.0, 50.0)",0,0.0,89
"(70.0, 80.0)","(50.0, 60.0)",0,0.0,90
"(70.0, 80.0)","(60.0, 70.0)",0,0.0,91
"(70.0, 80.0)","(70.0, 80.0)",0,0.0,92
"(70.0, 80.0)","(80.0, 90.0)",0,0.0,93
"(70.0, 80.0)","(90.0, 100.0)",0,0.0,94
"(70.0, 80.0)","(100.0, 110.0)",0,0.0,95
"(70.0, 80.0)","(110.0, 120.0)",0,0.0,96
