x_interval,y_interval,count,percentage,Pitch_Number
"(30.0, 40.0)","(10.0, 20.0)",1,0.107,38
"(30.0, 40.0)","(20.0, 30.0)",5,0.536,39
"(30.0, 40.0)","(30.0, 40.0)",6,0.643,40
"(30.0, 40.0)","(40.0, 50.0)",5,0.536,41
"(30.0, 40.0)","(50.0, 60.0)",4,0.429,42
"(30.0, 40.0)","(60.0, 70.0)",6,0.643,43
"(30.0, 40.0)","(70.0, 80.0)",7,0.75,44
"(30.0, 40.0)","(80.0, 90.0)",5,0.536,45
"(30.0, 40.0)","(90.0, 100.0)",7,0.75,46
"(30.0, 40.0)","(100.0, 110.0)",12,1.286,47
"(30.0, 40.0)","(110.0, 120.0)",2,0.214,48
"(40.0, 50.0)","(0.0, 10.0)",0,0.0,49
"(40.0, 50.0)","(10.0, 20.0)",1,0.107,50
"(40.0, 50.0)","(20.0, 30.0)",5,0.536,51
"(40.0, 50.0)","(30.0, 40.0)",6,0.643,52
"(40.0, 50.0)","(40.0, 50.0)",6,0.643,53
"(40.0, 50.0)","(50.0, 60.0)",2,0.214,54
"(40.0, 50.0)","(60.0, 70.0)",5,0.536,55
"(40.0, 50.0)","(70.0, 80.0)",6,0.643,56
"(40.0, 50.0)","(80.0, 90.0)",6,0.643,57
"(40.0, 50.0)","(90.0, 100.0)",12,1.286,58
"(40.0, 50.0)","(100.0, 110.0)",21,2.251,59
"(40.0, 50.0)","(110.0, 120.0)",2,0.214,60
"(50.0, 60.0)","(0.0, 10.0)",1,0.107,61
"(50.0, 60.0)","(10.0, 20.0)",4,0.429,62
"(50.0, 60.0)","(20.0, 30.0)",5,0.536,63
"(50.0, 60.0)","(30.0, 40.0)",9,0.965,64
"(50.0, 60.0)","(40.0, 50.0)",5,0.536,65
"(50.0, 60.0)","(50.0, 60.0)",9,0.965,66
"(50.0, 60.0)","(60.0, 70.0)",5,0.536,67
"(50.0, 60.0)","(70.0, 80.0)",10,1.072,68
"(50.0, 60.0)","(80.0, 90.0)",13,1.393,69
"(50.0, 60.0)","(90.0, 100.0)",19,2.036,70
"(50.0, 60.0)","(100.0, 110.0)",17,1.822,71
"(50.0, 60.0)","(110.0, 120.0)",13,1.393,72
"(60.0, 70.0)","(0.0, 10.0)",1,0.107,73
"(60.0, 70.0)","(10.0, 20.0)",1,0.107,74
"(60.0, 70.0)","(20.0, 30.0)",4,0.429,75
"(60.0, 70.0)","(30.0, 40.0)",8,0.857,76
"(60.0, 70.0)","(40.0, 50.0)",14,1.501,77
"(60.0, 70.0)","(50.0, 60.0)",10,1.072,78
"(60.0, 70.0)","(60.0, 70.0)",12,1.286,79
"(60.0, 70.0)","(70.0, 80.0)",11,1.179,80
"(60.0, 70.0)","(80.0, 90.0)",8,0.857,81
"(60.0, 70.0)","(90.0, 100.0)",24,2.572,82
"(60.0, 70.0)","(100.0, 110.0)",23,2.465,83
"(60.0, 70.0)","(110.0, 120.0)",20,2.144,84
"(70.0, 80.0)","(0.0, 10.0)",1,0.107,85
"(70.0, 80.0)","(10.0, 20.0)",2,0.214,86
"(70.0, 80.0)","(20.0, 30.0)",7,0.75,87
"(70.0, 80.0)","(30.0, 40.0)",11,1.179,88
"(70.0, 80.0)","(40.0, 50.0)",12,1.286,89
"(70.0, 80.0)","(50.0, 60.0)",9,0.965,90
"(70.0, 80.0)","(60.0, 70.0)",16,1.715,91
"(70.0, 80.0)","(70.0, 80.0)",14,1.501,92
"(70.0, 80.0)","(80.0, 90.0)",17,1.822,93
"(70.0, 80.0)","(90.0, 100.0)",21,2.251,94
"(70.0, 80.0)","(100.0, 110.0)",14,1.501,95
"(70.0, 80.0)","(110.0, 120.0)",13,1.393,96
