,league_id,team_name,team_id,opponent_name,opponent_id,team_power,opponent_power,team_date,opponent_date,team_time,opponent_time,team_round,opponent_round,team_day,opponent_day,team_venue,opponent_venue,team_result,opponent_result,team_gf,opponent_gf,team_ga,opponent_ga,team_opponent,opponent_opponent,team_goals,opponent_goals,team_shots,opponent_shots,team_shots_on_target,opponent_shots_on_target,team_shots_on_target_percentage,opponent_shots_on_target_percentage,team_goals_per_shot,opponent_goals_per_shot,team_goals_per_shot_on_target,opponent_goals_per_shot_on_target,team_distance_covered,opponent_distance_covered,team_free_kicks,opponent_free_kicks,team_penalties,opponent_penalties,team_penalty_attempts,opponent_penalty_attempts,team_expected_goals,opponent_expected_goals,team_non-penalty_expected_goals,opponent_non-penalty_expected_goals,team_expected_goals_per_shot,opponent_expected_goals_per_shot,team_goals_minus_expected_goals,opponent_goals_minus_expected_goals,team_non-penalty_goals_minus_expected_goals,opponent_non-penalty_goals_minus_expected_goals,team_match_report,opponent_match_report,team_finishing,opponent_finishing
34,13,Manchester City,10,Everton,7,85,77,2023-05-14,2023-05-14,14:00,14:00,Matchweek 36,Matchweek 36,Sun,Sun,Away,Home,W,L,3,0,0,3,Everton,Everton,3,0,9,7,4,2,44.4,28.6,0.33,0.0,0.75,0.0,19.3,7.6,2,0,0,0,0,0,0.8,1.6,0.8,1.6,0.08,0.27,2.2,-1.6,2.2,-1.6,Match Report,Match Report,82,77
35,13,Manchester City,10,Chelsea,5,85,84,2023-05-21,2023-05-21,16:00,16:00,Matchweek 37,Matchweek 37,Sun,Sun,Home,Away,W,L,1,0,0,1,Chelsea,Chelsea,1,0,15,13,2,6,13.3,46.2,0.07,0.0,0.5,0.0,18.8,15.7,0,1,0,0,0,0,1.2,1.2,1.2,1.2,0.08,0.1,-0.2,-1.2,-0.2,-1.2,Match Report,Match Report,82,73
36,13,Manchester City,10,Brighton,1808,85,75,2023-05-24,2023-05-24,20:00,20:00,Matchweek 32,Matchweek 32,Wed,Wed,Away,Home,D,D,1,1,1,1,Brighton,Brighton,1,1,13,20,4,7,30.8,35.0,0.08,0.05,0.25,0.14,13.9,17.4,0,2,0,0,0,0,1.8,2.2,1.8,2.2,0.14,0.12,-0.8,-1.2,-0.8,-1.2,Match Report,Match Report,82,70
37,13,Manchester City,10,Brentford,1925,85,74,2023-05-28,2023-05-28,16:30,16:30,Matchweek 38,Matchweek 38,Sun,Sun,Away,Home,L,W,0,1,1,0,Brentford,Brentford,0,1,17,11,2,4,11.8,36.4,0.0,0.09,0.0,0.25,16.8,14.0,0,0,0,0,0,0,1.6,1.3,1.6,1.3,0.11,0.12,-1.6,-0.3,-1.6,-0.3,Match Report,Match Report,82,67
38,13,Arsenal,1,Crystal Palace,1799,79,76,2022-08-05,2022-08-05,20:00,20:00,Matchweek 1,Matchweek 1,Fri,Fri,Away,Home,W,L,2,0,0,2,Crystal Palace,Crystal Palace,1,0,10,10,2,2,20.0,20.0,0.1,0.0,0.5,0.0,14.6,14.2,1,0,0,0,0,0,1.0,1.2,1.0,1.2,0.1,0.12,0.0,-1.2,0.0,-1.2,Match Report,Match Report,78,70
39,13,Arsenal,1,Leicester City,95,79,78,2022-08-13,2022-08-13,15:00,15:00,Matchweek 2,Matchweek 2,Sat,Sat,Home,Away,W,L,4,2,2,4,Leicester City,Leicester City,4,1,19,6,7,2,36.8,33.3,0.21,0.17,0.57,0.5,13.0,14.6,0,0,0,0,0,0,2.7,0.5,2.7,0.5,0.16,0.08,1.3,0.5,1.3,0.5,Match Report,Match Report,78,77
40,13,Arsenal,1,Bournemouth,1943,79,74,2022-08-20,2022-08-20,17:30,17:30,Matchweek 3,Matchweek 3,Sat,Sat,Away,Home,W,L,3,0,0,3,Bournemouth,Bournemouth,3,0,14,6,6,1,42.9,16.7,0.21,0.0,0.5,0.0,14.8,18.5,0,1,0,0,0,0,1.3,0.3,1.3,0.3,0.1,0.05,1.7,-0.3,1.7,-0.3,Match Report,Match Report,78,70
41,13,Arsenal,1,Fulham,144,79,76,2022-08-27,2022-08-27,17:30,17:30,Matchweek 4,Matchweek 4,Sat,Sat,Home,Away,W,L,2,1,1,2,Fulham,Fulham,2,1,22,11,8,3,36.4,27.3,0.09,0.09,0.25,0.33,15.5,13.7,1,0,0,0,0,0,2.6,0.8,2.6,0.8,0.12,0.08,-0.6,0.2,-0.6,0.2,Match Report,Match Report,78,76
42,13,Arsenal,1,Aston Villa,2,79,79,2022-08-31,2022-08-31,19:30,19:30,Matchweek 5,Matchweek 5,Wed,Wed,Home,Away,W,L,2,1,1,2,Aston Villa,Aston Villa,2,1,22,4,8,3,36.4,75.0,0.09,0.25,0.25,0.33,16.3,19.2,1,0,0,0,0,0,2.4,0.4,2.4,0.4,0.12,0.11,-0.4,0.6,-0.4,0.6,Match Report,Match Report,78,72
43,13,Arsenal,1,Manchester Utd,11,79,82,2022-09-04,2022-09-04,16:30,16:30,Matchweek 6,Matchweek 6,Sun,Sun,Away,Home,L,W,1,3,3,1,Manchester Utd,Manchester Utd,1,3,16,10,3,6,18.8,60.0,0.06,0.3,0.33,0.5,18.6,15.5,1,0,0,0,0,0,1.3,1.5,1.3,1.5,0.08,0.16,-0.3,1.5,-0.3,1.5,Match Report,Match Report,78,81
44,13,Arsenal,1,Brentford,1925,79,74,2022-09-18,2022-09-18,12:00,12:00,Matchweek 8,Matchweek 8,Sun,Sun,Away,Home,W,L,3,0,0,3,Brentford,Brentford,3,0,13,5,7,2,53.8,40.0,0.23,0.0,0.43,0.0,18.2,13.9,0,1,0,0,0,0,1.5,0.5,1.5,0.5,0.12,0.11,1.5,-0.5,1.5,-0.5,Match Report,Match Report,78,67
45,13,Arsenal,1,Tottenham,18,79,81,2022-10-01,2022-10-01,12:30,12:30,Matchweek 9,Matchweek 9,Sat,Sat,Home,Away,W,L,3,1,1,3,Tottenham,Tottenham,3,1,22,6,9,2,40.9,33.3,0.14,0.0,0.33,0.0,18.6,19.9,1,0,0,1,0,1,2.4,1.6,2.4,0.8,0.11,0.13,0.6,-0.6,0.6,-0.8,Match Report,Match Report,78,75
46,13,Arsenal,1,Liverpool,9,79,84,2022-10-09,2022-10-09,16:30,16:30,Matchweek 10,Matchweek 10,Sun,Sun,Home,Away,W,L,3,2,2,3,Liverpool,Liverpool,3,2,10,8,6,3,60.0,37.5,0.2,0.25,0.33,0.67,14.3,18.0,0,0,1,0,1,0,2.7,1.1,2.3,1.1,0.24,0.14,0.3,0.9,-0.3,0.9,Match Report,Match Report,78,79
47,13,Arsenal,1,Leeds United,8,79,76,2022-10-16,2022-10-16,14:00,14:00,Matchweek 11,Matchweek 11,Sun,Sun,Away,Home,W,L,1,0,0,1,Leeds United,Leeds United,1,0,9,15,4,4,44.4,26.7,0.11,0.0,0.25,0.0,16.6,18.1,1,0,0,0,0,1,0.5,1.8,0.5,1.1,0.06,0.07,0.5,-1.8,0.5,-1.1,Match Report,Match Report,78,73
48,13,Arsenal,1,Southampton,17,79,75,2022-10-23,2022-10-23,14:00,14:00,Matchweek 13,Matchweek 13,Sun,Sun,Away,Home,D,D,1,1,1,1,Southampton,Southampton,1,1,12,10,3,3,25.0,30.0,0.08,0.1,0.33,0.33,17.2,19.4,0,0,0,0,0,0,1.0,0.7,1.0,0.7,0.08,0.07,0.0,0.3,0.0,0.3,Match Report,Match Report,78,70
49,13,Arsenal,1,Nott'ham Forest,14,79,76,2022-10-30,2022-10-30,14:00,14:00,Matchweek 14,Matchweek 14,Sun,Sun,Home,Away,W,L,5,0,0,5,Nott'ham Forest,Nott'ham Forest,5,0,24,5,9,2,37.5,40.0,0.21,0.0,0.56,0.0,16.0,20.4,1,0,0,0,0,0,2.3,0.4,2.3,0.4,0.1,0.09,2.7,-0.4,2.7,-0.4,Match Report,Match Report,78,73
50,13,Arsenal,1,Chelsea,5,79,84,2022-11-06,2022-11-06,12:00,12:00,Matchweek 15,Matchweek 15,Sun,Sun,Away,Home,W,L,1,0,0,1,Chelsea,Chelsea,1,0,14,5,2,1,14.3,20.0,0.07,0.0,0.5,0.0,14.5,16.0,0,0,0,0,0,0,2.1,0.3,2.1,0.3,0.16,0.06,-1.1,-0.3,-1.1,-0.3,Match Report,Match Report,78,73
51,13,Arsenal,1,Wolves,110,79,78,2022-11-12,2022-11-12,19:45,19:45,Matchweek 16,Matchweek 16,Sat,Sat,Away,Home,W,L,2,0,0,2,Wolves,Wolves,2,0,14,11,3,2,21.4,18.2,0.14,0.0,0.67,0.0,13.7,20.0,0,1,0,0,0,0,2.1,0.7,2.1,0.7,0.15,0.06,-0.1,-0.7,-0.1,-0.7,Match Report,Match Report,78,73
52,13,Arsenal,1,West Ham,19,79,79,2022-12-26,2022-12-26,20:00,20:00,Matchweek 17,Matchweek 17,Mon,Mon,Home,Away,W,L,3,1,1,3,West Ham,West Ham,3,1,16,7,5,3,31.3,42.9,0.19,0.0,0.6,0.0,18.2,24.2,1,0,0,1,0,1,2.1,1.0,2.1,0.2,0.14,0.04,0.9,0.0,0.9,-0.2,Match Report,Match Report,78,77
53,13,Arsenal,1,Brighton,1808,79,75,2022-12-31,2022-12-31,17:30,17:30,Matchweek 18,Matchweek 18,Sat,Sat,Away,Home,W,L,4,2,2,4,Brighton,Brighton,4,2,14,9,7,5,50.0,55.6,0.29,0.22,0.57,0.4,11.2,13.5,0,0,0,0,0,0,2.9,1.2,2.9,1.2,0.22,0.13,1.1,0.8,1.1,0.8,Match Report,Match Report,78,70
54,13,Arsenal,1,Newcastle Utd,13,79,78,2023-01-03,2023-01-03,19:45,19:45,Matchweek 19,Matchweek 19,Tue,Tue,Home,Away,D,D,0,0,0,0,Newcastle Utd,Newcastle Utd,0,0,17,8,4,1,23.5,12.5,0.0,0.0,0.0,0.0,17.0,13.4,0,0,0,0,0,0,1.1,1.0,1.1,1.0,0.07,0.13,-1.1,-1.0,-1.1,-1.0,Match Report,Match Report,78,76
55,13,Arsenal,1,Tottenham,18,79,81,2023-01-15,2023-01-15,16:30,16:30,Matchweek 20,Matchweek 20,Sun,Sun,Away,Home,W,L,2,0,0,2,Tottenham,Tottenham,1,0,14,17,5,7,35.7,41.2,0.07,0.0,0.2,0.0,17.9,16.3,2,1,0,0,0,0,1.8,1.6,1.8,1.6,0.13,0.09,-0.8,-1.6,-0.8,-1.6,Match Report,Match Report,78,75
56,13,Arsenal,1,Manchester Utd,11,79,82,2023-01-22,2023-01-22,16:30,16:30,Matchweek 21,Matchweek 21,Sun,Sun,Home,Away,W,L,3,2,2,3,Manchester Utd,Manchester Utd,3,2,25,6,5,4,20.0,66.7,0.12,0.33,0.6,0.5,14.2,18.2,0,0,0,0,0,0,3.1,0.4,3.1,0.4,0.13,0.06,-0.1,1.6,-0.1,1.6,Match Report,Match Report,78,81
57,13,Arsenal,1,Everton,7,79,77,2023-02-04,2023-02-04,12:30,12:30,Matchweek 22,Matchweek 22,Sat,Sat,Away,Home,L,W,0,1,1,0,Everton,Everton,0,1,15,12,2,4,13.3,33.3,0.0,0.08,0.0,0.25,17.6,16.4,0,0,0,0,0,0,0.9,1.7,0.9,1.7,0.06,0.14,-0.9,-0.7,-0.9,-0.7,Match Report,Match Report,78,77
58,13,Arsenal,1,Brentford,1925,79,74,2023-02-11,2023-02-11,15:00,15:00,Matchweek 23,Matchweek 23,Sat,Sat,Home,Away,D,D,1,1,1,1,Brentford,Brentford,1,1,23,9,7,2,30.4,22.2,0.04,0.11,0.14,0.5,19.6,12.9,0,0,0,0,0,0,1.6,2.0,1.6,2.0,0.07,0.22,-0.6,-1.0,-0.6,-1.0,Match Report,Match Report,78,67
59,13,Arsenal,1,Manchester City,10,79,85,2023-02-15,2023-02-15,19:30,19:30,Matchweek 12,Matchweek 12,Wed,Wed,Home,Away,L,W,1,3,3,1,Manchester City,Manchester City,1,3,9,9,0,5,0.0,55.6,0.0,0.33,,0.6,19.2,12.1,0,0,1,0,1,0,1.6,1.8,0.9,1.8,0.09,0.21,-0.6,1.2,-0.9,1.2,Match Report,Match Report,78,82
60,13,Arsenal,1,Aston Villa,2,79,79,2023-02-18,2023-02-18,12:30,12:30,Matchweek 24,Matchweek 24,Sat,Sat,Away,Home,W,L,4,2,2,4,Aston Villa,Aston Villa,3,2,20,7,5,5,25.0,71.4,0.15,0.29,0.6,0.4,15.7,23.3,0,1,0,0,0,0,3.2,0.5,3.2,0.5,0.16,0.07,-0.2,1.5,-0.2,1.5,Match Report,Match Report,78,72
