,UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best Role,Best Duty,Best Pos,Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Determination,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Fitness,Off the Ball,One vs One,Pace,Passing,Penalty Taking,Positioning,Punching,Reflexes,Rushing Out,Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Unnamed: 0,fm,normal
17,20041862,,Alphonso Davies,2000-11-02,CAN,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Reasonable,Very Strong,"DL,WBL,ML,AML",185,77 kg,21,€68M - €101M,"€831,000 p/m",162,18,Main,32,-,Physical,-,Wing-Back,Attack,DL,95,5,75,70,60,60,75,20,10,60,60,30,60,60,85,85,5,45,60,80,30,10,30,50,10,35,50,60,60,80,70,10,95,65,50,60,20,5,15,80,60,70,75,70,10,60,80,4,FC Bayern,FC Bayern
18,28124579,,Jamal Musiala,2003-02-26,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMR,AML,AMC",183,70 kg,19,€71M - €89M,"€457,000 p/m",67,13,,15,-,Technical,-,Inverted Winger,Attack,AML,75,15,60,85,70,75,60,5,5,65,60,35,40,65,80,90,5,65,80,90,30,10,45,50,5,30,65,30,55,80,70,5,75,70,60,55,15,15,15,60,45,60,75,90,5,75,75,0,FC Bayern,FC Bayern
19,28124579,,Jamal Musiala,2003-02-26,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMR,AML,AMC",183,70 kg,19,€71M - €89M,"€457,000 p/m",67,13,,15,-,Technical,-,Inverted Winger,Attack,AML,75,15,60,85,70,75,60,5,5,65,60,35,40,65,80,90,5,65,80,90,30,10,45,50,5,30,65,30,55,80,70,5,75,70,60,55,15,15,15,60,45,60,75,90,5,75,75,4,FC Bayern,FC Bayern
20,85104424,,Kingsley Coman,1996-06-13,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,ML,AMR,AML",179,75 kg,26,€55M - €83M,"€1,247,000 p/m",176,30,,40,9,Creative,-,Inverted Winger,Support,AML,95,10,55,80,65,70,60,5,10,60,60,55,65,60,70,85,10,60,75,85,35,5,45,50,5,25,70,20,35,65,70,10,85,65,50,40,10,10,15,60,50,40,60,80,15,65,60,0,FC Bayern,FC Bayern
21,85104424,,Kingsley Coman,1996-06-13,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,ML,AMR,AML",179,75 kg,26,€55M - €83M,"€1,247,000 p/m",176,30,,40,9,Creative,-,Inverted Winger,Support,AML,95,10,55,80,65,70,60,5,10,60,60,55,65,60,70,85,10,60,75,85,35,5,45,50,5,25,70,20,35,65,70,10,85,65,50,40,10,10,15,60,50,40,60,80,15,65,60,4,FC Bayern,FC Bayern
22,67197145,Wnt,Lucas Hernández,1996-02-14,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Weak,Very Strong,"DL,DC",184,79 kg,26,€52M - €63M,"€1,080,000 p/m",153,2,Main,32,9,Leader,-,Full-Back,Support,DL,70,5,85,65,65,75,95,15,20,70,75,20,60,70,95,65,5,35,60,50,45,10,70,70,15,60,35,60,75,70,60,10,80,70,40,80,5,10,5,75,65,85,75,65,10,60,80,0,FC Bayern,FC Bayern
23,67197145,Wnt,Lucas Hernández,1996-02-14,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Weak,Very Strong,"DL,DC",184,79 kg,26,€52M - €63M,"€1,080,000 p/m",153,2,Main,32,9,Leader,-,Full-Back,Support,DL,70,5,85,65,65,75,95,15,20,70,75,20,60,70,95,65,5,35,60,50,45,10,70,70,15,60,35,60,75,70,60,10,80,70,40,80,5,10,5,75,65,85,75,65,10,60,80,4,FC Bayern,FC Bayern
24,85120944,Wnt,Benjamin Pavard,1996-03-28,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DR,DC,WBR",186,76 kg,26,€22M - €32M,"€582,000 p/m",186,6,Main,45,15,Technical,-,Full-Back,Support,DR,60,5,40,60,80,80,65,15,10,85,70,20,60,75,65,55,10,40,70,55,30,15,70,75,10,40,50,60,75,75,60,10,70,75,35,75,5,15,10,75,60,75,80,70,15,65,75,0,FC Bayern,FC Bayern
25,85120944,Wnt,Benjamin Pavard,1996-03-28,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DR,DC,WBR",186,76 kg,26,€22M - €32M,"€582,000 p/m",186,6,Main,45,15,Technical,-,Full-Back,Support,DR,60,5,40,60,80,80,65,15,10,85,70,20,60,75,65,55,10,40,70,55,30,15,70,75,10,40,50,60,75,75,60,10,70,75,35,75,5,15,10,75,60,75,80,70,15,65,75,4,FC Bayern,FC Bayern
26,16182894,,Dayot Upamecano,1998-10-27,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,DC,186,90 kg,23,€45M - €68M,"€997,000 p/m",173,5,,6,16,Physical,-,Ball Playing Defender,Defend,DC,80,5,80,60,70,80,80,10,15,70,65,20,35,65,80,60,5,35,60,55,20,10,70,75,5,40,30,25,75,75,50,10,85,70,30,70,10,5,15,70,85,80,60,60,15,65,70,0,FC Bayern,FC Bayern
27,16182894,,Dayot Upamecano,1998-10-27,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,DC,186,90 kg,23,€45M - €68M,"€997,000 p/m",173,5,,6,16,Physical,-,Ball Playing Defender,Defend,DC,80,5,80,60,70,80,80,10,15,70,65,20,35,65,80,60,5,35,60,55,20,10,70,75,5,40,30,25,75,75,50,10,85,70,30,70,10,5,15,70,85,80,60,60,15,65,70,4,FC Bayern,FC Bayern
28,16045721,Lst,Marcel Sabitzer,1994-03-17,AUT,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMR,AML,AMC",178,76 kg,28,€25M,"€831,000 p/m",367,95,Main,64,7,Leader,-,Box To Box Midfielder,Support,MC,70,10,80,60,70,60,70,10,5,65,65,55,60,65,85,60,5,60,65,65,75,10,50,45,5,65,80,15,65,80,80,5,70,70,80,70,10,5,15,80,60,65,80,65,5,70,85,0,FC Bayern,FC Bayern
29,16045721,Lst,Marcel Sabitzer,1994-03-17,AUT,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMR,AML,AMC",178,76 kg,28,€25M,"€831,000 p/m",367,95,Main,64,7,Leader,-,Box To Box Midfielder,Support,MC,70,10,80,60,70,60,70,10,5,65,65,55,60,65,85,60,5,60,65,65,75,10,50,45,5,65,80,15,65,80,80,5,70,70,80,70,10,5,15,80,60,65,80,65,5,70,85,4,FC Bayern,FC Bayern
30,35015916,Inj,Eric Maxim Choupo-Moting,1989-03-23,CMR,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"AMR,AML,AMC,ST",191,91 kg,33,€900K,"€291,000 p/m",340,64,Main,68,-,Intelligent,-,Inverted Winger,Support,AML,60,10,60,55,65,65,60,10,10,60,60,25,50,65,60,60,5,60,70,75,30,15,70,75,15,60,45,25,30,65,70,10,65,65,65,35,5,15,15,55,75,35,60,75,10,65,55,0,FC Bayern,FC Bayern
31,35015916,Inj,Eric Maxim Choupo-Moting,1989-03-23,CMR,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"AMR,AML,AMC,ST",191,91 kg,33,€900K,"€291,000 p/m",340,64,Main,68,-,Intelligent,-,Inverted Winger,Support,AML,60,10,60,55,65,65,60,10,10,60,60,25,50,65,60,60,5,60,70,75,30,15,70,75,15,60,45,25,30,65,70,10,65,65,65,35,5,15,15,55,75,35,60,75,10,65,55,4,FC Bayern,FC Bayern
32,37052470,,Noussair Mazraoui,1997-11-14,MAR,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DR,WBR,DM,MR,MC,AMR",183,65 kg,24,€12.5M - €18.5M,"€665,000 p/m",150,18,Main,12,3,Technical,-,Wing-Back,Defend,DR,70,15,50,65,60,65,65,15,10,65,65,40,55,60,50,60,5,55,75,70,35,15,55,55,10,55,60,60,65,55,80,15,65,70,45,65,15,5,15,75,55,65,80,65,10,70,80,0,FC Bayern,FC Bayern
33,37052470,,Noussair Mazraoui,1997-11-14,MAR,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DR,WBR,DM,MR,MC,AMR",183,65 kg,24,€12.5M - €18.5M,"€665,000 p/m",150,18,Main,12,3,Technical,-,Wing-Back,Defend,DR,70,15,50,65,60,65,65,15,10,65,65,40,55,60,50,60,5,55,75,70,35,15,55,55,10,55,60,60,65,55,80,15,65,70,45,65,15,5,15,75,55,65,80,65,10,70,80,4,FC Bayern,FC Bayern
34,91190673,Wnt,Josip Stanišić,2000-04-02,CRO,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,DL,DC,WBR",187,77 kg,22,€5.4M - €9.8M,"€83,000 p/m",56,1,,5,2,Physical,-,Full-Back,Support,DR,60,5,70,50,60,65,75,5,15,60,60,20,60,60,80,60,15,35,55,55,20,5,65,60,5,30,30,60,65,65,60,5,75,60,30,65,10,10,20,70,65,65,80,55,15,60,75,0,FC Bayern,FC Bayern
35,91190673,Wnt,Josip Stanišić,2000-04-02,CRO,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,DL,DC,WBR",187,77 kg,22,€5.4M - €9.8M,"€83,000 p/m",56,1,,5,2,Physical,-,Full-Back,Support,DR,60,5,70,50,60,65,75,5,15,60,60,20,60,60,80,60,15,35,55,55,20,5,65,60,5,30,30,60,65,65,60,5,75,60,30,65,10,10,20,70,65,65,80,55,15,60,75,4,FC Bayern,FC Bayern
36,37071197,,Ryan Gravenberch,2002-05-16,NED,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"DM,MC,AMC",190,77 kg,20,€37M - €45M,"€765,000 p/m",116,15,U23,10,6,Technical,-,Advanced Playmaker,Support,MC,65,5,30,75,60,75,70,10,10,70,55,70,65,70,75,70,5,55,75,75,60,10,60,70,15,40,65,20,40,60,65,10,65,70,60,50,15,5,15,70,65,45,70,75,15,60,60,0,FC Bayern,FC Bayern
37,37071197,,Ryan Gravenberch,2002-05-16,NED,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"DM,MC,AMC",190,77 kg,20,€37M - €45M,"€765,000 p/m",116,15,U23,10,6,Technical,-,Advanced Playmaker,Support,MC,65,5,30,75,60,75,70,10,10,70,55,70,65,70,75,70,5,55,75,75,60,10,60,70,15,40,65,20,40,60,65,10,65,70,60,50,15,5,15,70,65,45,70,75,15,60,60,4,FC Bayern,FC Bayern
38,2000104850,,Mathys Tel,2005-04-27,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"AMR,AML,ST",183,77 kg,17,€31M - €46M,"€332,000 p/m",7,-,U20,0,-,Physical,-,Inverted Winger,Support,AML,75,10,40,60,55,60,50,15,5,55,50,55,40,45,80,70,5,60,60,80,60,10,60,60,5,55,55,15,25,75,65,5,75,60,65,30,15,15,15,55,60,30,55,70,10,60,55,0,FC Bayern,FC Bayern
39,2000104850,,Mathys Tel,2005-04-27,FRA,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"AMR,AML,ST",183,77 kg,17,€31M - €46M,"€332,000 p/m",7,-,U20,0,-,Physical,-,Inverted Winger,Support,AML,75,10,40,60,55,60,50,15,5,55,50,55,40,45,80,70,5,60,60,80,60,10,60,60,5,55,55,15,25,75,65,5,75,60,65,30,15,15,15,55,60,30,55,70,10,60,55,4,FC Bayern,FC Bayern
40,2000138516,Yth,Paul Wanner,2005-12-23,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Reasonable,Very Strong,"MC,AMR,AMC",185,72 kg,16,€12.5M - €18.5M,€275 p/m,4,-,,0,-,Technical,-,Inverted Winger,Support,AMR,70,5,30,65,50,60,40,15,15,60,45,60,55,50,70,65,10,55,70,80,60,10,30,55,15,20,55,15,35,70,55,10,70,65,60,35,20,15,10,50,35,35,55,75,15,65,55,0,FC Bayern,FC Bayern
41,2000138516,Yth,Paul Wanner,2005-12-23,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Reasonable,Very Strong,"MC,AMR,AMC",185,72 kg,16,€12.5M - €18.5M,€275 p/m,4,-,,0,-,Technical,-,Inverted Winger,Support,AMR,70,5,30,65,50,60,40,15,15,60,45,60,55,50,70,65,10,55,70,80,60,10,30,55,15,20,55,15,35,70,55,10,70,65,60,35,20,15,10,50,35,35,55,75,15,65,55,4,FC Bayern,FC Bayern
42,35008097,,Sven Ulreich,1988-08-03,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,GK,192,87 kg,33,€1.3M - €2.7M,"€166,000 p/m",332,-,,0,3,Shot Stopper,-,Goalkeeper,Defend,GK,55,55,50,70,65,70,65,60,70,60,65,20,15,60,50,15,40,5,35,35,30,75,25,75,50,55,5,5,5,65,5,75,50,40,20,60,65,75,55,65,75,5,70,35,60,30,50,0,FC Bayern,FC Bayern
43,35008097,,Sven Ulreich,1988-08-03,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,GK,192,87 kg,33,€1.3M - €2.7M,"€166,000 p/m",332,-,,0,3,Shot Stopper,-,Goalkeeper,Defend,GK,55,55,50,70,65,70,65,60,70,60,65,20,15,60,50,15,40,5,35,35,30,75,25,75,50,55,5,5,5,65,5,75,50,40,20,60,65,75,55,65,75,5,70,35,60,30,50,4,FC Bayern,FC Bayern
44,2000180847,Inj,Noël Aséko Nkili,2005-11-22,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DM,MC",183,77 kg,16,€17.5M - €22M,€275 p/m,-,-,,0,-,Technical,-,Deep Lying Playmaker,Defend,DM,60,10,70,60,40,60,60,5,15,60,40,15,35,40,85,65,10,35,65,70,20,15,35,50,10,50,40,15,60,70,45,5,60,65,30,60,15,10,15,60,60,60,60,70,15,65,60,0,FC Bayern,FC Bayern
45,2000180847,Inj,Noël Aséko Nkili,2005-11-22,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"DM,MC",183,77 kg,16,€17.5M - €22M,€275 p/m,-,-,,0,-,Technical,-,Deep Lying Playmaker,Defend,DM,60,10,70,60,40,60,60,5,15,60,40,15,35,40,85,65,10,35,65,70,20,15,35,50,10,50,40,15,60,70,45,5,60,65,30,60,15,10,15,60,60,60,60,70,15,65,60,4,FC Bayern,FC Bayern
46,91205042,Inj,Lukas Schneller,2001-10-26,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Left Only,Weak,Very Strong,GK,188,76 kg,20,€40K - €375K,"€16,500 p/m",14,-,,0,-,Assertive,-,Sweeper Keeper,Attack,GK,50,60,85,60,50,60,80,55,55,55,55,10,10,45,80,15,90,10,55,60,5,60,30,65,60,20,5,5,15,55,5,60,55,55,10,60,50,70,90,45,50,15,55,55,55,55,60,0,FC Bayern,FC Bayern
47,91205042,Inj,Lukas Schneller,2001-10-26,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Left Only,Weak,Very Strong,GK,188,76 kg,20,€40K - €375K,"€16,500 p/m",14,-,,0,-,Assertive,-,Sweeper Keeper,Attack,GK,50,60,85,60,50,60,80,55,55,55,55,10,10,45,80,15,90,10,55,60,5,60,30,65,60,20,5,5,15,55,5,60,55,55,10,60,50,70,90,45,50,15,55,55,55,55,60,4,FC Bayern,FC Bayern
48,2000114473,Yth,Arijon Ibrahimović,2005-12-11,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"MC,AMR,AML,AMC",176,73 kg,16,€3.3M - €6.4M,€275 p/m,-,-,,0,-,Technical,-,Inverted Winger,Support,AML,60,5,40,60,45,50,45,5,20,50,40,60,55,40,75,70,15,60,65,75,65,10,35,40,10,15,60,10,35,70,60,5,65,60,60,40,10,10,5,50,55,40,55,70,5,60,55,0,FC Bayern,FC Bayern
49,2000114473,Yth,Arijon Ibrahimović,2005-12-11,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Weak,"MC,AMR,AML,AMC",176,73 kg,16,€3.3M - €6.4M,€275 p/m,-,-,,0,-,Technical,-,Inverted Winger,Support,AML,60,5,40,60,45,50,45,5,20,50,40,60,55,40,75,70,15,60,65,75,65,10,35,40,10,15,60,10,35,70,60,5,65,60,60,40,10,10,5,50,55,40,55,70,5,60,55,4,FC Bayern,FC Bayern
50,2000191507,Yth,Adam Aznou,2006-06-02,ESP,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Weak,Very Strong,"DL,WBL,ML",176,68 kg,16,€5.8M - €7.2M,€275 p/m,-,-,,0,-,Technical,-,Winger,Support,ML,65,15,55,60,40,40,45,15,5,45,40,20,60,35,65,60,10,35,60,65,20,10,30,40,15,10,35,35,50,65,60,15,65,60,35,55,10,15,5,65,35,60,55,60,10,55,55,0,FC Bayern,FC Bayern
51,2000191507,Yth,Adam Aznou,2006-06-02,ESP,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Weak,Very Strong,"DL,WBL,ML",176,68 kg,16,€5.8M - €7.2M,€275 p/m,-,-,,0,-,Technical,-,Winger,Support,ML,65,15,55,60,40,40,45,15,5,45,40,20,60,35,65,60,10,35,60,65,20,10,30,40,15,10,35,35,50,65,60,15,65,60,35,55,10,15,5,65,35,60,55,60,10,55,55,4,FC Bayern,FC Bayern
