,Name,Overall,Potential,Performance,Country,Club,Preferred Foot,Weak Foot,Skill Moves,Height,Offensive Work Rate,Defensive Work Rate,Value,Wage,ID,Crosses,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,Goalkeeping Diving,Goalkeeping Handling,Goalkeeping Kicking,Goalkeeping Positioning,Goalkeeping Reflexes,player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
10,M. Neuer,90,90,90.0,Germany,FC Bayern München,Right,4,1,193,Medium,Medium,€13.5M,€72K,167495,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,88,91,91,88,167495,/player/167495/manuel-neuer/230002,23.0,2.0,2022-09-26,M. Neuer,Manuel Peter Neuer,GK,90,90,13500000.0,72000.0,36,1986-03-27,193,93,21.0,FC Bayern München,19.0,Bundesliga,1.0,GK,1.0,,2011-07-01,2024.0,21,Germany,1337.0,GK,1.0,Right,4,1,5,Medium/Medium,Unique,Yes,22300000.0,,"Leadership, GK Long Throw, Rushes Out Of Goal, Comes For Crosses",,,,,,,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70.0,17,10,11,87,88,91,91,88,56.0,40+3,40+3,40+3,40,43,43,43,40,47+3,47+3,47+3,44+3,50+3,50+3,50+3,44+3,37+3,43+3,43+3,43+3,37+3,35+3,34+3,34+3,34+3,35+3,88+2
11,Cristiano Ronaldo,90,90,90.0,Portugal,Manchester United,Right,4,5,187,High,Low,€41M,€220K,20801,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,95,24,32,24,7,11,15,14,11,20801,/player/20801/c-ronaldo-dos-santos-aveiro/230002,23.0,2.0,2022-09-26,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,90,90,41000000.0,220000.0,37,1985-02-05,187,83,11.0,Manchester United,13.0,Premier League,1.0,SUB,7.0,,2021-08-27,2023.0,38,Portugal,1354.0,ST,7.0,Right,4,5,5,High/Low,Unique,Yes,77900000.0,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Power Free-Kick, Flair, Long Shot Taker (AI), Outside Foot Shot",81.0,92.0,78.0,85.0,34.0,75.0,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,95.0,24,32,24,7,11,15,14,11,,89+1,89+1,89+1,86,88,88,88,86,85+3,85+3,85+3,84+3,78+3,78+3,78+3,84+3,62+3,59+3,59+3,59+3,62+3,58+3,53+3,53+3,53+3,58+3,20+3
12,G. Donnarumma,88,92,90.0,Italy,Paris Saint-Germain,Right,3,1,196,Medium,Medium,€103.5M,€110K,230621,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,65,20,14,16,90,83,79,85,89,230621,/player/230621/gianluigi-donnarumma/230002,23.0,2.0,2022-09-26,G. Donnarumma,Gianluigi Donnarumma,GK,88,92,103500000.0,110000.0,23,1999-02-25,196,90,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,GK,99.0,,2021-07-15,2026.0,27,Italy,1343.0,GK,21.0,Right,3,1,3,Medium/Medium,Unique,Yes,199200000.0,,"Rushes Out Of Goal, Comes For Crosses",,,,,,,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,65.0,20,14,16,90,83,79,85,89,52.0,34+3,34+3,34+3,34,36,36,36,34,38+3,38+3,38+3,35+3,37+3,37+3,37+3,35+3,31+3,34+3,34+3,34+3,31+3,31+3,31+3,31+3,31+3,31+3,86+3
13,Ederson,89,91,90.0,Brazil,Manchester City,Left,3,1,188,Medium,Medium,€88M,€210K,210257,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,210257,/player/210257/ederson-santana-de-moraes/230002,23.0,2.0,2022-09-26,Ederson,Ederson Santana de Moraes,GK,89,91,88000000.0,210000.0,28,1993-08-17,188,86,10.0,Manchester City,13.0,Premier League,1.0,GK,31.0,,2017-07-01,2026.0,54,Brazil,,,,Left,3,1,3,Medium/Medium,Unique,Yes,169400000.0,,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",,,,,,,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70.0,29,15,8,87,82,93,88,88,64.0,40+3,40+3,40+3,41,43,43,43,41,47+3,47+3,47+3,44+3,49+3,49+3,49+3,44+3,37+3,44+3,44+3,44+3,37+3,36+3,35+3,35+3,35+3,36+3,87+3
14,Rúben Dias,88,91,89.5,Portugal,Manchester City,Right,4,2,187,Medium,High,€107.5M,€230K,239818,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45,81,90,89,85,7,8,13,7,12,239818,/player/239818/ruben-santos-gato-alves-dias/230002,23.0,2.0,2022-09-26,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,88,91,107500000.0,230000.0,25,1997-05-14,187,82,10.0,Manchester City,13.0,Premier League,1.0,RCB,3.0,,2020-09-29,2027.0,38,Portugal,1354.0,LCB,4.0,Right,4,2,3,Medium/High,Normal (185+),Yes,206900000.0,#Tackling ,"Leadership, Power Header",63.0,39.0,66.0,68.0,88.0,88.0,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45,81.0,90,89,85,7,8,13,7,12,,61+3,61+3,61+3,59,60,60,60,59,62+3,62+3,62+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,87+3,87+3,87+3,80+3,18+3
15,F. de Jong,87,92,89.5,Netherlands,FC Barcelona,Right,3,4,180,High,Medium,€116.5M,€230K,228702,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,90,76,76,77,7,13,10,10,9,228702,/player/228702/frenkie-de-jong/230002,23.0,2.0,2022-09-26,F. de Jong,Frenkie de Jong,CM,87,92,116500000.0,230000.0,25,1997-05-12,180,74,241.0,FC Barcelona,53.0,La Liga,1.0,RCM,21.0,,2019-07-01,2026.0,34,Netherlands,105035.0,CDM,21.0,Right,3,4,3,High/Medium,Unique,Yes,247600000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82.0,69.0,86.0,87.0,77.0,78.0,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,90.0,76,76,77,7,13,10,10,9,,78+3,78+3,78+3,83,82,82,82,83,85+3,85+3,85+3,85+3,86+3,86+3,86+3,85+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,18+3
16,F. de Jong,87,92,89.5,Netherlands,FC Barcelona,Right,3,4,180,High,Medium,€116.5M,€230K,228702,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,90,76,76,77,7,13,10,10,9,259461,/player/259461/fedde-de-jong/230002,23.0,2.0,2022-09-26,F. de Jong,Fedde de Jong,"CAM, RW, CM",62,76,950000.0,1000.0,19,2003-06-13,185,73,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,RES,32.0,,2020-10-25,2025.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2000000.0,,,66.0,51.0,61.0,62.0,49.0,60.0,52,50,49,67,50,62,50,45,63,65,68,65,60,58,49,58,61,65,58,47,60,49,59,64,46,60.0,45,51,54,7,7,13,14,11,,57+2,57+2,57+2,60,60,60,60,60,62+2,62+2,62+2,62+2,61+2,61+2,61+2,62+2,57+2,58+2,58+2,58+2,57+2,56+2,54+2,54+2,54+2,56+2,15+2
17,F. de Jong,62,76,69.0,Netherlands,AZ Alkmaar,Right,3,2,185,Medium,Medium,€950K,€1K,259461,52,50,49,67,50,62,50,45,63,65,68,65,60,58,49,58,61,65,58,47,60,49,59,64,46,60,45,51,54,7,7,13,14,11,228702,/player/228702/frenkie-de-jong/230002,23.0,2.0,2022-09-26,F. de Jong,Frenkie de Jong,CM,87,92,116500000.0,230000.0,25,1997-05-12,180,74,241.0,FC Barcelona,53.0,La Liga,1.0,RCM,21.0,,2019-07-01,2026.0,34,Netherlands,105035.0,CDM,21.0,Right,3,4,3,High/Medium,Unique,Yes,247600000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82.0,69.0,86.0,87.0,77.0,78.0,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,90.0,76,76,77,7,13,10,10,9,,78+3,78+3,78+3,83,82,82,82,83,85+3,85+3,85+3,85+3,86+3,86+3,86+3,85+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,18+3
18,F. de Jong,62,76,69.0,Netherlands,AZ Alkmaar,Right,3,2,185,Medium,Medium,€950K,€1K,259461,52,50,49,67,50,62,50,45,63,65,68,65,60,58,49,58,61,65,58,47,60,49,59,64,46,60,45,51,54,7,7,13,14,11,259461,/player/259461/fedde-de-jong/230002,23.0,2.0,2022-09-26,F. de Jong,Fedde de Jong,"CAM, RW, CM",62,76,950000.0,1000.0,19,2003-06-13,185,73,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,RES,32.0,,2020-10-25,2025.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2000000.0,,,66.0,51.0,61.0,62.0,49.0,60.0,52,50,49,67,50,62,50,45,63,65,68,65,60,58,49,58,61,65,58,47,60,49,59,64,46,60.0,45,51,54,7,7,13,14,11,,57+2,57+2,57+2,60,60,60,60,60,62+2,62+2,62+2,62+2,61+2,61+2,61+2,62+2,57+2,58+2,58+2,58+2,57+2,56+2,54+2,54+2,54+2,56+2,15+2
19,J. Kimmich,89,90,89.5,Germany,FC Bayern München,Right,4,3,177,High,Medium,€105.5M,€130K,212622,91,68,72,87,69,82,85,69,90,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85,44,85,85,85,78,8,15,7,15,15,212622,/player/212622/joshua-kimmich/230002,23.0,2.0,2022-09-26,J. Kimmich,Joshua Walter Kimmich,"CDM, RB",89,90,105500000.0,130000.0,27,1995-02-08,177,75,21.0,FC Bayern München,19.0,Bundesliga,1.0,RDM,6.0,,2015-07-01,2025.0,21,Germany,1337.0,LDM,6.0,Right,4,3,4,High/Medium,Normal (170-185),Yes,182000000.0,#Crosser,"Leadership, Long Passer (AI), Playmaker (AI)",68.0,72.0,87.0,84.0,83.0,79.0,91,68,72,87,69,82,85,69,90,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85,44,85.0,85,85,78,8,15,7,15,15,,77+3,77+3,77+3,81,80,80,80,81,83+3,83+3,83+3,83+3,86+3,86+3,86+3,83+3,84+3,86+3,86+3,86+3,84+3,83+3,81+3,81+3,81+3,83+3,21+3
20,Alisson,89,90,89.5,Brazil,Liverpool,Right,3,1,191,Medium,Medium,€79M,€190K,212831,17,13,29,60,20,27,19,18,58,40,58,49,40,87,37,64,52,32,78,14,27,11,13,66,23,68,15,19,16,86,85,85,90,89,212831,/player/212831/alisson-ramses-becker/230002,23.0,2.0,2022-09-26,Alisson,Alisson Ramsés Becker,GK,89,90,79000000.0,190000.0,29,1992-10-02,191,91,9.0,Liverpool,13.0,Premier League,1.0,GK,1.0,,2018-07-19,2027.0,54,Brazil,,,,Right,3,1,3,Medium/Medium,Unique,Yes,152100000.0,,"GK Long Throw, Rushes Out Of Goal, Comes For Crosses",,,,,,,17,13,29,60,20,27,19,18,58,40,58,49,40,87,37,64,52,32,78,14,27,11,13,66,23,68.0,15,19,16,86,85,85,90,89,54.0,39+3,39+3,39+3,38,41,41,41,38,45+3,45+3,45+3,42+3,46+3,46+3,46+3,42+3,33+3,39+3,39+3,39+3,33+3,32+3,32+3,32+3,32+3,32+3,87+3
21,Casemiro,89,89,89.0,Brazil,Manchester United,Right,3,2,185,Medium,High,€86M,€240K,200145,58,64,79,84,62,67,62,74,83,78,60,66,61,87,66,88,85,90,90,81,91,88,75,75,66,84,87,88,87,13,14,16,12,12,200145,/player/200145/carlos-henrique-venancio-casimiro/230002,23.0,2.0,2022-09-26,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,86000000.0,240000.0,30,1992-02-23,185,84,11.0,Manchester United,13.0,Premier League,1.0,SUB,18.0,,2022-08-19,2026.0,54,Brazil,,,,Right,3,2,3,Medium/High,Unique,Yes,163400000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Power Free-Kick, Dives Into Tackles (AI), Long Shot Taker (AI), Team Player",63.0,73.0,75.0,72.0,87.0,90.0,58,64,79,84,62,67,62,74,83,78,60,66,61,87,66,88,85,90,90,81,91,88,75,75,66,84.0,87,88,87,13,14,16,12,12,,75+3,75+3,75+3,71,75,75,75,71,75+3,75+3,75+3,73+3,81+3,81+3,81+3,73+3,80+3,86+3,86+3,86+3,80+3,81+3,86+3,86+3,86+3,81+3,21+3
