Club,Att_pass,Att_shot,Att_dribble,Total_touches,%pass,%shot,%dribble
Internazionale,560.0263157894736,16.44736842105263,13.0,589.4736842105262,0.9500446428571429,0.027901785714285716,0.022053571428571433
RC Lens,557.9736842105264,13.631578947368421,17.526315789473685,589.1315789473684,0.9471121633090633,0.023138428552284807,0.029749408138651897
Rennes,557.7105263157895,13.842105263157896,20.63157894736842,592.1842105263158,0.9417855397058169,0.02337466115629027,0.03483979913789272
Gladbach,554.5294117647059,11.852941176470589,16.11764705882353,582.5,0.9519818227720273,0.020348396869477405,0.02766978035849533
OGC Nice,546.4473684210526,13.342105263157896,21.63157894736842,581.421052631579,0.9398479225128994,0.022947406535711055,0.03720467095138952
Monza,545.3684210526316,10.68421052631579,15.68421052631579,571.7368421052632,0.9538801436067383,0.018687287121421335,0.027432569271840186
Marseille,544.4473684210526,14.368421052631579,19.526315789473685,578.3421052631578,0.9413932747872777,0.02484415525321928,0.03376256995950312
Bologna,540.8421052631579,12.605263157894736,14.921052631578947,568.3684210526316,0.9515695897768313,0.022177979442540977,0.026252430780627837
Manchester United,540.1315789473684,15.526315789473685,19.210526315789473,574.8684210526316,0.9395742732890823,0.027008468757152668,0.03341725795376516
Atlético Madrid,539.1578947368421,14.157894736842104,17.263157894736842,570.578947368421,0.9449312794022692,0.024813209113550408,0.030255511484180427
Bayer Leverkusen,535.4705882352941,12.705882352941176,21.0,569.1764705882354,0.9407813145928069,0.022323274080198425,0.03689541132699462
Eintracht Frankfurt,528.6764705882352,11.735294117647058,20.441176470588236,560.8529411764706,0.9426293985001835,0.020924012795636895,0.03644658870417956
Villarreal,522.6842105263158,13.131578947368421,23.157894736842106,558.9736842105264,0.9350783861400123,0.023492302622287086,0.041429311237700675
AC Milan,519.3157894736842,14.368421052631579,21.05263157894737,554.7368421052631,0.9361480075901328,0.025901328273244782,0.037950664136622396
Tottenham Hotspur,517.6842105263158,13.473684210526315,17.526315789473685,548.6842105263158,0.9435011990407673,0.02455635491606714,0.031942446043165464
Atalanta,513.3421052631579,13.31578947368421,20.657894736842106,547.3157894736842,0.9379267237234351,0.02432926242907972,0.03774401384748534
Torino,508.8421052631579,11.68421052631579,17.57894736842105,538.1052631578948,0.9456181533646322,0.021713615023474176,0.032668231611893576
Fiorentina,506.2105263157895,15.710526315789474,18.526315789473685,540.4473684210526,0.9366509227248382,0.029069484345327946,0.034279592929833964
Toulouse,506.2105263157895,11.921052631578947,17.57894736842105,535.7105263157895,0.944932946897873,0.022252787738861326,0.032814265363265704
Sevilla,505.07894736842104,12.18421052631579,15.894736842105264,533.1578947368422,0.9473346495557747,0.02285291214215202,0.029812438302073047
Real Sociedad,503.5263157894737,12.236842105263158,17.894736842105264,533.6578947368422,0.9435376497854923,0.022930124759603526,0.033532225454904085
VfB Stuttgart,499.61764705882354,13.441176470588236,21.58823529411765,534.6470588235295,0.9344812410606226,0.02514027945868632,0.04037847948069094
Leicester City,496.60526315789474,10.842105263157896,16.31578947368421,523.7631578947369,0.9481485203235692,0.02070039692508667,0.031151082751344015
Juventus,491.8421052631579,13.921052631578947,16.44736842105263,522.2105263157895,0.9418464019350937,0.02665793186857488,0.03149566619633138
Athletic Bilbao,490.2631578947368,14.236842105263158,19.31578947368421,523.8157894736842,0.9359457422758102,0.02717910072846019,0.03687515699572971
Girona,489.57894736842104,11.736842105263158,19.157894736842106,520.4736842105264,0.9406411163919506,0.022550308423500857,0.036808575184548484
Werder Bremen,486.88235294117646,10.676470588235293,15.176470588235293,512.7352941176471,0.9495783858199965,0.020822577869557733,0.029599036310445706
Celta de Vigo,486.8157894736842,12.368421052631579,18.42105263157895,517.6052631578947,0.940515532055519,0.023895470028979616,0.035588997915501554
AS Monaco,483.63157894736844,12.368421052631579,17.842105263157894,513.8421052631579,0.9412065963330943,0.02407047014237427,0.03472293352453139
Sassuolo,481.7368421052632,12.552631578947368,17.18421052631579,511.4736842105263,0.9418604651162792,0.024542086849145914,0.03359744803457502
Wolverhampton,481.42105263157896,10.763157894736842,20.31578947368421,512.5,0.9393581514762517,0.0210012836970475,0.0396405648267009
FC Köln,481.38235294117646,12.147058823529411,15.323529411764707,508.85294117647055,0.9460146812322988,0.023871452517195538,0.030113866250505755
Real Betis,480.2368421052632,10.81578947368421,20.342105263157894,511.3947368421053,0.9390727113672618,0.02114959090207379,0.03977769773066433
Lorient,475.9736842105263,10.447368421052632,24.105263157894736,510.5263157894737,0.9323195876288659,0.020463917525773197,0.04721649484536082
VfL Wolfsburg,474.38235294117646,11.794117647058824,17.647058823529413,503.8235294117647,0.9415645067133683,0.023409223584354936,0.03502626970227671
Fulham,474.05263157894734,11.052631578947368,15.763157894736842,500.8684210526315,0.9464614091315086,0.02206693637366679,0.03147165449482478
Clermont,472.6578947368421,10.342105263157896,19.81578947368421,502.8157894736842,0.9400219814727586,0.02056837808133145,0.039409640445909874
Newcastle United,469.39473684210526,14.868421052631579,20.605263157894736,504.86842105263156,0.9297367735209799,0.029450091217096692,0.04081313526192338
AS Roma,468.7894736842105,12.842105263157896,17.81578947368421,499.44736842105266,0.9386163654565571,0.025712629748669582,0.03567100479477316
Rayo Vallecano,464.89473684210526,13.421052631578947,17.36842105263158,495.6842105263158,0.9378849012529199,0.02707581227436823,0.03503928647271183
Reims,462.2368421052632,13.578947368421053,21.05263157894737,496.86842105263156,0.9303003018907897,0.0273290609607542,0.042370637148456125
Valencia,460.3157894736842,12.631578947368421,19.657894736842106,492.60526315789474,0.9344516266894599,0.025642395427106147,0.039905977883433946
Angers,459.55263157894734,9.657894736842104,24.42105263157895,493.6315789473684,0.9309627892099371,0.01956498560614138,0.04947222518392153
Aston Villa,457.7894736842105,11.236842105263158,17.92105263157895,486.94736842105266,0.9401210549070471,0.02307609165585819,0.03680285343709468
TSG Hoffenheim,457.7647058823529,11.705882352941176,16.970588235294116,486.4411764705882,0.941048430981317,0.024064332789165005,0.03488723622951811
SC Freiburg,456.8529411764706,12.147058823529411,14.147058823529411,483.1470588235294,0.9455774030559445,0.025141535277287394,0.029281061666768127
Crystal Palace,455.4736842105263,11.131578947368421,20.63157894736842,487.2368421052632,0.934809613826627,0.022846340804752903,0.042344045368620034
Strasbourg,454.6578947368421,11.631578947368421,18.63157894736842,484.92105263157896,0.9375915775763825,0.023986541488033863,0.03842188093558365
FC Nantes,451.8157894736842,11.657894736842104,20.736842105263158,484.2105263157895,0.9330978260869566,0.024076086956521737,0.042826086956521736
Leeds United,445.36842105263156,12.078947368421053,18.105263157894736,475.55263157894734,0.9365281390072492,0.025399811853245535,0.038072049139505286
Empoli,443.7368421052632,11.763157894736842,18.55263157894737,474.0526315789474,0.9360497390918174,0.024814033529477073,0.03913622737870545
Osasuna,443.0263157894737,11.605263157894736,16.473684210526315,471.10526315789474,0.9403977209250364,0.024634119092838788,0.0349681599821249
Udinese,441.8421052631579,13.236842105263158,20.263157894736842,475.3421052631579,0.9295244422299729,0.027846980014394063,0.042628577755633064
Spezia,436.87179487179486,11.153846153846153,17.41025641025641,465.4358974358974,0.9386293521375055,0.023964301454385193,0.037406346408109296
Sampdoria,436.1842105263158,9.894736842105264,14.289473684210526,460.36842105263156,0.94746770321253,0.02149308334286041,0.03103921344460958
Salernitana,434.42105263157896,10.026315789473685,15.763157894736842,460.2105263157895,0.9439615736505033,0.02178636779505947,0.03425205855443733
Brest,432.94736842105266,10.973684210526315,17.236842105263158,461.15789473684214,0.9388267518831317,0.02379593700068477,0.03737731111618352
Real Valladolid,432.2368421052632,11.657894736842104,18.894736842105264,462.7894736842105,0.9339815762538384,0.025190492437165927,0.04082793130899579
Southampton,431.3421052631579,10.868421052631579,19.973684210526315,462.1842105263158,0.933268803735125,0.023515344758868077,0.043215851506006944
West Ham United,430.44736842105266,12.263157894736842,16.157894736842106,458.86842105263156,0.9380627401502553,0.02672478063887137,0.035212479210873435
Montpellier,426.86842105263156,11.447368421052632,20.526315789473685,458.8421052631579,0.9303165863730213,0.024948382656572607,0.044735030970406056
FSV Mainz,426.2352941176471,12.176470588235293,14.558823529411764,452.97058823529414,0.9409778585806117,0.026881371339523404,0.03214077007986494
Troyes,426.13157894736844,10.263157894736842,20.842105263157894,457.2368421052632,0.9319712230215828,0.022446043165467625,0.04558273381294964
Union Berlin,424.05882352941177,11.0,12.205882352941176,447.2647058823529,0.9481159992108897,0.024593937002696128,0.02729006378641415
AJ Auxerre,420.7631578947368,11.052631578947368,19.710526315789473,451.52631578947364,0.9318685161440727,0.024478377433267282,0.04365310642265999
Almería,417.2368421052632,11.552631578947368,17.526315789473685,446.3157894736842,0.9348466981132075,0.02588443396226415,0.0392688679245283
Everton,415.3421052631579,11.210526315789474,17.605263157894736,444.15789473684214,0.9351226448631355,0.02523995734091717,0.03963739779594738
Elche CF,414.63157894736844,10.526315789473685,18.63157894736842,443.7894736842106,0.9342979127134724,0.023719165085388995,0.041982922201138514
Brentford,409.2368421052632,10.526315789473685,15.710526315789474,435.47368421052636,0.939751027314479,0.024172105390379502,0.0360768672951414
Bournemouth,404.7631578947368,9.421052631578947,19.342105263157894,433.5263157894737,0.9336530290154181,0.021731212820201528,0.04461575816438023
Ajaccio,402.2631578947368,8.18421052631579,16.57894736842105,427.02631578947364,0.9420102298638072,0.01916558821716892,0.03882418191902385
VfL Bochum,398.5,11.676470588235293,12.352941176470589,422.5294117647059,0.943129611582904,0.02763469302519838,0.029235695391897534
Cremonese,395.8157894736842,12.052631578947368,14.973684210526315,422.84210526315786,0.9360841423948221,0.02850385860094598,0.03541199900423202
Schalke 04,392.94117647058823,12.382352941176471,15.147058823529411,420.4705882352941,0.9345271404588696,0.0294487968662563,0.03602406267487409
Espanyol,386.7894736842105,10.973684210526315,15.131578947368421,412.89473684210526,0.9367750159337157,0.026577437858508603,0.036647546207775654
Lecce,377.8421052631579,10.842105263157896,14.710526315789474,403.3947368421053,0.9366560114815056,0.026877160936786482,0.03646682758170787
Hertha BSC,376.47058823529414,11.088235294117647,20.91176470588235,408.47058823529414,0.9216589861751152,0.02714573732718894,0.05119527649769585
Mallorca,375.2894736842105,8.526315789473685,14.631578947368421,398.44736842105266,0.941879664487154,0.021398850802456907,0.03672148471038901
FC Augsburg,374.7647058823529,10.411764705882353,14.352941176470589,399.5294117647059,0.9380153121319198,0.02606007067137809,0.035924617196702
Getafe,371.7368421052632,9.605263157894736,12.0,393.3421052631579,0.9450725898173546,0.02441961597645012,0.030507794206195222
Cádiz,367.1578947368421,10.263157894736842,14.973684210526315,392.3947368421052,0.9356850647173228,0.02615518744551003,0.0381597478371672
Hellas Verona,360.43589743589746,10.871794871794872,16.435897435897434,387.7435897435898,0.9295728078296521,0.028038619230260547,0.042388572940087285
Nottingham Forest,358.05263157894734,9.526315789473685,14.973684210526315,382.55263157894734,0.9359565247299994,0.02490197427254592,0.039141500997454774
