,Club,Att_pass,Att_shot,Att_dribble,Total_Actions,Triple_Prob_Dict
63,FC Nantes,451.8157894736842,11.657894736842104,20.736842105263158,484.2105263157895,"{'Pass': 0.9330978260869566, 'Shot': 0.024076086956521737, 'Dribble': 0.042826086956521736}"
64,Leeds United,445.36842105263156,12.078947368421053,18.105263157894736,475.55263157894734,"{'Pass': 0.9365281390072492, 'Shot': 0.025399811853245535, 'Dribble': 0.038072049139505286}"
65,Empoli,443.7368421052632,11.763157894736842,18.55263157894737,474.0526315789474,"{'Pass': 0.9360497390918174, 'Shot': 0.024814033529477073, 'Dribble': 0.03913622737870545}"
66,Osasuna,443.0263157894737,11.605263157894736,16.473684210526315,471.10526315789474,"{'Pass': 0.9403977209250364, 'Shot': 0.024634119092838788, 'Dribble': 0.0349681599821249}"
67,Udinese,441.8421052631579,13.236842105263158,20.263157894736842,475.3421052631579,"{'Pass': 0.9295244422299729, 'Shot': 0.027846980014394063, 'Dribble': 0.042628577755633064}"
68,Spezia,436.87179487179486,11.153846153846153,17.41025641025641,465.4358974358974,"{'Pass': 0.9386293521375055, 'Shot': 0.023964301454385193, 'Dribble': 0.037406346408109296}"
69,Sampdoria,436.1842105263158,9.894736842105264,14.289473684210526,460.36842105263156,"{'Pass': 0.94746770321253, 'Shot': 0.02149308334286041, 'Dribble': 0.03103921344460958}"
70,Salernitana,434.42105263157896,10.026315789473685,15.763157894736842,460.2105263157895,"{'Pass': 0.9439615736505033, 'Shot': 0.02178636779505947, 'Dribble': 0.03425205855443733}"
71,Brest,432.94736842105266,10.973684210526315,17.236842105263158,461.15789473684214,"{'Pass': 0.9388267518831317, 'Shot': 0.02379593700068477, 'Dribble': 0.03737731111618352}"
72,Real Valladolid,432.2368421052632,11.657894736842104,18.894736842105264,462.7894736842105,"{'Pass': 0.9339815762538384, 'Shot': 0.025190492437165927, 'Dribble': 0.04082793130899579}"
73,Southampton,431.3421052631579,10.868421052631579,19.973684210526315,462.1842105263158,"{'Pass': 0.933268803735125, 'Shot': 0.023515344758868077, 'Dribble': 0.043215851506006944}"
74,West Ham United,430.44736842105266,12.263157894736842,16.157894736842106,458.86842105263156,"{'Pass': 0.9380627401502553, 'Shot': 0.02672478063887137, 'Dribble': 0.035212479210873435}"
75,Montpellier,426.86842105263156,11.447368421052632,20.526315789473685,458.8421052631579,"{'Pass': 0.9303165863730213, 'Shot': 0.024948382656572607, 'Dribble': 0.044735030970406056}"
76,FSV Mainz,426.2352941176471,12.176470588235293,14.558823529411764,452.97058823529414,"{'Pass': 0.9409778585806117, 'Shot': 0.026881371339523404, 'Dribble': 0.03214077007986494}"
77,Troyes,426.13157894736844,10.263157894736842,20.842105263157894,457.2368421052632,"{'Pass': 0.9319712230215828, 'Shot': 0.022446043165467625, 'Dribble': 0.04558273381294964}"
78,Union Berlin,424.05882352941177,11.0,12.205882352941176,447.2647058823529,"{'Pass': 0.9481159992108897, 'Shot': 0.024593937002696128, 'Dribble': 0.02729006378641415}"
79,AJ Auxerre,420.7631578947368,11.052631578947368,19.710526315789473,451.52631578947364,"{'Pass': 0.9318685161440727, 'Shot': 0.024478377433267282, 'Dribble': 0.04365310642265999}"
80,Almería,417.2368421052632,11.552631578947368,17.526315789473685,446.3157894736842,"{'Pass': 0.9348466981132075, 'Shot': 0.02588443396226415, 'Dribble': 0.0392688679245283}"
81,Everton,415.3421052631579,11.210526315789474,17.605263157894736,444.15789473684214,"{'Pass': 0.9351226448631355, 'Shot': 0.02523995734091717, 'Dribble': 0.03963739779594738}"
82,Elche CF,414.63157894736844,10.526315789473685,18.63157894736842,443.7894736842106,"{'Pass': 0.9342979127134724, 'Shot': 0.023719165085388995, 'Dribble': 0.041982922201138514}"
83,Brentford,409.2368421052632,10.526315789473685,15.710526315789474,435.47368421052636,"{'Pass': 0.939751027314479, 'Shot': 0.024172105390379502, 'Dribble': 0.0360768672951414}"
84,Bournemouth,404.7631578947368,9.421052631578947,19.342105263157894,433.5263157894737,"{'Pass': 0.9336530290154181, 'Shot': 0.021731212820201528, 'Dribble': 0.04461575816438023}"
85,Ajaccio,402.2631578947368,8.18421052631579,16.57894736842105,427.02631578947364,"{'Pass': 0.9420102298638072, 'Shot': 0.01916558821716892, 'Dribble': 0.03882418191902385}"
86,VfL Bochum,398.5,11.676470588235293,12.352941176470589,422.5294117647059,"{'Pass': 0.943129611582904, 'Shot': 0.02763469302519838, 'Dribble': 0.029235695391897534}"
87,Cremonese,395.8157894736842,12.052631578947368,14.973684210526315,422.84210526315786,"{'Pass': 0.9360841423948221, 'Shot': 0.02850385860094598, 'Dribble': 0.03541199900423202}"
88,Schalke 04,392.94117647058823,12.382352941176471,15.147058823529411,420.4705882352941,"{'Pass': 0.9345271404588696, 'Shot': 0.0294487968662563, 'Dribble': 0.03602406267487409}"
89,Espanyol,386.7894736842105,10.973684210526315,15.131578947368421,412.89473684210526,"{'Pass': 0.9367750159337157, 'Shot': 0.026577437858508603, 'Dribble': 0.036647546207775654}"
90,Lecce,377.8421052631579,10.842105263157896,14.710526315789474,403.3947368421053,"{'Pass': 0.9366560114815056, 'Shot': 0.026877160936786482, 'Dribble': 0.03646682758170787}"
91,Hertha BSC,376.47058823529414,11.088235294117647,20.91176470588235,408.47058823529414,"{'Pass': 0.9216589861751152, 'Shot': 0.02714573732718894, 'Dribble': 0.05119527649769585}"
92,Mallorca,375.2894736842105,8.526315789473685,14.631578947368421,398.44736842105266,"{'Pass': 0.941879664487154, 'Shot': 0.021398850802456907, 'Dribble': 0.03672148471038901}"
93,FC Augsburg,374.7647058823529,10.411764705882353,14.352941176470589,399.5294117647059,"{'Pass': 0.9380153121319198, 'Shot': 0.02606007067137809, 'Dribble': 0.035924617196702}"
94,Getafe,371.7368421052632,9.605263157894736,12.0,393.3421052631579,"{'Pass': 0.9450725898173546, 'Shot': 0.02441961597645012, 'Dribble': 0.030507794206195222}"
95,Cádiz,367.1578947368421,10.263157894736842,14.973684210526315,392.3947368421052,"{'Pass': 0.9356850647173228, 'Shot': 0.02615518744551003, 'Dribble': 0.0381597478371672}"
96,Hellas Verona,360.43589743589746,10.871794871794872,16.435897435897434,387.7435897435898,"{'Pass': 0.9295728078296521, 'Shot': 0.028038619230260547, 'Dribble': 0.042388572940087285}"
97,Nottingham Forest,358.05263157894734,9.526315789473685,14.973684210526315,382.55263157894734,"{'Pass': 0.9359565247299994, 'Shot': 0.02490197427254592, 'Dribble': 0.039141500997454774}"
