Pitch_Number,count_pass,x_interval_pass,y_interval_pass,percentage_pass,position_pass,action_pass,count_shot,x_interval_shot,y_interval_shot,percentage_shot,position_shot,action_shot,count,x_interval,y_interval,percentage,position,action,percentage_dribble,count_dribble,total_count,total_percentage,pitch_prob,pass_prob,shot_prob,dribble_prob
11,113.0,"(0.0, 5.0)","(50.0, 55.0)",0.003064822348793,ALL,Pass,0.0,"(0.0, 5.0)","(50.0, 55.0)",0.0,ALL,Shot,1.0,"(0.0, 5.0)","(50.0, 55.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,114.0,0.0039389482229188,0.002933230412967966,0.9912280701754386,0.0,0.008771929824561403
12,130.0,"(0.0, 5.0)","(55.0, 60.0)",0.0035259018171955,ALL,Pass,0.0,"(0.0, 5.0)","(55.0, 60.0)",0.0,ALL,Shot,2.0,"(0.0, 5.0)","(55.0, 60.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,132.0,0.0052741535654472,0.003396372057120803,0.9848484848484849,0.0,0.015151515151515152
13,139.0,"(0.0, 5.0)","(60.0, 65.0)",0.0037700027122321,ALL,Pass,0.0,"(0.0, 5.0)","(60.0, 65.0)",0.0,ALL,Shot,5.0,"(0.0, 5.0)","(60.0, 65.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,144.0,0.0081406320828614,0.003705133153222694,0.9652777777777778,0.0,0.034722222222222224
14,140.0,"(0.0, 5.0)","(65.0, 70.0)",0.0037971250339029,ALL,Pass,0.0,"(0.0, 5.0)","(65.0, 70.0)",0.0,ALL,Shot,1.0,"(0.0, 5.0)","(65.0, 70.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,141.0,0.0046712509080287,0.003627942879197221,0.9929078014184397,0.0,0.0070921985815602835
15,133.0,"(0.0, 5.0)","(70.0, 75.0)",0.0036072687822077,ALL,Pass,0.0,"(0.0, 5.0)","(70.0, 75.0)",0.0,ALL,Shot,5.0,"(0.0, 5.0)","(70.0, 75.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,138.0,0.007977898152837,0.0035507526051717486,0.9637681159420289,0.0,0.036231884057971016
16,111.0,"(0.0, 5.0)","(75.0, 80.0)",0.0030105777054515,ALL,Pass,0.0,"(0.0, 5.0)","(75.0, 80.0)",0.0,ALL,Shot,5.0,"(0.0, 5.0)","(75.0, 80.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,116.0,0.0073812070760808,0.0029846905956516148,0.9568965517241379,0.0,0.04310344827586207
17,131.0,"(0.0, 5.0)","(80.0, 85.0)",0.0035530241388662,ALL,Pass,0.0,"(0.0, 5.0)","(80.0, 85.0)",0.0,ALL,Shot,3.0,"(0.0, 5.0)","(80.0, 85.0)",0.0026223776223776,ALL,Dribble,0.0026223776223776,3.0,134.0,0.006175401761243799,0.003447832239804451,0.9776119402985075,0.0,0.022388059701492536
18,115.0,"(0.0, 5.0)","(85.0, 90.0)",0.0031190669921345,ALL,Pass,0.0,"(0.0, 5.0)","(85.0, 90.0)",0.0,ALL,Shot,8.0,"(0.0, 5.0)","(85.0, 90.0)",0.0069930069930069,ALL,Dribble,0.0069930069930069,8.0,123.0,0.0101120739851414,0.003164801235044384,0.9349593495934959,0.0,0.06504065040650407
19,114.0,"(0.0, 5.0)","(90.0, 95.0)",0.0030919446704637,ALL,Pass,0.0,"(0.0, 5.0)","(90.0, 95.0)",0.0,ALL,Shot,3.0,"(0.0, 5.0)","(90.0, 95.0)",0.0026223776223776,ALL,Dribble,0.0026223776223776,3.0,117.0,0.0057143222928413,0.003010420686993439,0.9743589743589743,0.0,0.02564102564102564
20,93.0,"(0.0, 5.0)","(95.0, 100.0)",0.0025223759153783,ALL,Pass,0.0,"(0.0, 5.0)","(95.0, 100.0)",0.0,ALL,Shot,9.0,"(0.0, 5.0)","(95.0, 100.0)",0.0078671328671328,ALL,Dribble,0.0078671328671328,9.0,102.0,0.0103895087825111,0.002624469316866075,0.9117647058823529,0.0,0.08823529411764706
21,58.0,"(0.0, 5.0)","(100.0, 105.0)",0.0015730946569026,ALL,Pass,0.0,"(0.0, 5.0)","(100.0, 105.0)",0.0,ALL,Shot,2.0,"(0.0, 5.0)","(100.0, 105.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,60.0,0.0033213464051543,0.0015438054805094559,0.9666666666666667,0.0,0.03333333333333333
22,52.0,"(0.0, 5.0)","(105.0, 110.0)",0.0014103607268782,ALL,Pass,0.0,"(0.0, 5.0)","(105.0, 110.0)",0.0,ALL,Shot,1.0,"(0.0, 5.0)","(105.0, 110.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,53.0,0.002284486601004,0.001363694841116686,0.9811320754716981,0.0,0.018867924528301886
23,37.0,"(0.0, 5.0)","(110.0, 115.0)",0.0010035259018171,ALL,Pass,0.0,"(0.0, 5.0)","(110.0, 115.0)",0.0,ALL,Shot,0.0,"(0.0, 5.0)","(110.0, 115.0)",0.0,ALL,Dribble,0.0,0.0,37.0,0.0010035259018171,0.0009520133796474977,1.0,0.0,0.0
24,172.0,"(0.0, 5.0)","(115.0, 120.0)",0.0046650393273664,ALL,Pass,0.0,"(0.0, 5.0)","(115.0, 120.0)",0.0,ALL,Shot,0.0,"(0.0, 5.0)","(115.0, 120.0)",0.0,ALL,Dribble,0.0,0.0,172.0,0.0046650393273664,0.004425575710793773,1.0,0.0,0.0
25,12.0,"(5.0, 10.0)","(0.0, 5.0)",0.0003254678600488,ALL,Pass,0.0,"(5.0, 10.0)","(0.0, 5.0)",0.0,ALL,Shot,0.0,"(5.0, 10.0)","(0.0, 5.0)",0.0,ALL,Dribble,0.0,0.0,12.0,0.0003254678600488,0.00030876109610189115,1.0,0.0,0.0
26,20.0,"(5.0, 10.0)","(5.0, 10.0)",0.0005424464334147,ALL,Pass,0.0,"(5.0, 10.0)","(5.0, 10.0)",0.0,ALL,Shot,4.0,"(5.0, 10.0)","(5.0, 10.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,24.0,0.0040389499299181,0.0006175221922037823,0.8333333333333334,0.0,0.16666666666666666
27,44.0,"(5.0, 10.0)","(10.0, 15.0)",0.0011933821535123,ALL,Pass,0.0,"(5.0, 10.0)","(10.0, 15.0)",0.0,ALL,Shot,0.0,"(5.0, 10.0)","(10.0, 15.0)",0.0,ALL,Dribble,0.0,0.0,44.0,0.0011933821535123,0.0011321240190402676,1.0,0.0,0.0
28,55.0,"(5.0, 10.0)","(15.0, 20.0)",0.0014917276918904,ALL,Pass,0.0,"(5.0, 10.0)","(15.0, 20.0)",0.0,ALL,Shot,1.0,"(5.0, 10.0)","(15.0, 20.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,56.0,0.0023658535660162,0.0014408851151421587,0.9821428571428571,0.0,0.017857142857142856
29,67.0,"(5.0, 10.0)","(20.0, 25.0)",0.0018171955519392,ALL,Pass,0.0,"(5.0, 10.0)","(20.0, 25.0)",0.0,ALL,Shot,1.0,"(5.0, 10.0)","(20.0, 25.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,68.0,0.002691321426065,0.00174964621124405,0.9852941176470589,0.0,0.014705882352941176
30,103.0,"(5.0, 10.0)","(25.0, 30.0)",0.0027935991320857,ALL,Pass,0.0,"(5.0, 10.0)","(25.0, 30.0)",0.0,ALL,Shot,5.0,"(5.0, 10.0)","(25.0, 30.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,108.0,0.007164228502715,0.0027788498649170203,0.9537037037037037,0.0,0.046296296296296294
31,93.0,"(5.0, 10.0)","(30.0, 35.0)",0.0025223759153783,ALL,Pass,0.0,"(5.0, 10.0)","(30.0, 35.0)",0.0,ALL,Shot,1.0,"(5.0, 10.0)","(30.0, 35.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,94.0,0.0033965017895041,0.002418628586131481,0.9893617021276596,0.0,0.010638297872340425
32,97.0,"(5.0, 10.0)","(35.0, 40.0)",0.0026308652020612,ALL,Pass,0.0,"(5.0, 10.0)","(35.0, 40.0)",0.0,ALL,Shot,7.0,"(5.0, 10.0)","(35.0, 40.0)",0.0061188811188811,ALL,Dribble,0.0061188811188811,7.0,104.0,0.0087497463209423,0.0026759294995497233,0.9326923076923077,0.0,0.0673076923076923
33,122.0,"(5.0, 10.0)","(40.0, 45.0)",0.0033089232438296,ALL,Pass,0.0,"(5.0, 10.0)","(40.0, 45.0)",0.0,ALL,Shot,4.0,"(5.0, 10.0)","(40.0, 45.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,126.0,0.006805426740333,0.003241991509069857,0.9682539682539683,0.0,0.031746031746031744
34,136.0,"(5.0, 10.0)","(45.0, 50.0)",0.0036886357472199,ALL,Pass,0.0,"(5.0, 10.0)","(45.0, 50.0)",0.0,ALL,Shot,5.0,"(5.0, 10.0)","(45.0, 50.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,141.0,0.0080592651178492,0.003627942879197221,0.9645390070921985,0.0,0.03546099290780142
35,144.0,"(5.0, 10.0)","(50.0, 55.0)",0.0039056143205858,ALL,Pass,0.0,"(5.0, 10.0)","(50.0, 55.0)",0.0,ALL,Shot,5.0,"(5.0, 10.0)","(50.0, 55.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,149.0,0.0082762436912151,0.0038337836099318155,0.9664429530201343,0.0,0.03355704697986577
36,161.0,"(5.0, 10.0)","(55.0, 60.0)",0.0043666937889883,ALL,Pass,0.0,"(5.0, 10.0)","(55.0, 60.0)",0.0,ALL,Shot,4.0,"(5.0, 10.0)","(55.0, 60.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,165.0,0.007863197285491699,0.0042454650714010035,0.9757575757575757,0.0,0.024242424242424242
37,179.0,"(5.0, 10.0)","(60.0, 65.0)",0.0048548955790615,ALL,Pass,0.0,"(5.0, 10.0)","(60.0, 65.0)",0.0,ALL,Shot,7.0,"(5.0, 10.0)","(60.0, 65.0)",0.0061188811188811,ALL,Dribble,0.0061188811188811,7.0,186.0,0.0109737766979426,0.004785796989579313,0.9623655913978495,0.0,0.03763440860215054
38,189.0,"(5.0, 10.0)","(65.0, 70.0)",0.0051261187957689,ALL,Pass,0.0,"(5.0, 10.0)","(65.0, 70.0)",0.0,ALL,Shot,4.0,"(5.0, 10.0)","(65.0, 70.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,193.0,0.0086226222922723,0.004965907628972083,0.9792746113989638,0.0,0.02072538860103627
39,171.0,"(5.0, 10.0)","(70.0, 75.0)",0.0046379170056956,ALL,Pass,0.0,"(5.0, 10.0)","(70.0, 75.0)",0.0,ALL,Shot,6.0,"(5.0, 10.0)","(70.0, 75.0)",0.0052447552447552,ALL,Dribble,0.0052447552447552,6.0,177.0,0.009882672250450801,0.004554226167502895,0.9661016949152542,0.0,0.03389830508474576
40,185.0,"(5.0, 10.0)","(75.0, 80.0)",0.0050176295090859,ALL,Pass,0.0,"(5.0, 10.0)","(75.0, 80.0)",0.0,ALL,Shot,5.0,"(5.0, 10.0)","(75.0, 80.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,190.0,0.0093882588797152,0.00488871735494661,0.9736842105263158,0.0,0.02631578947368421
41,177.0,"(5.0, 10.0)","(80.0, 85.0)",0.00480065093572,ALL,Pass,0.0,"(5.0, 10.0)","(80.0, 85.0)",0.0,ALL,Shot,4.0,"(5.0, 10.0)","(80.0, 85.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,181.0,0.0082971544322234,0.004657146532870192,0.9779005524861878,0.0,0.022099447513812154
42,134.0,"(5.0, 10.0)","(85.0, 90.0)",0.0036343911038784,ALL,Pass,0.0,"(5.0, 10.0)","(85.0, 90.0)",0.0,ALL,Shot,13.0,"(5.0, 10.0)","(85.0, 90.0)",0.0113636363636363,ALL,Dribble,0.0113636363636363,13.0,147.0,0.0149980274675147,0.0037823234272481667,0.9115646258503401,0.0,0.08843537414965986
43,150.0,"(5.0, 10.0)","(90.0, 95.0)",0.0040683482506102,ALL,Pass,0.0,"(5.0, 10.0)","(90.0, 95.0)",0.0,ALL,Shot,9.0,"(5.0, 10.0)","(90.0, 95.0)",0.0078671328671328,ALL,Dribble,0.0078671328671328,9.0,159.0,0.011935481117743,0.004091084523350058,0.9433962264150944,0.0,0.05660377358490566
44,110.0,"(5.0, 10.0)","(95.0, 100.0)",0.0029834553837808,ALL,Pass,0.0,"(5.0, 10.0)","(95.0, 100.0)",0.0,ALL,Shot,11.0,"(5.0, 10.0)","(95.0, 100.0)",0.0096153846153846,ALL,Dribble,0.0096153846153846,11.0,121.0,0.0125988399991654,0.003113341052360736,0.9090909090909091,0.0,0.09090909090909091
45,76.0,"(5.0, 10.0)","(100.0, 105.0)",0.0020612964469758,ALL,Pass,0.0,"(5.0, 10.0)","(100.0, 105.0)",0.0,ALL,Shot,3.0,"(5.0, 10.0)","(100.0, 105.0)",0.0026223776223776,ALL,Dribble,0.0026223776223776,3.0,79.0,0.0046836740693534,0.0020326772160041166,0.9620253164556962,0.0,0.0379746835443038
46,73.0,"(5.0, 10.0)","(105.0, 110.0)",0.0019799294819636,ALL,Pass,0.0,"(5.0, 10.0)","(105.0, 110.0)",0.0,ALL,Shot,6.0,"(5.0, 10.0)","(105.0, 110.0)",0.0052447552447552,ALL,Dribble,0.0052447552447552,6.0,79.0,0.0072246847267188,0.0020326772160041166,0.9240506329113924,0.0,0.0759493670886076
47,45.0,"(5.0, 10.0)","(110.0, 115.0)",0.001220504475183,ALL,Pass,0.0,"(5.0, 10.0)","(110.0, 115.0)",0.0,ALL,Shot,5.0,"(5.0, 10.0)","(110.0, 115.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,50.0,0.0055911338458123,0.0012865045670912131,0.9,0.0,0.1
48,13.0,"(5.0, 10.0)","(115.0, 120.0)",0.0003525901817195,ALL,Pass,0.0,"(5.0, 10.0)","(115.0, 120.0)",0.0,ALL,Shot,2.0,"(5.0, 10.0)","(115.0, 120.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,15.0,0.0021008419299712,0.00038595137012736397,0.8666666666666667,0.0,0.13333333333333333
49,16.0,"(10.0, 15.0)","(0.0, 5.0)",0.0004339571467317,ALL,Pass,0.0,"(10.0, 15.0)","(0.0, 5.0)",0.0,ALL,Shot,0.0,"(10.0, 15.0)","(0.0, 5.0)",0.0,ALL,Dribble,0.0,0.0,16.0,0.0004339571467317,0.0004116814614691882,1.0,0.0,0.0
50,23.0,"(10.0, 15.0)","(5.0, 10.0)",0.0006238133984269,ALL,Pass,0.0,"(10.0, 15.0)","(5.0, 10.0)",0.0,ALL,Shot,2.0,"(10.0, 15.0)","(5.0, 10.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,25.0,0.0023720651466786,0.0006432522835456066,0.92,0.0,0.08
51,41.0,"(10.0, 15.0)","(10.0, 15.0)",0.0011120151885001,ALL,Pass,0.0,"(10.0, 15.0)","(10.0, 15.0)",0.0,ALL,Shot,2.0,"(10.0, 15.0)","(10.0, 15.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,43.0,0.0028602669367517996,0.0011063939276984432,0.9534883720930233,0.0,0.046511627906976744
52,50.0,"(10.0, 15.0)","(15.0, 20.0)",0.0013561160835367,ALL,Pass,0.0,"(10.0, 15.0)","(15.0, 20.0)",0.0,ALL,Shot,2.0,"(10.0, 15.0)","(15.0, 20.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,52.0,0.0031043678317883997,0.0013379647497748616,0.9615384615384616,0.0,0.038461538461538464
53,60.0,"(10.0, 15.0)","(20.0, 25.0)",0.0016273393002441,ALL,Pass,0.0,"(10.0, 15.0)","(20.0, 25.0)",0.0,ALL,Shot,1.0,"(10.0, 15.0)","(20.0, 25.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,61.0,0.0025014651743699,0.00156953557185128,0.9836065573770492,0.0,0.01639344262295082
54,69.0,"(10.0, 15.0)","(25.0, 30.0)",0.0018714401952807,ALL,Pass,0.0,"(10.0, 15.0)","(25.0, 30.0)",0.0,ALL,Shot,3.0,"(10.0, 15.0)","(25.0, 30.0)",0.0026223776223776,ALL,Dribble,0.0026223776223776,3.0,72.0,0.0044938178176583,0.001852566576611347,0.9583333333333334,0.0,0.041666666666666664
55,93.0,"(10.0, 15.0)","(30.0, 35.0)",0.0025223759153783,ALL,Pass,0.0,"(10.0, 15.0)","(30.0, 35.0)",0.0,ALL,Shot,4.0,"(10.0, 15.0)","(30.0, 35.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,97.0,0.0060188794118817,0.0024958188601569534,0.9587628865979382,0.0,0.041237113402061855
56,124.0,"(10.0, 15.0)","(35.0, 40.0)",0.0033631678871711,ALL,Pass,0.0,"(10.0, 15.0)","(35.0, 40.0)",0.0,ALL,Shot,3.0,"(10.0, 15.0)","(35.0, 40.0)",0.0026223776223776,ALL,Dribble,0.0026223776223776,3.0,127.0,0.0059855455095487,0.0032677216004116817,0.9763779527559056,0.0,0.023622047244094488
57,104.0,"(10.0, 15.0)","(40.0, 45.0)",0.0028207214537564,ALL,Pass,0.0,"(10.0, 15.0)","(40.0, 45.0)",0.0,ALL,Shot,1.0,"(10.0, 15.0)","(40.0, 45.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,105.0,0.0036948473278822,0.002701659590891548,0.9904761904761905,0.0,0.009523809523809525
58,142.0,"(10.0, 15.0)","(45.0, 50.0)",0.0038513696772443,ALL,Pass,0.0,"(10.0, 15.0)","(45.0, 50.0)",0.0,ALL,Shot,4.0,"(10.0, 15.0)","(45.0, 50.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,146.0,0.0073478731737477,0.0037565933359063426,0.9726027397260274,0.0,0.0273972602739726
59,148.0,"(10.0, 15.0)","(50.0, 55.0)",0.0040141036072687,ALL,Pass,0.0,"(10.0, 15.0)","(50.0, 55.0)",0.0,ALL,Shot,1.0,"(10.0, 15.0)","(50.0, 55.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,149.0,0.004888229481394501,0.0038337836099318155,0.9932885906040269,0.0,0.006711409395973154
60,179.0,"(10.0, 15.0)","(55.0, 60.0)",0.0048548955790615,ALL,Pass,0.0,"(10.0, 15.0)","(55.0, 60.0)",0.0,ALL,Shot,3.0,"(10.0, 15.0)","(55.0, 60.0)",0.0026223776223776,ALL,Dribble,0.0026223776223776,3.0,182.0,0.007477273201439099,0.004682876624212016,0.9835164835164835,0.0,0.016483516483516484
61,170.0,"(10.0, 15.0)","(60.0, 65.0)",0.0046107946840249,ALL,Pass,0.0,"(10.0, 15.0)","(60.0, 65.0)",0.0,ALL,Shot,4.0,"(10.0, 15.0)","(60.0, 65.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,174.0,0.0081072981805283,0.004477035893477422,0.9770114942528736,0.0,0.022988505747126436
62,168.0,"(10.0, 15.0)","(65.0, 70.0)",0.0045565500406834,ALL,Pass,0.0,"(10.0, 15.0)","(65.0, 70.0)",0.0,ALL,Shot,2.0,"(10.0, 15.0)","(65.0, 70.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,170.0,0.0063048017889351,0.004374115528110125,0.9882352941176471,0.0,0.011764705882352941
63,158.0,"(10.0, 15.0)","(70.0, 75.0)",0.0042853268239761,ALL,Pass,0.0,"(10.0, 15.0)","(70.0, 75.0)",0.0,ALL,Shot,5.0,"(10.0, 15.0)","(70.0, 75.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,163.0,0.0086559561946054,0.004194004888717355,0.9693251533742331,0.0,0.03067484662576687
64,175.0,"(10.0, 15.0)","(75.0, 80.0)",0.0047464062923786,ALL,Pass,0.0,"(10.0, 15.0)","(75.0, 80.0)",0.0,ALL,Shot,4.0,"(10.0, 15.0)","(75.0, 80.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,179.0,0.008242909788882001,0.004605686350186543,0.9776536312849162,0.0,0.0223463687150838
65,119.0,"(10.0, 15.0)","(80.0, 85.0)",0.0032275562788174,ALL,Pass,0.0,"(10.0, 15.0)","(80.0, 85.0)",0.0,ALL,Shot,6.0,"(10.0, 15.0)","(80.0, 85.0)",0.0052447552447552,ALL,Dribble,0.0052447552447552,6.0,125.0,0.0084723115235726,0.003216261417728033,0.952,0.0,0.048
66,144.0,"(10.0, 15.0)","(85.0, 90.0)",0.0039056143205858,ALL,Pass,0.0,"(10.0, 15.0)","(85.0, 90.0)",0.0,ALL,Shot,5.0,"(10.0, 15.0)","(85.0, 90.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,149.0,0.0082762436912151,0.0038337836099318155,0.9664429530201343,0.0,0.03355704697986577
67,129.0,"(10.0, 15.0)","(90.0, 95.0)",0.0034987794955248,ALL,Pass,0.0,"(10.0, 15.0)","(90.0, 95.0)",0.0,ALL,Shot,5.0,"(10.0, 15.0)","(90.0, 95.0)",0.0043706293706293,ALL,Dribble,0.0043706293706293,5.0,134.0,0.0078694088661541,0.003447832239804451,0.9626865671641791,0.0,0.03731343283582089
68,67.0,"(10.0, 15.0)","(95.0, 100.0)",0.0018171955519392,ALL,Pass,1.0,"(10.0, 15.0)","(95.0, 100.0)",0.0011750881316098,ALL,Shot,4.0,"(10.0, 15.0)","(95.0, 100.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,72.0,0.006488787180052399,0.001852566576611347,0.9305555555555556,0.013888888888888888,0.05555555555555555
69,63.0,"(10.0, 15.0)","(100.0, 105.0)",0.0017087062652563,ALL,Pass,0.0,"(10.0, 15.0)","(100.0, 105.0)",0.0,ALL,Shot,7.0,"(10.0, 15.0)","(100.0, 105.0)",0.0061188811188811,ALL,Dribble,0.0061188811188811,7.0,70.0,0.0078275873841374,0.0018011063939276984,0.9,0.0,0.1
70,45.0,"(10.0, 15.0)","(105.0, 110.0)",0.001220504475183,ALL,Pass,0.0,"(10.0, 15.0)","(105.0, 110.0)",0.0,ALL,Shot,11.0,"(10.0, 15.0)","(105.0, 110.0)",0.0096153846153846,ALL,Dribble,0.0096153846153846,11.0,56.0,0.0108358890905676,0.0014408851151421587,0.8035714285714286,0.0,0.19642857142857142
71,34.0,"(10.0, 15.0)","(110.0, 115.0)",0.0009221589368049,ALL,Pass,0.0,"(10.0, 15.0)","(110.0, 115.0)",0.0,ALL,Shot,6.0,"(10.0, 15.0)","(110.0, 115.0)",0.0052447552447552,ALL,Dribble,0.0052447552447552,6.0,40.0,0.0061669141815601,0.0010292036536729706,0.85,0.0,0.15
72,16.0,"(10.0, 15.0)","(115.0, 120.0)",0.0004339571467317,ALL,Pass,0.0,"(10.0, 15.0)","(115.0, 120.0)",0.0,ALL,Shot,4.0,"(10.0, 15.0)","(115.0, 120.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,20.0,0.0039304606432351,0.0005146018268364853,0.8,0.0,0.2
73,6.0,"(15.0, 20.0)","(0.0, 5.0)",0.0001627339300244,ALL,Pass,0.0,"(15.0, 20.0)","(0.0, 5.0)",0.0,ALL,Shot,0.0,"(15.0, 20.0)","(0.0, 5.0)",0.0,ALL,Dribble,0.0,0.0,6.0,0.0001627339300244,0.00015438054805094558,1.0,0.0,0.0
74,19.0,"(15.0, 20.0)","(5.0, 10.0)",0.0005153241117439,ALL,Pass,0.0,"(15.0, 20.0)","(5.0, 10.0)",0.0,ALL,Shot,0.0,"(15.0, 20.0)","(5.0, 10.0)",0.0,ALL,Dribble,0.0,0.0,19.0,0.0005153241117439,0.000488871735494661,1.0,0.0,0.0
