Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Unnamed: 23_level_0,Unnamed: 24_level_0,Expected,Expected.1,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,90s,Att,Pos,Squad,Player,Pass/90,Shot_Accuracy,Pass_Accuracy
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,18,21,85.7,274,76,7,7,100.0,10,12,83.3,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,3,Matches,0.4,21.0,FW,Nantes,Mohamed Achi,52.5,,85.7
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,970,1307,74.2,18018,6997,446,499,89.4,380,491,77.4,128,260,49.2,2,4.3,5.7,-2.3,38,71,38,19,102,Matches,21.2,1307.0,DF,Sevilla,Marcos Acuña,61.65094339622642,29.8,74.2
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,330,498,66.3,4651,1042,205,278,73.7,78,118,66.1,26,37,70.3,3,2.8,2.2,+0.2,24,21,11,2,34,Matches,22.1,498.0,FW,Southampton,Che Adams,22.53393665158371,,66.3
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,-1.4,24,110,13,0,136,Matches,24.0,1343.0,MF,Leeds United,Tyler Adams,55.958333333333336,,82.5
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,123,179,68.7,2000,527,61,76,80.3,48,64,75.0,10,16,62.5,2,0.8,1.4,+1.2,8,7,11,2,24,Matches,7.2,179.0,"FW,MF",Köln,Sargis Adamyan,24.86111111111111,,68.7
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,1066,1300,82.0,22623,8478,265,307,86.3,653,735,88.8,136,223,61.0,0,0.4,0.5,-0.4,6,96,7,0,95,Matches,23.2,1300.0,DF,Fulham,Tosin Adarabioyo,56.03448275862069,,82.0
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,29,41,70.7,390,93,12,18,66.7,11,14,78.6,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,3,Matches,1.2,41.0,"MF,FW",Reims,Martin Adeline,34.16666666666667,37.8,70.7
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,335,457,73.3,4409,1278,197,243,81.1,97,125,77.6,13,27,48.1,5,3.7,3.7,+1.3,28,17,25,0,47,Matches,15.4,457.0,"FW,MF",Dortmund,Karim Adeyemi,29.67532467532468,,73.3
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,Pos,Squad,Player,,45.9,
26,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,427,565,75.6,5845,1373,240,296,81.1,138,166,83.1,18,34,52.9,3,1.7,1.9,+1.3,20,26,10,0,49,Matches,15.9,565.0,"FW,MF",Leverkusen,Amine Adli,35.53459119496856,,75.6
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,49,76,64.5,931,308,21,28,75.0,17,24,70.8,9,16,56.3,0,0.3,0.2,-0.3,2,6,2,0,10,Matches,1.6,76.0,"MF,FW",Milan,Yacine Adli,47.5,,64.5
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,557,674,82.6,8050,2143,312,343,91.0,189,223,84.8,27,51,52.9,0,0.6,0.5,-0.6,15,37,7,1,46,Matches,17.1,674.0,"FW,MF",Bologna,Michel Aebischer,39.41520467836257,,82.6
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,146,193,75.6,1855,194,99,115,86.1,34,46,73.9,4,7,57.1,0,0.1,0.2,-0.1,3,3,0,0,8,Matches,9.1,193.0,"FW,MF",Cremonese,Felix Afena-Gyan,21.208791208791208,,75.6
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,1281,1493,85.8,27077,9413,360,413,87.2,705,764,92.3,202,284,71.1,3,2.4,1.7,+0.6,13,112,15,1,131,Matches,26.5,1493.0,DF,Reims,Emmanuel Agbadou,56.33962264150944,,85.8
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,171,241,71.0,4890,3600,29,29,100.0,91,94,96.8,51,118,43.2,0,0.0,0.0,0.0,0,2,0,0,0,Matches,7.5,241.0,GK,Athletic Club,Julen Agirrezabala,32.13333333333333,,71.0
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,619,744,83.2,10977,3466,254,295,86.1,285,322,88.5,60,89,67.4,1,1.1,1.0,-0.1,12,62,15,2,93,Matches,12.2,744.0,MF,Troyes,Lucien Agoume,60.98360655737705,,83.2
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2,Matches,0.5,25.0,"DF,FW",Werder Bremen,Felix Agu,50.0,,64.0
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21.0,930,1142,81.4,18906,5096,359,404,88.9,371,429,86.5,174,246,70.7,2,2.2,2.0,-0.2,35,111,11,2,139,Matches,21.0,1142.0,MF,Valladolid,Álvaro Aguado,54.38095238095238,,81.4
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,531,735,72.2,7885,2631,295,349,84.5,173,226,76.5,30,54,55.6,1,3.0,2.6,-2.0,28,58,31,2,110,Matches,23.7,735.0,"MF,FW",Spezia,Kevin Agudelo,31.012658227848103,,72.2
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,599,763,78.5,12203,5332,224,244,91.8,287,335,85.7,82,169,48.5,0,0.5,0.3,-0.5,6,37,4,0,25,Matches,17.7,763.0,DF,West Ham,Nayef Aguerd,43.10734463276836,,78.5
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,696,847,82.2,10933,4515,352,394,89.3,291,343,84.8,36,68,52.9,0,0.9,1.2,-0.9,3,72,11,5,102,Matches,13.0,847.0,DF,Monaco,Ruben Aguilar,65.15384615384616,,82.2
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Matches,1.0,46.0,"MF,FW",Crystal Palace,Naouirou Ahamada,46.0,,80.4
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,449,529,84.9,6965,1651,223,242,92.1,187,204,91.7,21,40,52.5,2,1.2,0.9,+0.8,15,38,7,2,56,Matches,15.5,529.0,MF,Stuttgart,Naouirou Ahamada,34.12903225806452,,84.9
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,6,10,60.0,79,18,3,5,60.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,0.2,10.0,FW,Troyes,Amar Ahmed,50.0,,60.0
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,447,592,75.5,7451,2109,207,255,81.2,179,230,77.8,38,68,55.9,1,1.1,1.3,-0.1,9,53,11,1,50,Matches,14.4,592.0,MF,Strasbourg,Jean-Eudes Aholou,41.11111111111111,,75.5
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,1525,1766,86.4,31337,9650,383,439,87.2,974,1050,92.8,163,244,66.8,0,0.1,0.3,-0.1,2,83,4,0,95,Matches,34.7,1766.0,DF,Celta Vigo,Joseph Aidoo,50.89337175792507,,86.4
43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,402,544,73.9,6725,2554,210,232,90.5,130,173,75.1,48,93,51.6,1,2.1,1.9,-1.1,12,35,14,9,43,Matches,9.7,544.0,DF,Torino,Ola Aina,56.08247422680413,,73.9
44,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,470,578,81.3,7079,2353,268,300,89.3,169,205,82.4,20,32,62.5,0,1.0,0.9,-1.0,7,29,14,5,43,Matches,12.0,578.0,DF,Wolves,Rayan Aït-Nouri,48.16666666666666,,81.3
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,646,817,79.1,10819,3713,297,332,89.5,294,349,84.2,40,97,41.2,0,0.4,0.8,-0.4,4,48,7,1,46,Matches,18.4,817.0,DF,Cremonese,Emanuel Aiwum,44.40217391304349,,79.1
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31,Matches,8.5,345.0,DF,Brentford,Kristoffer Ajer,40.588235294117645,,75.1
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,178,255,69.8,2614,397,103,137,75.2,55,79,69.6,11,16,68.8,0,0.8,0.8,-0.8,10,10,6,0,13,Matches,8.6,255.0,FW,Strasbourg,Ludovic Ajorque,29.65116279069768,,69.8
48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,243,415,58.6,3550,613,153,231,66.2,55,104,52.9,22,28,78.6,1,1.7,1.6,-0.7,13,17,8,0,31,Matches,13.5,415.0,"FW,MF",Mainz 05,Ludovic Ajorque,30.74074074074074,,58.6
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,1912,2056,93.0,32634,10258,867,902,96.1,903,945,95.6,117,166,70.5,1,0.4,1.0,+0.6,7,140,3,1,116,Matches,25.4,2056.0,DF,Manchester City,Manuel Akanji,80.94488188976378,,93.0
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,1639,1813,90.4,26199,8953,803,846,94.9,745,809,92.1,63,98,64.3,0,0.7,1.3,-0.7,9,165,9,1,140,Matches,20.8,1813.0,DF,Manchester City,Nathan Aké,87.16346153846153,,90.4
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,Pos,Squad,Player,,,
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,821,1061,77.4,13314,5012,430,485,88.7,315,386,81.6,52,128,40.6,0,2.0,2.2,-2.0,21,43,22,17,58,Matches,25.5,1061.0,DF,Almería,Sergio Akieme,41.6078431372549,,77.4
52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0.1,2.0,FW,Valladolid,Babatunde Akinsola,20.0,,100.0
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,130,168,77.4,1613,498,78,91,85.7,34,46,73.9,3,7,42.9,0,0.5,0.5,-0.5,6,12,5,0,16,Matches,4.5,168.0,"MF,FW",Monaco,Maghnes Akliouche,37.333333333333336,,77.4
54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5.0,160,174,92.0,2670,645,71,73,97.3,66,69,95.7,14,18,77.8,0,0.0,0.1,0.0,0,13,1,0,10,Matches,5.0,174.0,"MF,DF",Betis,Paul Akouokou,34.8,,92.0
55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,302,406,74.4,4399,1671,167,201,83.1,96,118,81.4,18,36,50.0,1,1.0,1.2,0.0,6,24,9,2,39,Matches,15.1,406.0,"MF,FW",Empoli,Jean-Daniel Akpa-Akpro,26.88741721854305,,74.4
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,814,1024,79.5,15380,5931,275,319,86.2,437,495,88.3,83,162,51.2,0,0.5,0.8,-0.5,5,83,10,3,85,Matches,21.7,1024.0,DF,Hoffenheim,Kevin Akpoguma,47.1889400921659,,79.5
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,1042,1189,87.6,15258,5475,601,626,96.0,340,388,87.6,53,99,53.5,3,1.1,1.3,+1.9,16,68,9,4,67,Matches,20.4,1189.0,DF,Real Madrid,David Alaba,58.2843137254902,,87.6
58,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,0.3,,,,,,,,,,,,,,,0,,,,,,,,,Matches,0.3,,FW,Barcelona,Ángel Alarcón,,,
59,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,2.5,78,95,82.1,1688,582,28,32,87.5,27,34,79.4,20,25,80.0,0,0.1,0.1,-0.1,2,11,1,0,9,Matches,2.5,95.0,MF,Cádiz,Tomás Alarcón,38.0,,82.1
60,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,3.7,56,85,65.9,792,190,29,41,70.7,20,28,71.4,4,5,80.0,0,0.0,0.4,0.0,1,4,0,0,8,Matches,3.7,85.0,"FW,MF",Eint Frankfurt,Lucas Alario,22.97297297297297,,65.9
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,1217,1460,83.4,19141,5490,668,728,91.8,441,521,84.6,78,139,56.1,3,6.2,6.7,-3.2,38,120,43,15,141,Matches,15.8,1460.0,DF,Barcelona,Jordi Alba,92.40506329113924,37.8,83.4
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,27.1,1640,1988,82.5,25338,8690,905,986,91.8,560,646,86.7,116,238,48.7,7,7.0,6.3,0.0,66,210,56,1,248,Matches,27.1,1988.0,MF,Lazio,Luis Alberto,73.35793357933579,,82.5
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,1303,1472,88.5,28074,10667,321,349,92.0,757,811,93.3,215,287,74.9,0,0.0,0.5,0.0,2,98,5,0,100,Matches,23.5,1472.0,DF,Villarreal,Raúl Albiol,62.63829787234042,,88.5
64,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches,2.6,148.0,"FW,MF",Leicester City,Marc Albrighton,56.92307692307692,,60.1
65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,13.9,946,1097,86.2,17219,4988,433,466,92.9,346,392,88.3,136,172,79.1,0,1.1,1.3,-1.1,17,110,20,1,120,Matches,13.9,1097.0,MF,Liverpool,Thiago Alcántara,78.92086330935251,,86.2
66,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,11.4,222,290,76.6,3147,669,114,137,83.2,80,95,84.2,8,19,42.1,2,0.7,0.7,+1.3,5,20,6,0,28,Matches,11.4,290.0,"MF,FW",Southampton,Carlos Alcaraz,25.43859649122807,,76.6
67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,22.7,827,1046,79.1,16517,4831,331,386,85.8,340,388,87.6,138,219,63.0,0,1.3,1.2,-1.3,20,93,16,8,105,Matches,22.7,1046.0,MF,Cádiz,Rubén Alcaraz,46.07929515418503,,79.1
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,509,877,58.0,11252,5744,153,218,70.2,260,351,74.1,94,268,35.1,1,0.8,1.0,+0.2,5,69,12,0,96,Matches,22.7,877.0,DF,Getafe,Omar Alderete,38.63436123348018,,58.0
69,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,14.6,219,392,55.9,3409,1108,128,173,74.0,55,111,49.5,24,61,39.3,1,2.4,1.6,-1.4,21,10,24,20,16,Matches,14.6,392.0,"MF,FW",Cádiz,Iván Alejo,26.84931506849315,,55.9
70,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,95,145,65.5,2786,2199,20,20,100.0,47,47,100.0,28,77,36.4,0,0.1,0.0,-0.1,1,2,0,0,0,Matches,4.5,145.0,GK,Rennes,Doğan Alemdar,32.22222222222222,,65.5
71,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,23.5,607,809,75.0,10256,2596,291,346,84.1,211,270,78.1,69,120,57.5,2,1.6,1.8,+0.4,15,71,20,6,87,Matches,23.5,809.0,"MF,FW",Getafe,Carles Aleñá,34.42553191489362,20.0,75.0
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,2188,2912,75.1,41590,16323,1000,1123,89.0,822,1045,78.7,331,642,51.6,9,11.5,9.1,-2.5,71,239,82,28,235,Matches,32.5,2912.0,DF,Liverpool,Trent Alexander-Arnold,89.6,,75.1
73,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,0.2,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0.2,1.0,MF,Elche,Alejandro Alfaro,5.0,,100.0
74,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,12.6,420,521,80.6,7479,1575,179,211,84.8,173,197,87.8,52,82,63.4,0,0.6,0.3,-0.6,5,35,4,4,42,Matches,12.6,521.0,MF,Getafe,Ángel Algobia,41.34920634920635,,80.6
75,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,6.5,108,165,65.5,1506,407,72,82,87.8,27,53,50.9,5,17,29.4,2,1.7,1.6,+0.3,7,6,10,7,8,Matches,6.5,165.0,"FW,MF",Real Sociedad,Mohamed Ali Cho,25.384615384615383,,65.5
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,Pos,Squad,Player,,,
76,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,2.0,74,101,73.3,1164,410,38,41,92.7,33,46,71.7,2,9,22.2,1,0.5,0.3,+0.5,3,8,7,3,16,Matches,2.0,101.0,"DF,MF",Eint Frankfurt,Faride Alidou,50.5,,73.3
77,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,1241,1453,85.4,29043,18696,307,309,99.4,657,666,98.6,273,469,58.2,1,0.3,0.0,+0.7,1,16,0,0,3,Matches,37.0,1453.0,GK,Liverpool,Alisson,39.270270270270274,,85.4
78,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,24.9,658,848,77.6,9331,2378,388,453,85.7,216,273,79.1,25,62,40.3,1,2.0,2.5,-1.0,18,37,14,9,59,Matches,24.9,848.0,"DF,FW",Clermont Foot,Jim Allevinah,34.0562248995984,,77.6
79,Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches,0.4,15.0,MF,Everton,Dele Alli,37.5,,80.0
80,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,28.2,1110,1402,79.2,18396,6030,561,624,89.9,396,485,81.6,110,213,51.6,4,3.4,4.0,+0.6,43,143,43,13,197,Matches,28.2,1402.0,MF,Valencia,Domingos André Ribeiro Almeida,49.71631205673759,29.0,79.2
81,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,27.7,811,982,82.6,10752,2657,513,567,90.5,223,276,80.8,29,40,72.5,2,3.2,3.0,-1.2,26,45,36,4,124,Matches,27.7,982.0,FW,Newcastle Utd,Miguel Almirón,35.45126353790614,,82.6
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,896,1005,89.2,16393,5539,360,386,93.3,442,475,93.1,81,117,69.2,0,0.3,0.9,-0.3,6,70,9,4,71,Matches,13.0,1005.0,DF,Barcelona,Marcos Alonso,77.3076923076923,,89.2
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,448,686,65.3,7834,3413,197,237,83.1,190,272,69.9,45,133,33.8,0,0.6,0.9,-0.6,11,43,10,5,51,Matches,15.1,686.0,DF,Ajaccio,Mickaël Alphonse,45.43046357615894,,65.3
84,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,2.6,64,91,70.3,1237,408,21,29,72.4,34,39,87.2,9,18,50.0,0,0.3,0.2,-0.3,4,11,0,0,12,Matches,2.6,91.0,"MF,FW",Schalke 04,Éder Álvarez Balanta,35.0,,70.3
