Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Touches,Touches.1,Touches.2,Touches.3,Touches.4,Touches.5,Touches.6,Take-Ons,Take-Ons.1,Take-Ons.2,Take-Ons.3,Take-Ons.4,Carries,Carries.1,Carries.2,Carries.3,Carries.4,Carries.5,Carries.6,Carries.7,Receiving,Receiving.1,Unnamed: 31_level_0,90s,Att,Pos,Squad,Player,Dribble/90,Shot_Accuracy,Dribble_Accuracy
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,210,3,11,101,103,41,208,23,12,52.2,11,47.8,141,918,319,14,5,7,43,17,155,49,Matches,9.0,23.0,"FW,MF",Auxerre,Matthis Abline,2.555555555555556,,52.2
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,37,1,1,15,22,15,37,0,0,,0,,27,174,105,4,1,2,10,1,27,11,Matches,1.2,0.0,"FW,MF",Rennes,Matthis Abline,0.0,,
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,425,25,128,189,113,11,425,10,3,30.0,7,70.0,204,858,469,8,7,4,10,4,231,25,Matches,6.7,10.0,DF,Betis,Abner,1.4925373134328357,36.1,30.0
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,1163,32,156,456,571,151,1163,109,42,38.5,57,52.3,901,6003,2662,100,48,44,83,36,843,276,Matches,27.5,109.0,"FW,MF",Toulouse,Zakaria Aboukhlal,3.963636363636364,45.2,38.5
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,786,19,50,391,355,125,786,68,22,32.4,37,54.4,421,2154,856,35,20,16,62,31,621,141,Matches,24.3,68.0,FW,Roma,Tammy Abraham,2.7983539094650203,,32.4
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,11,0,1,9,1,0,11,0,0,,0,,7,19,7,0,0,0,1,0,8,0,Matches,0.2,0.0,MF,Cremonese,Christian Acella,0.0,,
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,1890,226,858,880,167,27,1890,12,7,58.3,4,33.3,1041,5108,2867,39,33,2,13,7,1252,32,Matches,26.9,12.0,DF,Inter,Francesco Acerbi,0.446096654275093,,58.3
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,8,6,8,0,0,0,8,0,0,,0,,8,42,34,0,0,0,0,0,2,0,Matches,0.1,0.0,GK,Valladolid,Álvaro Aceves,0.0,,
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,25,0,4,11,10,0,25,1,0,0.0,1,100.0,21,134,75,2,2,0,0,1,19,1,Matches,0.4,1.0,FW,Nantes,Mohamed Achi,2.5,,0.0
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,1523,69,406,670,467,26,1523,54,26,48.1,23,42.6,823,4070,2178,49,43,5,29,20,903,94,Matches,21.2,54.0,DF,Sevilla,Marcos Acuña,2.547169811320755,29.8,48.1
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,717,29,66,286,377,103,717,34,17,50.0,13,38.2,406,1623,471,17,11,9,66,28,558,115,Matches,22.1,34.0,FW,Southampton,Che Adams,1.5384615384615383,,50.0
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555,19,21,0,28,18,919,20,Matches,24.0,22.0,MF,Leeds United,Tyler Adams,0.9166666666666666,,31.8
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,310,6,36,134,147,48,310,27,6,22.2,16,59.3,166,924,352,12,8,5,28,16,191,58,Matches,7.2,27.0,"FW,MF",Köln,Sargis Adamyan,3.75,,22.2
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,1545,231,776,735,47,19,1545,11,9,81.8,2,18.2,834,4470,2733,16,12,1,4,4,975,3,Matches,23.2,11.0,DF,Fulham,Tosin Adarabioyo,0.4741379310344827,,81.8
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,59,4,22,22,16,1,59,3,1,33.3,2,66.7,31,173,83,1,0,0,4,2,27,1,Matches,1.2,3.0,"MF,FW",Reims,Martin Adeline,2.5,37.8,33.3
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,676,11,68,240,384,65,675,94,34,36.2,48,51.1,455,3163,1489,49,32,21,43,26,478,131,Matches,15.4,94.0,"FW,MF",Dortmund,Karim Adeyemi,6.103896103896104,,36.2
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,Pos,Squad,Player,,45.9,
26,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,786,9,74,394,327,67,786,58,26,44.8,22,37.9,467,2610,1368,46,29,15,52,18,598,137,Matches,15.9,58.0,"FW,MF",Leverkusen,Amine Adli,3.647798742138365,,44.8
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,97,1,14,45,42,2,97,6,4,66.7,2,33.3,55,349,171,7,5,0,3,5,67,8,Matches,1.6,6.0,"MF,FW",Milan,Yacine Adli,3.75,,66.7
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,791,14,147,400,246,28,791,13,6,46.2,7,53.8,505,1992,841,14,12,4,30,17,618,85,Matches,17.1,13.0,"FW,MF",Bologna,Michel Aebischer,0.7602339181286549,,46.2
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,318,7,40,129,156,28,318,25,7,28.0,12,48.0,202,1160,463,22,13,3,34,21,217,54,Matches,9.1,25.0,"FW,MF",Cremonese,Felix Afena-Gyan,2.747252747252748,,28.0
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,1798,213,851,877,87,21,1798,14,8,57.1,6,42.9,1287,7671,3866,15,19,2,23,13,1087,8,Matches,26.5,14.0,DF,Reims,Emmanuel Agbadou,0.5283018867924528,,57.1
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,253,203,249,4,0,0,253,0,0,,0,,150,804,551,0,0,0,0,0,105,0,Matches,7.5,0.0,GK,Athletic Club,Julen Agirrezabala,0.0,,
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,893,45,276,480,143,13,893,13,5,38.5,5,38.5,646,3160,1227,9,10,0,9,11,590,10,Matches,12.2,13.0,MF,Troyes,Lucien Agoume,1.0655737704918034,,38.5
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,33,1,7,13,14,2,33,3,0,0.0,2,66.7,19,165,24,0,2,0,1,2,19,2,Matches,0.5,3.0,"DF,FW",Werder Bremen,Felix Agu,6.0,,0.0
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21.0,1292,36,255,742,315,18,1292,31,13,41.9,9,29.0,833,5476,2508,29,43,3,24,9,908,50,Matches,21.0,31.0,MF,Valladolid,Álvaro Aguado,1.4761904761904765,,41.9
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,1084,11,168,500,457,54,1084,109,50,45.9,50,45.9,662,4963,2740,81,71,19,59,55,699,100,Matches,23.7,109.0,"MF,FW",Spezia,Kevin Agudelo,4.59915611814346,,45.9
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,949,161,563,358,35,23,949,6,4,66.7,0,0.0,523,2127,1137,2,1,0,8,7,564,4,Matches,17.7,6.0,DF,West Ham,Nayef Aguerd,0.3389830508474576,,66.7
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,975,44,210,463,305,24,975,14,7,50.0,6,42.9,637,3256,1501,29,23,3,14,4,573,78,Matches,13.0,14.0,DF,Monaco,Ruben Aguilar,1.0769230769230769,,50.0
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1.0,63,0,12,35,16,4,63,2,1,50.0,1,50.0,32,179,70,1,2,1,5,1,39,11,Matches,1.0,2.0,"MF,FW",Crystal Palace,Naouirou Ahamada,2.0,,50.0
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,674,18,139,387,160,22,674,44,20,45.5,20,45.5,408,2988,1511,43,27,6,34,11,453,54,Matches,15.5,44.0,MF,Stuttgart,Naouirou Ahamada,2.838709677419355,,45.5
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,18,0,3,8,7,0,18,1,1,100.0,0,0.0,12,74,21,0,1,0,4,2,12,2,Matches,0.2,1.0,FW,Troyes,Amar Ahmed,5.0,,100.0
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,799,26,131,483,194,27,799,34,14,41.2,14,41.2,538,2906,1220,25,18,9,34,15,477,37,Matches,14.4,34.0,MF,Strasbourg,Jean-Eudes Aholou,2.361111111111111,,41.2
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,2082,301,1114,938,46,15,2082,13,8,61.5,2,15.4,1306,6192,3226,15,6,0,12,9,1321,2,Matches,34.7,13.0,DF,Celta Vigo,Joseph Aidoo,0.3746397694524495,,61.5
43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,679,20,146,294,250,13,679,49,23,46.9,20,40.8,361,2268,1112,35,26,4,15,8,390,43,Matches,9.7,49.0,DF,Torino,Ola Aina,5.051546391752578,,46.9
44,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,740,40,240,279,233,28,740,50,28,56.0,18,36.0,395,2260,1244,30,13,10,28,12,454,76,Matches,12.0,50.0,DF,Wolves,Rayan Aït-Nouri,4.166666666666667,,56.0
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,997,105,506,452,51,5,997,10,3,30.0,5,50.0,500,3147,1569,19,11,0,6,5,521,7,Matches,18.4,10.0,DF,Cremonese,Emanuel Aiwum,0.5434782608695653,,30.0
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,412,45,184,167,64,9,412,9,3,33.3,4,44.4,213,1123,613,10,5,0,3,8,231,12,Matches,8.5,9.0,DF,Brentford,Kristoffer Ajer,1.0588235294117647,,33.3
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,336,8,32,172,136,50,335,5,3,60.0,2,40.0,225,901,202,2,7,1,19,10,262,55,Matches,8.6,5.0,FW,Strasbourg,Ludovic Ajorque,0.5813953488372093,,60.0
48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,555,8,34,291,236,76,555,12,7,58.3,4,33.3,253,989,267,5,11,1,46,13,415,85,Matches,13.5,12.0,"FW,MF",Mainz 05,Ludovic Ajorque,0.8888888888888888,,58.3
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,2231,121,815,1248,176,34,2231,12,6,50.0,3,25.0,1544,8443,5039,24,40,1,12,3,1734,17,Matches,25.4,12.0,DF,Manchester City,Manuel Akanji,0.4724409448818898,,50.0
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,1959,86,615,1097,256,32,1959,5,3,60.0,1,20.0,1223,5455,3314,25,19,4,16,0,1492,30,Matches,20.8,5.0,DF,Manchester City,Nathan Aké,0.2403846153846153,,60.0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,Pos,Squad,Player,,,
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,1283,78,434,563,307,35,1283,51,27,52.9,18,35.3,660,4200,2232,60,34,11,29,25,710,84,Matches,25.5,51.0,DF,Almería,Sergio Akieme,2.0,,52.9
52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,4,0,1,2,1,0,4,0,0,,0,,4,29,14,1,1,0,2,1,5,3,Matches,0.1,0.0,FW,Valladolid,Babatunde Akinsola,0.0,,
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,210,4,23,85,105,17,210,13,6,46.2,7,53.8,172,897,351,9,5,2,8,7,161,42,Matches,4.5,13.0,"MF,FW",Monaco,Maghnes Akliouche,2.888888888888889,,46.2
54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5.0,233,33,102,117,16,1,233,5,3,60.0,2,40.0,116,369,122,1,2,0,5,0,136,1,Matches,5.0,5.0,"MF,DF",Betis,Paul Akouokou,1.0,,60.0
55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,630,24,163,338,143,24,630,55,31,56.4,19,34.5,325,1788,748,19,23,8,25,15,351,37,Matches,15.1,55.0,"MF,FW",Empoli,Jean-Daniel Akpa-Akpro,3.642384105960265,,56.4
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,1306,143,613,609,93,16,1306,22,7,31.8,13,59.1,691,3422,1537,17,13,3,16,7,742,23,Matches,21.7,22.0,DF,Hoffenheim,Kevin Akpoguma,1.0138248847926268,,31.8
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,1293,137,531,530,240,22,1293,4,3,75.0,1,25.0,779,3566,2070,16,24,2,7,5,938,60,Matches,20.4,4.0,DF,Real Madrid,David Alaba,0.196078431372549,,75.0
58,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,0.3,,,,,,,,,,,,,,,,,,,,,,,Matches,0.3,,FW,Barcelona,Ángel Alarcón,,,
59,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,2.5,113,3,20,68,25,1,113,0,0,,0,,62,267,81,2,0,0,3,4,74,6,Matches,2.5,0.0,MF,Cádiz,Tomás Alarcón,0.0,,
60,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,3.7,131,13,22,51,61,24,131,8,5,62.5,3,37.5,53,234,116,2,6,1,4,8,91,17,Matches,3.7,8.0,"FW,MF",Eint Frankfurt,Lucas Alario,2.162162162162162,,62.5
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,1558,34,299,765,506,39,1558,8,4,50.0,4,50.0,957,3881,2079,42,27,6,7,7,1121,157,Matches,15.8,8.0,DF,Barcelona,Jordi Alba,0.5063291139240506,37.8,50.0
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,27.1,2217,29,269,1285,681,43,2215,41,19,46.3,20,48.8,1244,5632,3214,73,76,10,33,31,1632,94,Matches,27.1,41.0,MF,Lazio,Luis Alberto,1.5129151291512914,,46.3
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,1687,223,856,796,44,9,1687,7,4,57.1,3,42.9,1047,6928,4616,12,10,0,11,5,1152,3,Matches,23.5,7.0,DF,Villarreal,Raúl Albiol,0.2978723404255319,,57.1
64,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,2.6,173,6,33,61,79,5,173,2,2,100.0,0,0.0,83,391,147,4,4,0,4,2,116,18,Matches,2.6,2.0,"FW,MF",Leicester City,Marc Albrighton,0.7692307692307692,,100.0
65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,13.9,1251,45,272,796,188,8,1251,30,21,70.0,4,13.3,718,3639,1721,13,21,0,13,22,910,24,Matches,13.9,30.0,MF,Liverpool,Thiago Alcántara,2.158273381294964,,70.0
66,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,11.4,430,14,73,234,130,23,430,28,13,46.4,11,39.3,258,1292,675,20,17,2,30,24,296,32,Matches,11.4,28.0,"MF,FW",Southampton,Carlos Alcaraz,2.456140350877193,,46.4
67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,22.7,1286,64,309,768,224,22,1283,24,12,50.0,10,41.7,715,3713,1587,30,27,3,34,31,775,20,Matches,22.7,24.0,MF,Cádiz,Rubén Alcaraz,1.0572687224669604,,50.0
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,1114,118,458,591,81,25,1114,22,17,77.3,5,22.7,529,2843,1937,28,15,2,15,8,533,8,Matches,22.7,22.0,DF,Getafe,Omar Alderete,0.9691629955947136,,77.3
69,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,14.6,590,23,131,185,283,22,590,47,12,25.5,25,53.2,356,2612,1275,52,32,2,38,23,378,103,Matches,14.6,47.0,"MF,FW",Cádiz,Iván Alejo,3.219178082191781,,25.5
70,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,154,117,154,0,0,0,154,0,0,,0,,102,490,229,0,0,0,1,0,67,0,Matches,4.5,0.0,GK,Rennes,Doğan Alemdar,0.0,,
71,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,23.5,1024,17,149,579,312,28,1024,43,24,55.8,13,30.2,608,2796,1235,24,23,2,47,24,728,78,Matches,23.5,43.0,"MF,FW",Getafe,Carles Aleñá,1.8297872340425527,20.0,55.8
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,3180,89,737,1631,837,44,3180,45,30,66.7,13,28.9,1778,6848,3312,43,39,8,35,21,2042,139,Matches,32.5,45.0,DF,Liverpool,Trent Alexander-Arnold,1.3846153846153846,,66.7
73,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,0.2,2,0,0,1,1,0,2,1,0,0.0,1,100.0,1,6,0,0,1,0,0,0,2,0,Matches,0.2,1.0,MF,Elche,Alejandro Alfaro,5.0,,0.0
74,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,12.6,626,14,147,390,92,9,626,6,4,66.7,2,33.3,330,1542,716,10,4,3,12,7,387,11,Matches,12.6,6.0,MF,Getafe,Ángel Algobia,0.4761904761904762,,66.7
75,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,6.5,281,4,33,106,151,29,281,39,16,41.0,18,46.2,192,1299,704,30,6,14,29,9,204,63,Matches,6.5,39.0,"FW,MF",Real Sociedad,Mohamed Ali Cho,6.0,,41.0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,Pos,Squad,Player,,,
76,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,2.0,139,3,23,65,52,5,139,10,2,20.0,8,80.0,63,413,223,8,4,4,5,5,71,24,Matches,2.0,10.0,"DF,MF",Eint Frankfurt,Faride Alidou,5.0,,20.0
77,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,1536,1124,1498,39,0,0,1536,2,2,100.0,0,0.0,985,4654,2962,0,0,0,1,0,901,0,Matches,37.0,2.0,GK,Liverpool,Alisson,0.054054054054054,,100.0
78,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,24.9,1134,39,257,502,396,65,1134,88,34,38.6,45,51.1,851,6113,2685,82,62,14,46,40,746,141,Matches,24.9,88.0,"DF,FW",Clermont Foot,Jim Allevinah,3.534136546184739,,38.6
79,Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1,Matches,0.4,1.0,MF,Everton,Dele Alli,2.5,,0.0
80,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,28.2,1685,33,244,820,651,24,1685,90,46,51.1,31,34.4,1049,6244,3196,74,71,3,42,49,1114,71,Matches,28.2,90.0,MF,Valencia,Domingos André Ribeiro Almeida,3.191489361702128,29.0,51.1
81,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,27.7,1300,25,147,417,760,138,1300,79,34,43.0,33,41.8,841,5389,2341,77,46,25,51,28,924,264,Matches,27.7,79.0,FW,Newcastle Utd,Miguel Almirón,2.851985559566787,,43.0
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,1114,98,402,624,94,11,1114,2,2,100.0,0,0.0,727,4516,2674,26,11,0,8,1,816,12,Matches,13.0,2.0,DF,Barcelona,Marcos Alonso,0.1538461538461538,,100.0
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,879,54,255,457,178,13,879,19,10,52.6,8,42.1,473,2988,1528,30,25,0,15,14,403,34,Matches,15.1,19.0,DF,Ajaccio,Mickaël Alphonse,1.2582781456953642,,52.6
84,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,2.6,114,4,38,60,17,2,114,4,3,75.0,1,25.0,55,234,130,3,1,0,1,2,53,0,Matches,2.6,4.0,"MF,FW",Schalke 04,Éder Álvarez Balanta,1.5384615384615383,,75.0
85,Carlos Álvarez,es ESP,MF,Sevilla,es La Liga,18,2003,0.1,6,0,0,3,3,0,6,0,0,,0,,2,18,1,0,0,0,1,0,5,1,Matches,0.1,0.0,MF,Sevilla,Carlos Álvarez,0.0,,
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,732,42,218,376,144,8,732,19,8,42.1,9,47.4,254,933,437,11,8,0,13,3,318,27,Matches,16.7,19.0,DF,Getafe,Gastón Álvarez,1.1377245508982037,43.5,42.1
87,Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,16.3,654,8,46,255,360,89,653,38,21,55.3,14,36.8,406,2187,908,38,18,17,28,24,506,99,Matches,16.3,38.0,"FW,MF",Manchester City,Julián Álvarez,2.331288343558282,,55.3
88,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,4.1,155,4,12,76,71,16,155,17,7,41.2,8,47.1,80,294,95,2,1,2,16,12,96,19,Matches,4.1,17.0,"FW,MF",Sassuolo,Agustín Álvarez Martínez,4.146341463414634,,41.2
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,1651,161,698,896,74,16,1651,11,6,54.5,1,9.1,898,6084,4073,32,17,1,8,1,915,8,Matches,25.9,11.0,DF,Athletic Club,Yeray Álvarez,0.4247104247104247,,54.5
90,Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,29,1993,4.7,244,54,147,89,9,2,244,2,1,50.0,1,50.0,167,851,394,0,3,0,2,3,143,5,Matches,4.7,2.0,"DF,MF",Angers,Ibrahim Amadou,0.425531914893617,,50.0
91,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,3.0,138,2,21,77,44,11,138,25,11,44.0,12,48.0,80,507,254,11,7,3,6,10,84,9,Matches,3.0,25.0,"MF,FW",Valladolid,Selim Amallah,8.333333333333334,,44.0
92,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,1279,185,658,578,46,9,1279,5,2,40.0,2,40.0,779,3720,2275,23,11,0,8,4,909,5,Matches,17.9,5.0,DF,Leicester City,Daniel Amartey,0.2793296089385475,,40.0
