Pitch_Number,count,x_interval,y_interval,percentage,position
151,0.0,"(30.0, 35.0)","(30.0, 35.0)",,ALL
152,0.0,"(30.0, 35.0)","(35.0, 40.0)",,ALL
153,0.0,"(30.0, 35.0)","(40.0, 45.0)",,ALL
154,0.0,"(30.0, 35.0)","(45.0, 50.0)",,ALL
155,0.0,"(30.0, 35.0)","(50.0, 55.0)",,ALL
156,0.0,"(30.0, 35.0)","(55.0, 60.0)",,ALL
157,0.0,"(30.0, 35.0)","(60.0, 65.0)",,ALL
158,0.0,"(30.0, 35.0)","(65.0, 70.0)",,ALL
159,0.0,"(30.0, 35.0)","(70.0, 75.0)",,ALL
160,0.0,"(30.0, 35.0)","(75.0, 80.0)",,ALL
161,0.0,"(30.0, 35.0)","(80.0, 85.0)",,ALL
162,0.0,"(30.0, 35.0)","(85.0, 90.0)",,ALL
163,0.0,"(30.0, 35.0)","(90.0, 95.0)",,ALL
164,0.0,"(30.0, 35.0)","(95.0, 100.0)",,ALL
165,0.0,"(30.0, 35.0)","(100.0, 105.0)",,ALL
166,0.0,"(30.0, 35.0)","(105.0, 110.0)",,ALL
167,0.0,"(30.0, 35.0)","(110.0, 115.0)",,ALL
168,0.0,"(30.0, 35.0)","(115.0, 120.0)",,ALL
169,0.0,"(35.0, 40.0)","(0.0, 5.0)",,ALL
170,0.0,"(35.0, 40.0)","(5.0, 10.0)",,ALL
171,0.0,"(35.0, 40.0)","(10.0, 15.0)",,ALL
172,0.0,"(35.0, 40.0)","(15.0, 20.0)",,ALL
173,0.0,"(35.0, 40.0)","(20.0, 25.0)",,ALL
174,0.0,"(35.0, 40.0)","(25.0, 30.0)",,ALL
175,0.0,"(35.0, 40.0)","(30.0, 35.0)",,ALL
176,0.0,"(35.0, 40.0)","(35.0, 40.0)",,ALL
177,0.0,"(35.0, 40.0)","(40.0, 45.0)",,ALL
178,0.0,"(35.0, 40.0)","(45.0, 50.0)",,ALL
179,0.0,"(35.0, 40.0)","(50.0, 55.0)",,ALL
180,0.0,"(35.0, 40.0)","(55.0, 60.0)",,ALL
181,0.0,"(35.0, 40.0)","(60.0, 65.0)",,ALL
182,0.0,"(35.0, 40.0)","(65.0, 70.0)",,ALL
183,0.0,"(35.0, 40.0)","(70.0, 75.0)",,ALL
184,0.0,"(35.0, 40.0)","(75.0, 80.0)",,ALL
185,0.0,"(35.0, 40.0)","(80.0, 85.0)",,ALL
186,0.0,"(35.0, 40.0)","(85.0, 90.0)",,ALL
187,0.0,"(35.0, 40.0)","(90.0, 95.0)",,ALL
188,0.0,"(35.0, 40.0)","(95.0, 100.0)",,ALL
189,0.0,"(35.0, 40.0)","(100.0, 105.0)",,ALL
190,0.0,"(35.0, 40.0)","(105.0, 110.0)",,ALL
191,0.0,"(35.0, 40.0)","(110.0, 115.0)",,ALL
192,0.0,"(35.0, 40.0)","(115.0, 120.0)",,ALL
193,0.0,"(40.0, 45.0)","(0.0, 5.0)",,ALL
194,0.0,"(40.0, 45.0)","(5.0, 10.0)",,ALL
195,0.0,"(40.0, 45.0)","(10.0, 15.0)",,ALL
196,0.0,"(40.0, 45.0)","(15.0, 20.0)",,ALL
197,0.0,"(40.0, 45.0)","(20.0, 25.0)",,ALL
198,0.0,"(40.0, 45.0)","(25.0, 30.0)",,ALL
199,0.0,"(40.0, 45.0)","(30.0, 35.0)",,ALL
200,0.0,"(40.0, 45.0)","(35.0, 40.0)",,ALL
201,0.0,"(40.0, 45.0)","(40.0, 45.0)",,ALL
202,0.0,"(40.0, 45.0)","(45.0, 50.0)",,ALL
203,0.0,"(40.0, 45.0)","(50.0, 55.0)",,ALL
204,0.0,"(40.0, 45.0)","(55.0, 60.0)",,ALL
205,0.0,"(40.0, 45.0)","(60.0, 65.0)",,ALL
206,0.0,"(40.0, 45.0)","(65.0, 70.0)",,ALL
207,0.0,"(40.0, 45.0)","(70.0, 75.0)",,ALL
208,0.0,"(40.0, 45.0)","(75.0, 80.0)",,ALL
209,0.0,"(40.0, 45.0)","(80.0, 85.0)",,ALL
210,0.0,"(40.0, 45.0)","(85.0, 90.0)",,ALL
211,0.0,"(40.0, 45.0)","(90.0, 95.0)",,ALL
212,0.0,"(40.0, 45.0)","(95.0, 100.0)",,ALL
213,0.0,"(40.0, 45.0)","(100.0, 105.0)",,ALL
214,0.0,"(40.0, 45.0)","(105.0, 110.0)",,ALL
215,0.0,"(40.0, 45.0)","(110.0, 115.0)",,ALL
216,0.0,"(40.0, 45.0)","(115.0, 120.0)",,ALL
217,0.0,"(45.0, 50.0)","(0.0, 5.0)",,ALL
218,0.0,"(45.0, 50.0)","(5.0, 10.0)",,ALL
219,0.0,"(45.0, 50.0)","(10.0, 15.0)",,ALL
220,0.0,"(45.0, 50.0)","(15.0, 20.0)",,ALL
221,0.0,"(45.0, 50.0)","(20.0, 25.0)",,ALL
222,0.0,"(45.0, 50.0)","(25.0, 30.0)",,ALL
223,0.0,"(45.0, 50.0)","(30.0, 35.0)",,ALL
224,0.0,"(45.0, 50.0)","(35.0, 40.0)",,ALL
225,0.0,"(45.0, 50.0)","(40.0, 45.0)",,ALL
226,0.0,"(45.0, 50.0)","(45.0, 50.0)",,ALL
227,0.0,"(45.0, 50.0)","(50.0, 55.0)",,ALL
228,0.0,"(45.0, 50.0)","(55.0, 60.0)",,ALL
229,0.0,"(45.0, 50.0)","(60.0, 65.0)",,ALL
230,0.0,"(45.0, 50.0)","(65.0, 70.0)",,ALL
231,0.0,"(45.0, 50.0)","(70.0, 75.0)",,ALL
232,0.0,"(45.0, 50.0)","(75.0, 80.0)",,ALL
233,0.0,"(45.0, 50.0)","(80.0, 85.0)",,ALL
234,0.0,"(45.0, 50.0)","(85.0, 90.0)",,ALL
235,0.0,"(45.0, 50.0)","(90.0, 95.0)",,ALL
236,0.0,"(45.0, 50.0)","(95.0, 100.0)",,ALL
237,0.0,"(45.0, 50.0)","(100.0, 105.0)",,ALL
238,0.0,"(45.0, 50.0)","(105.0, 110.0)",,ALL
239,0.0,"(45.0, 50.0)","(110.0, 115.0)",,ALL
240,0.0,"(45.0, 50.0)","(115.0, 120.0)",,ALL
241,0.0,"(50.0, 55.0)","(0.0, 5.0)",,ALL
242,0.0,"(50.0, 55.0)","(5.0, 10.0)",,ALL
243,0.0,"(50.0, 55.0)","(10.0, 15.0)",,ALL
244,0.0,"(50.0, 55.0)","(15.0, 20.0)",,ALL
245,0.0,"(50.0, 55.0)","(20.0, 25.0)",,ALL
246,0.0,"(50.0, 55.0)","(25.0, 30.0)",,ALL
247,0.0,"(50.0, 55.0)","(30.0, 35.0)",,ALL
248,0.0,"(50.0, 55.0)","(35.0, 40.0)",,ALL
249,0.0,"(50.0, 55.0)","(40.0, 45.0)",,ALL
250,0.0,"(50.0, 55.0)","(45.0, 50.0)",,ALL
251,0.0,"(50.0, 55.0)","(50.0, 55.0)",,ALL
252,0.0,"(50.0, 55.0)","(55.0, 60.0)",,ALL
253,0.0,"(50.0, 55.0)","(60.0, 65.0)",,ALL
254,0.0,"(50.0, 55.0)","(65.0, 70.0)",,ALL
255,0.0,"(50.0, 55.0)","(70.0, 75.0)",,ALL
256,0.0,"(50.0, 55.0)","(75.0, 80.0)",,ALL
257,0.0,"(50.0, 55.0)","(80.0, 85.0)",,ALL
258,0.0,"(50.0, 55.0)","(85.0, 90.0)",,ALL
259,0.0,"(50.0, 55.0)","(90.0, 95.0)",,ALL
260,0.0,"(50.0, 55.0)","(95.0, 100.0)",,ALL
261,0.0,"(50.0, 55.0)","(100.0, 105.0)",,ALL
262,0.0,"(50.0, 55.0)","(105.0, 110.0)",,ALL
263,0.0,"(50.0, 55.0)","(110.0, 115.0)",,ALL
264,0.0,"(50.0, 55.0)","(115.0, 120.0)",,ALL
265,0.0,"(55.0, 60.0)","(0.0, 5.0)",,ALL
266,0.0,"(55.0, 60.0)","(5.0, 10.0)",,ALL
267,0.0,"(55.0, 60.0)","(10.0, 15.0)",,ALL
268,0.0,"(55.0, 60.0)","(15.0, 20.0)",,ALL
269,0.0,"(55.0, 60.0)","(20.0, 25.0)",,ALL
270,0.0,"(55.0, 60.0)","(25.0, 30.0)",,ALL
271,0.0,"(55.0, 60.0)","(30.0, 35.0)",,ALL
272,0.0,"(55.0, 60.0)","(35.0, 40.0)",,ALL
273,0.0,"(55.0, 60.0)","(40.0, 45.0)",,ALL
274,0.0,"(55.0, 60.0)","(45.0, 50.0)",,ALL
275,0.0,"(55.0, 60.0)","(50.0, 55.0)",,ALL
276,0.0,"(55.0, 60.0)","(55.0, 60.0)",,ALL
277,0.0,"(55.0, 60.0)","(60.0, 65.0)",,ALL
278,0.0,"(55.0, 60.0)","(65.0, 70.0)",,ALL
279,0.0,"(55.0, 60.0)","(70.0, 75.0)",,ALL
280,0.0,"(55.0, 60.0)","(75.0, 80.0)",,ALL
281,0.0,"(55.0, 60.0)","(80.0, 85.0)",,ALL
282,0.0,"(55.0, 60.0)","(85.0, 90.0)",,ALL
283,0.0,"(55.0, 60.0)","(90.0, 95.0)",,ALL
284,0.0,"(55.0, 60.0)","(95.0, 100.0)",,ALL
285,0.0,"(55.0, 60.0)","(100.0, 105.0)",,ALL
286,0.0,"(55.0, 60.0)","(105.0, 110.0)",,ALL
287,0.0,"(55.0, 60.0)","(110.0, 115.0)",,ALL
288,0.0,"(55.0, 60.0)","(115.0, 120.0)",,ALL
289,0.0,"(60.0, 65.0)","(0.0, 5.0)",,ALL
290,0.0,"(60.0, 65.0)","(5.0, 10.0)",,ALL
291,0.0,"(60.0, 65.0)","(10.0, 15.0)",,ALL
292,0.0,"(60.0, 65.0)","(15.0, 20.0)",,ALL
293,0.0,"(60.0, 65.0)","(20.0, 25.0)",,ALL
294,0.0,"(60.0, 65.0)","(25.0, 30.0)",,ALL
295,0.0,"(60.0, 65.0)","(30.0, 35.0)",,ALL
296,0.0,"(60.0, 65.0)","(35.0, 40.0)",,ALL
297,0.0,"(60.0, 65.0)","(40.0, 45.0)",,ALL
298,0.0,"(60.0, 65.0)","(45.0, 50.0)",,ALL
299,0.0,"(60.0, 65.0)","(50.0, 55.0)",,ALL
300,0.0,"(60.0, 65.0)","(55.0, 60.0)",,ALL
301,0.0,"(60.0, 65.0)","(60.0, 65.0)",,ALL
302,0.0,"(60.0, 65.0)","(65.0, 70.0)",,ALL
303,0.0,"(60.0, 65.0)","(70.0, 75.0)",,ALL
304,0.0,"(60.0, 65.0)","(75.0, 80.0)",,ALL
305,0.0,"(60.0, 65.0)","(80.0, 85.0)",,ALL
306,0.0,"(60.0, 65.0)","(85.0, 90.0)",,ALL
307,0.0,"(60.0, 65.0)","(90.0, 95.0)",,ALL
308,0.0,"(60.0, 65.0)","(95.0, 100.0)",,ALL
309,0.0,"(60.0, 65.0)","(100.0, 105.0)",,ALL
310,0.0,"(60.0, 65.0)","(105.0, 110.0)",,ALL
311,0.0,"(60.0, 65.0)","(110.0, 115.0)",,ALL
312,0.0,"(60.0, 65.0)","(115.0, 120.0)",,ALL
313,0.0,"(65.0, 70.0)","(0.0, 5.0)",,ALL
314,0.0,"(65.0, 70.0)","(5.0, 10.0)",,ALL
315,0.0,"(65.0, 70.0)","(10.0, 15.0)",,ALL
316,0.0,"(65.0, 70.0)","(15.0, 20.0)",,ALL
317,0.0,"(65.0, 70.0)","(20.0, 25.0)",,ALL
318,0.0,"(65.0, 70.0)","(25.0, 30.0)",,ALL
319,0.0,"(65.0, 70.0)","(30.0, 35.0)",,ALL
320,0.0,"(65.0, 70.0)","(35.0, 40.0)",,ALL
321,0.0,"(65.0, 70.0)","(40.0, 45.0)",,ALL
322,0.0,"(65.0, 70.0)","(45.0, 50.0)",,ALL
323,0.0,"(65.0, 70.0)","(50.0, 55.0)",,ALL
324,0.0,"(65.0, 70.0)","(55.0, 60.0)",,ALL
325,0.0,"(65.0, 70.0)","(60.0, 65.0)",,ALL
326,0.0,"(65.0, 70.0)","(65.0, 70.0)",,ALL
327,0.0,"(65.0, 70.0)","(70.0, 75.0)",,ALL
328,0.0,"(65.0, 70.0)","(75.0, 80.0)",,ALL
329,0.0,"(65.0, 70.0)","(80.0, 85.0)",,ALL
330,0.0,"(65.0, 70.0)","(85.0, 90.0)",,ALL
331,0.0,"(65.0, 70.0)","(90.0, 95.0)",,ALL
332,0.0,"(65.0, 70.0)","(95.0, 100.0)",,ALL
333,0.0,"(65.0, 70.0)","(100.0, 105.0)",,ALL
334,0.0,"(65.0, 70.0)","(105.0, 110.0)",,ALL
335,0.0,"(65.0, 70.0)","(110.0, 115.0)",,ALL
336,0.0,"(65.0, 70.0)","(115.0, 120.0)",,ALL
337,0.0,"(70.0, 75.0)","(0.0, 5.0)",,ALL
338,0.0,"(70.0, 75.0)","(5.0, 10.0)",,ALL
339,0.0,"(70.0, 75.0)","(10.0, 15.0)",,ALL
340,0.0,"(70.0, 75.0)","(15.0, 20.0)",,ALL
341,0.0,"(70.0, 75.0)","(20.0, 25.0)",,ALL
342,0.0,"(70.0, 75.0)","(25.0, 30.0)",,ALL
343,0.0,"(70.0, 75.0)","(30.0, 35.0)",,ALL
344,0.0,"(70.0, 75.0)","(35.0, 40.0)",,ALL
345,0.0,"(70.0, 75.0)","(40.0, 45.0)",,ALL
346,0.0,"(70.0, 75.0)","(45.0, 50.0)",,ALL
347,0.0,"(70.0, 75.0)","(50.0, 55.0)",,ALL
348,0.0,"(70.0, 75.0)","(55.0, 60.0)",,ALL
349,0.0,"(70.0, 75.0)","(60.0, 65.0)",,ALL
350,0.0,"(70.0, 75.0)","(65.0, 70.0)",,ALL
351,0.0,"(70.0, 75.0)","(70.0, 75.0)",,ALL
352,0.0,"(70.0, 75.0)","(75.0, 80.0)",,ALL
353,0.0,"(70.0, 75.0)","(80.0, 85.0)",,ALL
354,0.0,"(70.0, 75.0)","(85.0, 90.0)",,ALL
355,0.0,"(70.0, 75.0)","(90.0, 95.0)",,ALL
356,0.0,"(70.0, 75.0)","(95.0, 100.0)",,ALL
357,0.0,"(70.0, 75.0)","(100.0, 105.0)",,ALL
358,0.0,"(70.0, 75.0)","(105.0, 110.0)",,ALL
359,0.0,"(70.0, 75.0)","(110.0, 115.0)",,ALL
360,0.0,"(70.0, 75.0)","(115.0, 120.0)",,ALL
361,0.0,"(75.0, 80.0)","(0.0, 5.0)",,ALL
362,0.0,"(75.0, 80.0)","(5.0, 10.0)",,ALL
363,0.0,"(75.0, 80.0)","(10.0, 15.0)",,ALL
364,0.0,"(75.0, 80.0)","(15.0, 20.0)",,ALL
365,0.0,"(75.0, 80.0)","(20.0, 25.0)",,ALL
366,0.0,"(75.0, 80.0)","(25.0, 30.0)",,ALL
367,0.0,"(75.0, 80.0)","(30.0, 35.0)",,ALL
368,0.0,"(75.0, 80.0)","(35.0, 40.0)",,ALL
369,0.0,"(75.0, 80.0)","(40.0, 45.0)",,ALL
370,0.0,"(75.0, 80.0)","(45.0, 50.0)",,ALL
371,0.0,"(75.0, 80.0)","(50.0, 55.0)",,ALL
372,0.0,"(75.0, 80.0)","(55.0, 60.0)",,ALL
373,0.0,"(75.0, 80.0)","(60.0, 65.0)",,ALL
374,0.0,"(75.0, 80.0)","(65.0, 70.0)",,ALL
375,0.0,"(75.0, 80.0)","(70.0, 75.0)",,ALL
376,0.0,"(75.0, 80.0)","(75.0, 80.0)",,ALL
377,0.0,"(75.0, 80.0)","(80.0, 85.0)",,ALL
378,0.0,"(75.0, 80.0)","(85.0, 90.0)",,ALL
379,0.0,"(75.0, 80.0)","(90.0, 95.0)",,ALL
380,0.0,"(75.0, 80.0)","(95.0, 100.0)",,ALL
381,0.0,"(75.0, 80.0)","(100.0, 105.0)",,ALL
382,0.0,"(75.0, 80.0)","(105.0, 110.0)",,ALL
383,0.0,"(75.0, 80.0)","(110.0, 115.0)",,ALL
384,0.0,"(75.0, 80.0)","(115.0, 120.0)",,ALL
1,0.0,"(0.0, 5.0)","(0.0, 5.0)",0.0,ST
2,0.0,"(0.0, 5.0)","(5.0, 10.0)",0.0,ST
3,0.0,"(0.0, 5.0)","(10.0, 15.0)",0.0,ST
4,0.0,"(0.0, 5.0)","(15.0, 20.0)",0.0,ST
5,3.0,"(0.0, 5.0)","(20.0, 25.0)",0.0008465011286681715,ST
6,0.0,"(0.0, 5.0)","(25.0, 30.0)",0.0,ST
7,2.0,"(0.0, 5.0)","(30.0, 35.0)",0.000564334085778781,ST
8,2.0,"(0.0, 5.0)","(35.0, 40.0)",0.000564334085778781,ST
9,4.0,"(0.0, 5.0)","(40.0, 45.0)",0.001128668171557562,ST
10,5.0,"(0.0, 5.0)","(45.0, 50.0)",0.0014108352144469526,ST
11,5.0,"(0.0, 5.0)","(50.0, 55.0)",0.0014108352144469526,ST
12,6.0,"(0.0, 5.0)","(55.0, 60.0)",0.001693002257336343,ST
13,7.0,"(0.0, 5.0)","(60.0, 65.0)",0.0019751693002257337,ST
14,6.0,"(0.0, 5.0)","(65.0, 70.0)",0.001693002257336343,ST
15,13.0,"(0.0, 5.0)","(70.0, 75.0)",0.003668171557562077,ST
16,9.0,"(0.0, 5.0)","(75.0, 80.0)",0.0025395033860045146,ST
17,11.0,"(0.0, 5.0)","(80.0, 85.0)",0.0031038374717832955,ST
18,4.0,"(0.0, 5.0)","(85.0, 90.0)",0.001128668171557562,ST
19,7.0,"(0.0, 5.0)","(90.0, 95.0)",0.0019751693002257337,ST
20,10.0,"(0.0, 5.0)","(95.0, 100.0)",0.0028216704288939053,ST
21,15.0,"(0.0, 5.0)","(100.0, 105.0)",0.004232505643340858,ST
22,5.0,"(0.0, 5.0)","(105.0, 110.0)",0.0014108352144469526,ST
