Pitch_Number,count,x_interval,y_interval,percentage,position,action,prob
87,0.0,"(15.0, 20.0)","(70.0, 75.0)",0.0,ALL,Shot,
88,0.0,"(15.0, 20.0)","(75.0, 80.0)",0.0,ALL,Shot,
89,0.0,"(15.0, 20.0)","(80.0, 85.0)",0.0,ALL,Shot,
90,0.0,"(15.0, 20.0)","(85.0, 90.0)",0.0,ALL,Shot,
91,2.0,"(15.0, 20.0)","(90.0, 95.0)",0.0023501762632197414,ALL,Shot,
92,3.0,"(15.0, 20.0)","(95.0, 100.0)",0.0035252643948296123,ALL,Shot,
93,0.0,"(15.0, 20.0)","(100.0, 105.0)",0.0,ALL,Shot,
94,0.0,"(15.0, 20.0)","(105.0, 110.0)",0.0,ALL,Shot,
95,1.0,"(15.0, 20.0)","(110.0, 115.0)",0.0011750881316098707,ALL,Shot,
96,0.0,"(15.0, 20.0)","(115.0, 120.0)",0.0,ALL,Shot,
97,0.0,"(20.0, 25.0)","(0.0, 5.0)",0.0,ALL,Shot,
98,0.0,"(20.0, 25.0)","(5.0, 10.0)",0.0,ALL,Shot,
99,0.0,"(20.0, 25.0)","(10.0, 15.0)",0.0,ALL,Shot,
100,0.0,"(20.0, 25.0)","(15.0, 20.0)",0.0,ALL,Shot,
101,0.0,"(20.0, 25.0)","(20.0, 25.0)",0.0,ALL,Shot,
102,0.0,"(20.0, 25.0)","(25.0, 30.0)",0.0,ALL,Shot,
103,0.0,"(20.0, 25.0)","(30.0, 35.0)",0.0,ALL,Shot,
104,0.0,"(20.0, 25.0)","(35.0, 40.0)",0.0,ALL,Shot,
105,0.0,"(20.0, 25.0)","(40.0, 45.0)",0.0,ALL,Shot,
106,0.0,"(20.0, 25.0)","(45.0, 50.0)",0.0,ALL,Shot,
107,0.0,"(20.0, 25.0)","(50.0, 55.0)",0.0,ALL,Shot,
108,0.0,"(20.0, 25.0)","(55.0, 60.0)",0.0,ALL,Shot,
109,0.0,"(20.0, 25.0)","(60.0, 65.0)",0.0,ALL,Shot,
110,0.0,"(20.0, 25.0)","(65.0, 70.0)",0.0,ALL,Shot,
111,0.0,"(20.0, 25.0)","(70.0, 75.0)",0.0,ALL,Shot,
112,0.0,"(20.0, 25.0)","(75.0, 80.0)",0.0,ALL,Shot,
113,0.0,"(20.0, 25.0)","(80.0, 85.0)",0.0,ALL,Shot,
114,0.0,"(20.0, 25.0)","(85.0, 90.0)",0.0,ALL,Shot,
115,1.0,"(20.0, 25.0)","(90.0, 95.0)",0.0011750881316098707,ALL,Shot,
116,14.0,"(20.0, 25.0)","(95.0, 100.0)",0.01645123384253819,ALL,Shot,
117,5.0,"(20.0, 25.0)","(100.0, 105.0)",0.005875440658049354,ALL,Shot,
118,7.0,"(20.0, 25.0)","(105.0, 110.0)",0.008225616921269096,ALL,Shot,
119,3.0,"(20.0, 25.0)","(110.0, 115.0)",0.0035252643948296123,ALL,Shot,
120,0.0,"(20.0, 25.0)","(115.0, 120.0)",0.0,ALL,Shot,
121,0.0,"(25.0, 30.0)","(0.0, 5.0)",0.0,ALL,Shot,
122,0.0,"(25.0, 30.0)","(5.0, 10.0)",0.0,ALL,Shot,
123,0.0,"(25.0, 30.0)","(10.0, 15.0)",0.0,ALL,Shot,
124,0.0,"(25.0, 30.0)","(15.0, 20.0)",0.0,ALL,Shot,
125,0.0,"(25.0, 30.0)","(20.0, 25.0)",0.0,ALL,Shot,
126,0.0,"(25.0, 30.0)","(25.0, 30.0)",0.0,ALL,Shot,
127,0.0,"(25.0, 30.0)","(30.0, 35.0)",0.0,ALL,Shot,
128,0.0,"(25.0, 30.0)","(35.0, 40.0)",0.0,ALL,Shot,
129,0.0,"(25.0, 30.0)","(40.0, 45.0)",0.0,ALL,Shot,
130,0.0,"(25.0, 30.0)","(45.0, 50.0)",0.0,ALL,Shot,
131,0.0,"(25.0, 30.0)","(50.0, 55.0)",0.0,ALL,Shot,
132,0.0,"(25.0, 30.0)","(55.0, 60.0)",0.0,ALL,Shot,
133,0.0,"(25.0, 30.0)","(60.0, 65.0)",0.0,ALL,Shot,
134,0.0,"(25.0, 30.0)","(65.0, 70.0)",0.0,ALL,Shot,
135,0.0,"(25.0, 30.0)","(70.0, 75.0)",0.0,ALL,Shot,
136,0.0,"(25.0, 30.0)","(75.0, 80.0)",0.0,ALL,Shot,
137,0.0,"(25.0, 30.0)","(80.0, 85.0)",0.0,ALL,Shot,
138,3.0,"(25.0, 30.0)","(85.0, 90.0)",0.0035252643948296123,ALL,Shot,
139,10.0,"(25.0, 30.0)","(90.0, 95.0)",0.011750881316098707,ALL,Shot,
140,16.0,"(25.0, 30.0)","(95.0, 100.0)",0.01880141010575793,ALL,Shot,
141,18.0,"(25.0, 30.0)","(100.0, 105.0)",0.021151586368977675,ALL,Shot,
142,35.0,"(25.0, 30.0)","(105.0, 110.0)",0.041128084606345476,ALL,Shot,
143,40.0,"(25.0, 30.0)","(110.0, 115.0)",0.04700352526439483,ALL,Shot,
144,6.0,"(25.0, 30.0)","(115.0, 120.0)",0.007050528789659225,ALL,Shot,
145,0.0,"(30.0, 35.0)","(0.0, 5.0)",0.0,ALL,Shot,
146,0.0,"(30.0, 35.0)","(5.0, 10.0)",0.0,ALL,Shot,
147,0.0,"(30.0, 35.0)","(10.0, 15.0)",0.0,ALL,Shot,
148,0.0,"(30.0, 35.0)","(15.0, 20.0)",0.0,ALL,Shot,
149,0.0,"(30.0, 35.0)","(20.0, 25.0)",0.0,ALL,Shot,
150,0.0,"(30.0, 35.0)","(25.0, 30.0)",0.0,ALL,Shot,
151,0.0,"(30.0, 35.0)","(30.0, 35.0)",0.0,ALL,Shot,
152,0.0,"(30.0, 35.0)","(35.0, 40.0)",0.0,ALL,Shot,
153,0.0,"(30.0, 35.0)","(40.0, 45.0)",0.0,ALL,Shot,
154,0.0,"(30.0, 35.0)","(45.0, 50.0)",0.0,ALL,Shot,
155,0.0,"(30.0, 35.0)","(50.0, 55.0)",0.0,ALL,Shot,
156,1.0,"(30.0, 35.0)","(55.0, 60.0)",0.0011750881316098707,ALL,Shot,
157,0.0,"(30.0, 35.0)","(60.0, 65.0)",0.0,ALL,Shot,
158,0.0,"(30.0, 35.0)","(65.0, 70.0)",0.0,ALL,Shot,
159,0.0,"(30.0, 35.0)","(70.0, 75.0)",0.0,ALL,Shot,
160,0.0,"(30.0, 35.0)","(75.0, 80.0)",0.0,ALL,Shot,
161,0.0,"(30.0, 35.0)","(80.0, 85.0)",0.0,ALL,Shot,
162,1.0,"(30.0, 35.0)","(85.0, 90.0)",0.0011750881316098707,ALL,Shot,
163,13.0,"(30.0, 35.0)","(90.0, 95.0)",0.01527614571092832,ALL,Shot,
164,21.0,"(30.0, 35.0)","(95.0, 100.0)",0.024676850763807285,ALL,Shot,
165,29.0,"(30.0, 35.0)","(100.0, 105.0)",0.03407755581668625,ALL,Shot,
166,43.0,"(30.0, 35.0)","(105.0, 110.0)",0.05052878965922444,ALL,Shot,
167,44.0,"(30.0, 35.0)","(110.0, 115.0)",0.05170387779083431,ALL,Shot,
168,10.0,"(30.0, 35.0)","(115.0, 120.0)",0.011750881316098707,ALL,Shot,
169,0.0,"(35.0, 40.0)","(0.0, 5.0)",0.0,ALL,Shot,
170,0.0,"(35.0, 40.0)","(5.0, 10.0)",0.0,ALL,Shot,
171,0.0,"(35.0, 40.0)","(10.0, 15.0)",0.0,ALL,Shot,
172,0.0,"(35.0, 40.0)","(15.0, 20.0)",0.0,ALL,Shot,
173,0.0,"(35.0, 40.0)","(20.0, 25.0)",0.0,ALL,Shot,
174,0.0,"(35.0, 40.0)","(25.0, 30.0)",0.0,ALL,Shot,
175,0.0,"(35.0, 40.0)","(30.0, 35.0)",0.0,ALL,Shot,
176,0.0,"(35.0, 40.0)","(35.0, 40.0)",0.0,ALL,Shot,
177,0.0,"(35.0, 40.0)","(40.0, 45.0)",0.0,ALL,Shot,
178,0.0,"(35.0, 40.0)","(45.0, 50.0)",0.0,ALL,Shot,
179,0.0,"(35.0, 40.0)","(50.0, 55.0)",0.0,ALL,Shot,
180,0.0,"(35.0, 40.0)","(55.0, 60.0)",0.0,ALL,Shot,
181,0.0,"(35.0, 40.0)","(60.0, 65.0)",0.0,ALL,Shot,
182,0.0,"(35.0, 40.0)","(65.0, 70.0)",0.0,ALL,Shot,
183,0.0,"(35.0, 40.0)","(70.0, 75.0)",0.0,ALL,Shot,
184,0.0,"(35.0, 40.0)","(75.0, 80.0)",0.0,ALL,Shot,
185,0.0,"(35.0, 40.0)","(80.0, 85.0)",0.0,ALL,Shot,
186,4.0,"(35.0, 40.0)","(85.0, 90.0)",0.004700352526439483,ALL,Shot,
187,15.0,"(35.0, 40.0)","(90.0, 95.0)",0.01762632197414806,ALL,Shot,
188,21.0,"(35.0, 40.0)","(95.0, 100.0)",0.024676850763807285,ALL,Shot,
189,29.0,"(35.0, 40.0)","(100.0, 105.0)",0.03407755581668625,ALL,Shot,
190,34.0,"(35.0, 40.0)","(105.0, 110.0)",0.0399529964747356,ALL,Shot,
191,34.0,"(35.0, 40.0)","(110.0, 115.0)",0.0399529964747356,ALL,Shot,
192,6.0,"(35.0, 40.0)","(115.0, 120.0)",0.007050528789659225,ALL,Shot,
193,0.0,"(40.0, 45.0)","(0.0, 5.0)",0.0,ALL,Shot,
194,0.0,"(40.0, 45.0)","(5.0, 10.0)",0.0,ALL,Shot,
195,0.0,"(40.0, 45.0)","(10.0, 15.0)",0.0,ALL,Shot,
196,0.0,"(40.0, 45.0)","(15.0, 20.0)",0.0,ALL,Shot,
197,0.0,"(40.0, 45.0)","(20.0, 25.0)",0.0,ALL,Shot,
198,0.0,"(40.0, 45.0)","(25.0, 30.0)",0.0,ALL,Shot,
199,0.0,"(40.0, 45.0)","(30.0, 35.0)",0.0,ALL,Shot,
200,0.0,"(40.0, 45.0)","(35.0, 40.0)",0.0,ALL,Shot,
201,1.0,"(40.0, 45.0)","(40.0, 45.0)",0.0011750881316098707,ALL,Shot,
202,0.0,"(40.0, 45.0)","(45.0, 50.0)",0.0,ALL,Shot,
203,0.0,"(40.0, 45.0)","(50.0, 55.0)",0.0,ALL,Shot,
204,0.0,"(40.0, 45.0)","(55.0, 60.0)",0.0,ALL,Shot,
205,0.0,"(40.0, 45.0)","(60.0, 65.0)",0.0,ALL,Shot,
206,0.0,"(40.0, 45.0)","(65.0, 70.0)",0.0,ALL,Shot,
207,0.0,"(40.0, 45.0)","(70.0, 75.0)",0.0,ALL,Shot,
208,0.0,"(40.0, 45.0)","(75.0, 80.0)",0.0,ALL,Shot,
209,0.0,"(40.0, 45.0)","(80.0, 85.0)",0.0,ALL,Shot,
210,7.0,"(40.0, 45.0)","(85.0, 90.0)",0.008225616921269096,ALL,Shot,
211,21.0,"(40.0, 45.0)","(90.0, 95.0)",0.024676850763807285,ALL,Shot,
212,32.0,"(40.0, 45.0)","(95.0, 100.0)",0.03760282021151586,ALL,Shot,
213,11.0,"(40.0, 45.0)","(100.0, 105.0)",0.012925969447708578,ALL,Shot,
214,30.0,"(40.0, 45.0)","(105.0, 110.0)",0.03525264394829612,ALL,Shot,
215,53.0,"(40.0, 45.0)","(110.0, 115.0)",0.06227967097532315,ALL,Shot,
216,4.0,"(40.0, 45.0)","(115.0, 120.0)",0.004700352526439483,ALL,Shot,
217,0.0,"(45.0, 50.0)","(0.0, 5.0)",0.0,ALL,Shot,
218,0.0,"(45.0, 50.0)","(5.0, 10.0)",0.0,ALL,Shot,
219,0.0,"(45.0, 50.0)","(10.0, 15.0)",0.0,ALL,Shot,
220,0.0,"(45.0, 50.0)","(15.0, 20.0)",0.0,ALL,Shot,
221,0.0,"(45.0, 50.0)","(20.0, 25.0)",0.0,ALL,Shot,
222,0.0,"(45.0, 50.0)","(25.0, 30.0)",0.0,ALL,Shot,
223,0.0,"(45.0, 50.0)","(30.0, 35.0)",0.0,ALL,Shot,
224,0.0,"(45.0, 50.0)","(35.0, 40.0)",0.0,ALL,Shot,
225,0.0,"(45.0, 50.0)","(40.0, 45.0)",0.0,ALL,Shot,
226,0.0,"(45.0, 50.0)","(45.0, 50.0)",0.0,ALL,Shot,
227,1.0,"(45.0, 50.0)","(50.0, 55.0)",0.0011750881316098707,ALL,Shot,
228,0.0,"(45.0, 50.0)","(55.0, 60.0)",0.0,ALL,Shot,
229,1.0,"(45.0, 50.0)","(60.0, 65.0)",0.0011750881316098707,ALL,Shot,
230,0.0,"(45.0, 50.0)","(65.0, 70.0)",0.0,ALL,Shot,
231,1.0,"(45.0, 50.0)","(70.0, 75.0)",0.0011750881316098707,ALL,Shot,
232,0.0,"(45.0, 50.0)","(75.0, 80.0)",0.0,ALL,Shot,
233,0.0,"(45.0, 50.0)","(80.0, 85.0)",0.0,ALL,Shot,
234,3.0,"(45.0, 50.0)","(85.0, 90.0)",0.0035252643948296123,ALL,Shot,
235,12.0,"(45.0, 50.0)","(90.0, 95.0)",0.01410105757931845,ALL,Shot,
236,25.0,"(45.0, 50.0)","(95.0, 100.0)",0.02937720329024677,ALL,Shot,
237,18.0,"(45.0, 50.0)","(100.0, 105.0)",0.021151586368977675,ALL,Shot,
238,22.0,"(45.0, 50.0)","(105.0, 110.0)",0.025851938895417155,ALL,Shot,
239,28.0,"(45.0, 50.0)","(110.0, 115.0)",0.03290246768507638,ALL,Shot,
240,9.0,"(45.0, 50.0)","(115.0, 120.0)",0.010575793184488837,ALL,Shot,
241,0.0,"(50.0, 55.0)","(0.0, 5.0)",0.0,ALL,Shot,
242,0.0,"(50.0, 55.0)","(5.0, 10.0)",0.0,ALL,Shot,
243,0.0,"(50.0, 55.0)","(10.0, 15.0)",0.0,ALL,Shot,
244,0.0,"(50.0, 55.0)","(15.0, 20.0)",0.0,ALL,Shot,
245,0.0,"(50.0, 55.0)","(20.0, 25.0)",0.0,ALL,Shot,
246,0.0,"(50.0, 55.0)","(25.0, 30.0)",0.0,ALL,Shot,
247,0.0,"(50.0, 55.0)","(30.0, 35.0)",0.0,ALL,Shot,
248,0.0,"(50.0, 55.0)","(35.0, 40.0)",0.0,ALL,Shot,
249,0.0,"(50.0, 55.0)","(40.0, 45.0)",0.0,ALL,Shot,
250,0.0,"(50.0, 55.0)","(45.0, 50.0)",0.0,ALL,Shot,
251,0.0,"(50.0, 55.0)","(50.0, 55.0)",0.0,ALL,Shot,
252,0.0,"(50.0, 55.0)","(55.0, 60.0)",0.0,ALL,Shot,
253,0.0,"(50.0, 55.0)","(60.0, 65.0)",0.0,ALL,Shot,
254,0.0,"(50.0, 55.0)","(65.0, 70.0)",0.0,ALL,Shot,
255,0.0,"(50.0, 55.0)","(70.0, 75.0)",0.0,ALL,Shot,
256,0.0,"(50.0, 55.0)","(75.0, 80.0)",0.0,ALL,Shot,
257,0.0,"(50.0, 55.0)","(80.0, 85.0)",0.0,ALL,Shot,
258,1.0,"(50.0, 55.0)","(85.0, 90.0)",0.0011750881316098707,ALL,Shot,
259,4.0,"(50.0, 55.0)","(90.0, 95.0)",0.004700352526439483,ALL,Shot,
260,15.0,"(50.0, 55.0)","(95.0, 100.0)",0.01762632197414806,ALL,Shot,
261,14.0,"(50.0, 55.0)","(100.0, 105.0)",0.01645123384253819,ALL,Shot,
262,16.0,"(50.0, 55.0)","(105.0, 110.0)",0.01880141010575793,ALL,Shot,
263,23.0,"(50.0, 55.0)","(110.0, 115.0)",0.02702702702702703,ALL,Shot,
264,4.0,"(50.0, 55.0)","(115.0, 120.0)",0.004700352526439483,ALL,Shot,
265,0.0,"(55.0, 60.0)","(0.0, 5.0)",0.0,ALL,Shot,
266,0.0,"(55.0, 60.0)","(5.0, 10.0)",0.0,ALL,Shot,
267,0.0,"(55.0, 60.0)","(10.0, 15.0)",0.0,ALL,Shot,
268,0.0,"(55.0, 60.0)","(15.0, 20.0)",0.0,ALL,Shot,
269,0.0,"(55.0, 60.0)","(20.0, 25.0)",0.0,ALL,Shot,
270,0.0,"(55.0, 60.0)","(25.0, 30.0)",0.0,ALL,Shot,
271,0.0,"(55.0, 60.0)","(30.0, 35.0)",0.0,ALL,Shot,
272,0.0,"(55.0, 60.0)","(35.0, 40.0)",0.0,ALL,Shot,
273,0.0,"(55.0, 60.0)","(40.0, 45.0)",0.0,ALL,Shot,
274,0.0,"(55.0, 60.0)","(45.0, 50.0)",0.0,ALL,Shot,
275,0.0,"(55.0, 60.0)","(50.0, 55.0)",0.0,ALL,Shot,
276,0.0,"(55.0, 60.0)","(55.0, 60.0)",0.0,ALL,Shot,
277,0.0,"(55.0, 60.0)","(60.0, 65.0)",0.0,ALL,Shot,
278,0.0,"(55.0, 60.0)","(65.0, 70.0)",0.0,ALL,Shot,
279,0.0,"(55.0, 60.0)","(70.0, 75.0)",0.0,ALL,Shot,
280,0.0,"(55.0, 60.0)","(75.0, 80.0)",0.0,ALL,Shot,
281,0.0,"(55.0, 60.0)","(80.0, 85.0)",0.0,ALL,Shot,
282,0.0,"(55.0, 60.0)","(85.0, 90.0)",0.0,ALL,Shot,
283,1.0,"(55.0, 60.0)","(90.0, 95.0)",0.0011750881316098707,ALL,Shot,
284,7.0,"(55.0, 60.0)","(95.0, 100.0)",0.008225616921269096,ALL,Shot,
285,4.0,"(55.0, 60.0)","(100.0, 105.0)",0.004700352526439483,ALL,Shot,
286,3.0,"(55.0, 60.0)","(105.0, 110.0)",0.0035252643948296123,ALL,Shot,
287,6.0,"(55.0, 60.0)","(110.0, 115.0)",0.007050528789659225,ALL,Shot,
288,0.0,"(55.0, 60.0)","(115.0, 120.0)",0.0,ALL,Shot,
289,0.0,"(60.0, 65.0)","(0.0, 5.0)",0.0,ALL,Shot,
290,0.0,"(60.0, 65.0)","(5.0, 10.0)",0.0,ALL,Shot,
291,0.0,"(60.0, 65.0)","(10.0, 15.0)",0.0,ALL,Shot,
292,0.0,"(60.0, 65.0)","(15.0, 20.0)",0.0,ALL,Shot,
293,0.0,"(60.0, 65.0)","(20.0, 25.0)",0.0,ALL,Shot,
294,0.0,"(60.0, 65.0)","(25.0, 30.0)",0.0,ALL,Shot,
295,0.0,"(60.0, 65.0)","(30.0, 35.0)",0.0,ALL,Shot,
296,0.0,"(60.0, 65.0)","(35.0, 40.0)",0.0,ALL,Shot,
297,0.0,"(60.0, 65.0)","(40.0, 45.0)",0.0,ALL,Shot,
298,0.0,"(60.0, 65.0)","(45.0, 50.0)",0.0,ALL,Shot,
299,0.0,"(60.0, 65.0)","(50.0, 55.0)",0.0,ALL,Shot,
300,0.0,"(60.0, 65.0)","(55.0, 60.0)",0.0,ALL,Shot,
301,0.0,"(60.0, 65.0)","(60.0, 65.0)",0.0,ALL,Shot,
302,0.0,"(60.0, 65.0)","(65.0, 70.0)",0.0,ALL,Shot,
303,0.0,"(60.0, 65.0)","(70.0, 75.0)",0.0,ALL,Shot,
304,0.0,"(60.0, 65.0)","(75.0, 80.0)",0.0,ALL,Shot,
305,0.0,"(60.0, 65.0)","(80.0, 85.0)",0.0,ALL,Shot,
306,0.0,"(60.0, 65.0)","(85.0, 90.0)",0.0,ALL,Shot,
307,0.0,"(60.0, 65.0)","(90.0, 95.0)",0.0,ALL,Shot,
308,1.0,"(60.0, 65.0)","(95.0, 100.0)",0.0011750881316098707,ALL,Shot,
309,0.0,"(60.0, 65.0)","(100.0, 105.0)",0.0,ALL,Shot,
310,1.0,"(60.0, 65.0)","(105.0, 110.0)",0.0011750881316098707,ALL,Shot,
311,0.0,"(60.0, 65.0)","(110.0, 115.0)",0.0,ALL,Shot,
312,0.0,"(60.0, 65.0)","(115.0, 120.0)",0.0,ALL,Shot,
313,0.0,"(65.0, 70.0)","(0.0, 5.0)",0.0,ALL,Shot,
314,0.0,"(65.0, 70.0)","(5.0, 10.0)",0.0,ALL,Shot,
315,0.0,"(65.0, 70.0)","(10.0, 15.0)",0.0,ALL,Shot,
316,0.0,"(65.0, 70.0)","(15.0, 20.0)",0.0,ALL,Shot,
317,0.0,"(65.0, 70.0)","(20.0, 25.0)",0.0,ALL,Shot,
318,0.0,"(65.0, 70.0)","(25.0, 30.0)",0.0,ALL,Shot,
319,0.0,"(65.0, 70.0)","(30.0, 35.0)",0.0,ALL,Shot,
320,0.0,"(65.0, 70.0)","(35.0, 40.0)",0.0,ALL,Shot,
321,0.0,"(65.0, 70.0)","(40.0, 45.0)",0.0,ALL,Shot,
322,0.0,"(65.0, 70.0)","(45.0, 50.0)",0.0,ALL,Shot,
323,0.0,"(65.0, 70.0)","(50.0, 55.0)",0.0,ALL,Shot,
